LigandName,TargetName,BindingScore,InterfE
zolmitriptan_ULSDMUVEXKOYBU-ZDUSSCGKSA-N,A0A640KIZ3_0_apo,1.72,
brinzolamide_HCRKCZRJWPKOAR-JTQLQIEISA-N,A0A640KIZ3_0_apo,10.02,
fentanyl_PJMPHNIQZUBGLI-UHFFFAOYSA-N,A0A640KIZ3_0_apo,1000.13,
ozagrel_SHZKQBHERIJWAO-AATRIKPKSA-N,A0A640KIZ3_0_apo,10008.44,
lidamidine_RRHJHSBDJDZUGL-UHFFFAOYSA-N,A0A640KIZ3_0_apo,10018.64,
flurithromycin_XOEUHCONYHZURQ-HNUBZJOYSA-N,A0A640KIZ3_0_apo,1002.13,
ramipril_HDACQVRGBOVJII-JBDAPHQKSA-N,A0A640KIZ3_0_apo,1002.86,
isoxicam_YYUAYBYLJSNDCX-UHFFFAOYSA-N,A0A640KIZ3_0_apo,10027.71,
cenobamate_GFHAXPJGXSQLPT-VIFPVBQESA-N,A0A640KIZ3_0_apo,10046.88,
creatine_CVSVTCORWBXHQV-UHFFFAOYSA-N,A0A640KIZ3_0_apo,100535.95,
succimer_ACTRVOBWPAIOHC-XIXRPRMCSA-N,A0A640KIZ3_0_apo,100587.87,
teriparatide_OGBMKVWORPGQRR-UMXFMPSGSA-N,A0A640KIZ3_0_apo,100601.60,
mexiletine_VLPIATFUUWWMKC-JTQLQIEISA-N,A0A640KIZ3_0_apo,10064.94,
bucolome_DVEQCIBLXRSYPH-LLVKDONJSA-N,A0A640KIZ3_0_apo,10065.17,
cathine_DLNKOYKMWOXYQA-IONNQARKSA-N,A0A640KIZ3_0_apo,100893.50,
fludiazepam_ROYOYTLGDLIGBX-UHFFFAOYSA-N,A0A640KIZ3_0_apo,1010.50,
aclatonium_SRZGFCNCQUMTCP-MRVPVSSYSA-N,A0A640KIZ3_0_apo,10115.22,
practolol_DURULFYMVIFBIR-CYBMUJFWSA-N,A0A640KIZ3_0_apo,10124.89,
flumequine_DPSPPJIUMHPXMA-ZETCQYMHSA-N,A0A640KIZ3_0_apo,1013.93,
diethylamino_hydroxybenzoyl_hexyl_benzoate_FDATWRLUYRHCJE-UHFFFAOYSA-N,A0A640KIZ3_0_apo,1014.53,
prasugrel_DTGLZDAWLRGWQN-IBGZPJMESA-N,A0A640KIZ3_0_apo,1015.82,
valbenazine_GEJDGVNQKABXKG-CFKGEZKQSA-N,A0A640KIZ3_0_apo,1016.49,
lubeluzole_OZFSWVOEXHGDES-INIZCTEOSA-N,A0A640KIZ3_0_apo,1017.90,
roxithromycin_RXZBMPWDPOLZGW-XMRMVWPWSA-N,A0A640KIZ3_0_apo,1018.77,
metamizole_LVWZTYCIRDMTEY-UHFFFAOYSA-N,A0A640KIZ3_0_apo,10193.28,
propanol_BDERNNFJNOPAEC-UHFFFAOYSA-N,A0A640KIZ3_0_apo,101958.38,
doxylamine_HCFDWZZGGLSKEP-QGZVFWFLSA-N,A0A640KIZ3_0_apo,10197.05,
carfecillin_NZDASSHFKWDBBU-PDOICOKGSA-N,A0A640KIZ3_0_apo,10197.18,
albiglutide_OGWAVGNOAMXIIM-VTAHJYCESA-N,A0A640KIZ3_0_apo,1020.28,
cetotiamine_YBROOZNJUDHTGE-QINSGFPZSA-N,A0A640KIZ3_0_apo,1020.66,
deslanoside_OBATZBGFDSVCJD-LALPQLPRSA-N,A0A640KIZ3_0_apo,10208.85,
trimethyldiphenylpropylamine_NSHMKXVHJBBKTN-OAHLLOKOSA-N,A0A640KIZ3_0_apo,10232.76,
osimertinib_DUYJMQONPNNFPI-UHFFFAOYSA-N,A0A640KIZ3_0_apo,1025.70,
fluclorolone_VTWKPILBIUBMDS-OTJLYDAYSA-N,A0A640KIZ3_0_apo,1025.78,
amanozine_YMFGJWGABDOFID-UHFFFAOYSA-N,A0A640KIZ3_0_apo,10253.16,
hydroxycarbamide_VSNHCAURESNICA-UHFFFAOYSA-N,A0A640KIZ3_0_apo,102538.04,
docusate_sodium_HNSDLXPSAYFUHK-SQNIBIBYSA-N,A0A640KIZ3_0_apo,10257.87,
pentoxifylline_BYPFEZZEUUWMEJ-UHFFFAOYSA-N,A0A640KIZ3_0_apo,10267.51,
retinol_FPIPGXGPPPQFEQ-OVSJKPMPSA-N,A0A640KIZ3_0_apo,1027.74,
cefotaxime_GPRBEKHLDVQUJE-QSWIMTSFSA-N,A0A640KIZ3_0_apo,1027.99,
methylhomatropine_WKWOJBUWWZTUQV-JJXSEGSLSA-N,A0A640KIZ3_0_apo,10274.63,
ampicillin_AVKUERGKIZMTKX-NJBDSQKTSA-N,A0A640KIZ3_0_apo,10274.72,
propylene_glycol_DNIAPMSPPWPWGF-GSVOUGTGSA-N,A0A640KIZ3_0_apo,102873.14,
chloral_hydrate_RNFNDJAIBTYOQL-UHFFFAOYSA-N,A0A640KIZ3_0_apo,102886.34,
quinidine_LOUPRKONTZGTKE-LHHVKLHASA-N,A0A640KIZ3_0_apo,10295.03,
lincomycin_OJMMVQQUTAEWLP-KIDUDLJLSA-N,A0A640KIZ3_0_apo,10302.55,
tolvaptan_GYHCTFXIZSNGJT-DEOSSOPVSA-N,A0A640KIZ3_0_apo,1031.46,
cholic_acid_BHQCQFFYRZLCQQ-OELDTZBJSA-N,A0A640KIZ3_0_apo,10313.56,
drometrizole_MCPKSFINULVDNX-UHFFFAOYSA-N,A0A640KIZ3_0_apo,10314.71,
oftasceine_DEGAKNSWVGKMLS-UHFFFAOYSA-N,A0A640KIZ3_0_apo,10317.84,
indigo_carmine_CFZXDJWFRVEWSR-BUHFOSPRSA-N,A0A640KIZ3_0_apo,10317.96,
ixabepilone_FABUFPQFXZVHFB-PVYNADRNSA-N,A0A640KIZ3_0_apo,1032.10,
phenobarbital_DDBREPKUVSBGFI-UHFFFAOYSA-N,A0A640KIZ3_0_apo,10322.18,
bedaquiline_QUIJNHUBAXPXFS-XLJNKUFUSA-N,A0A640KIZ3_0_apo,10324.12,
ambrisentan_OUJTZYPIHDYQMC-LJQANCHMSA-N,A0A640KIZ3_0_apo,10326.52,
ioglicic_acid_HHFIATHHSBFCBY-UHFFFAOYSA-N,A0A640KIZ3_0_apo,1033.33,
brexpiprazole_ZKIAIYBUSXZPLP-UHFFFAOYSA-N,A0A640KIZ3_0_apo,1033.74,
pamabrom_SKTFQHRVFFOHTQ-UHFFFAOYSA-N,A0A640KIZ3_0_apo,10347.19,
saxagliptin_QGJUIPDUBHWZPV-YQBUGCKMSA-N,A0A640KIZ3_0_apo,1035.51,
sulbentine_QFVAWNPSRQWSDU-UHFFFAOYSA-N,A0A640KIZ3_0_apo,10369.07,
latanoprost_GGXICVAJURFBLW-CEYXHVGTSA-N,A0A640KIZ3_0_apo,1037.66,
clindamycin_KDLRVYVGXIQJDK-AWPVFWJPSA-N,A0A640KIZ3_0_apo,10370.16,
levdobutamine_JRWZLRBJNMZMFE-ZDUSSCGKSA-N,A0A640KIZ3_0_apo,10382.01,
ornithine_AHLPHDHHMVZTML-BYPYZUCNSA-N,A0A640KIZ3_0_apo,103951.11,
cafedrine_UJSKUDDDPKGBJY-WFASDCNBSA-N,A0A640KIZ3_0_apo,10397.87,
clobenzepam_IDWVKNARDDZONS-UHFFFAOYSA-N,A0A640KIZ3_0_apo,10402.06,
homatropine_ZTVIKZXZYLEVOL-CBBWQLFWSA-N,A0A640KIZ3_0_apo,1040666.62,
pyrrocaine_OYCGKECKIVYHTN-UHFFFAOYSA-N,A0A640KIZ3_0_apo,10409.87,
procodazole_XYWJNTOURDMTPI-UHFFFAOYSA-N,A0A640KIZ3_0_apo,10415.57,
pixantrone_PEZPMAYDXJQYRV-UHFFFAOYSA-N,A0A640KIZ3_0_apo,10420.97,
peramivir_XRQDFNLINLXZLB-CKIKVBCHSA-N,A0A640KIZ3_0_apo,1042853.56,
glyhexamide_NFRPNQDSKJJQGV-UHFFFAOYSA-N,A0A640KIZ3_0_apo,10438.53,
darifenacin_HXGBXQDTNZMWGS-RUZDIDTESA-N,A0A640KIZ3_0_apo,1044.86,
glyconiazide_ZBRCAASZBMWIDA-QFPUCQTMSA-N,A0A640KIZ3_0_apo,10454.73,
fluocortolone_GAKMQHDJQHZUTJ-ULHLPKEOSA-N,A0A640KIZ3_0_apo,1046.47,
triacetin_URAYPUMNDPQOKB-UHFFFAOYSA-N,A0A640KIZ3_0_apo,10466.07,
oxitriptan_LDCYZAJDBXYCGN-VIFPVBQESA-N,A0A640KIZ3_0_apo,1047.94,
allantoin_POJWUDADGALRAB-SFOWXEAESA-N,A0A640KIZ3_0_apo,104705.81,
guaimesal_PSVDIHULUCLEJE-MRXNPFEDSA-N,A0A640KIZ3_0_apo,10475.82,
difluprednate_WYQPLTPSGFELIB-JTQPXKBDSA-N,A0A640KIZ3_0_apo,105.75,
carprofen_PUXBGTOOZJQSKH-QMMMGPOBSA-N,A0A640KIZ3_0_apo,1050.20,
medroxyprogesterone_PSGAAPLEWMOORI-PEINSRQWSA-N,A0A640KIZ3_0_apo,1050.66,
lomerizine_JQSAYKKFZOSZGJ-UHFFFAOYSA-N,A0A640KIZ3_0_apo,1050.88,
buclosamide_ZGJHIFYEQJEUKA-UHFFFAOYSA-N,A0A640KIZ3_0_apo,10502.04,
diacetazotol_YIEDSISPYKQADU-FMQUCBEESA-N,A0A640KIZ3_0_apo,10503.40,
meturedepa_QTFKTBRIGWJQQL-KBPBESRZSA-N,A0A640KIZ3_0_apo,10508.73,
tolrestat_LUBHDINQXIHVLS-UHFFFAOYSA-N,A0A640KIZ3_0_apo,1051.82,
flurbiprofen_axetil_ALIVXCSEERJYHU-JSGCOSHPSA-N,A0A640KIZ3_0_apo,10517.81,
pimavanserin_RKEWSXXUOLRFBX-UHFFFAOYSA-N,A0A640KIZ3_0_apo,1052.05,
leiopyrrole_DQIUUHJEYNMMLD-UHFFFAOYSA-N,A0A640KIZ3_0_apo,1052.89,
