LigandName,TargetName,BindingScore,InterfE
zolmitriptan_ULSDMUVEXKOYBU-ZDUSSCGKSA-N,Q4QH18_0_apo,1.15,
clonixin_CLOMYZFHNHFSIQ-UHFFFAOYSA-N,Q4QH18_0_apo,10010.35,
bedaquiline_QUIJNHUBAXPXFS-XLJNKUFUSA-N,Q4QH18_0_apo,10014.41,
molsidomine_XLFWDASMENKTKL-UHFFFAOYSA-N,Q4QH18_0_apo,100163.81,
itopride_QQQIECGTIMUVDS-UHFFFAOYSA-N,Q4QH18_0_apo,1002.77,
ouabain_LPMXVESGRSUGHW-HBYQJFLCSA-N,Q4QH18_0_apo,10020.06,
iloprost_HIFJCPQKFCZDDL-ITQKTNNISA-N,Q4QH18_0_apo,10023.29,
sulfacarbamide_WVAKABMNNSMCDK-UHFFFAOYSA-N,Q4QH18_0_apo,1002558.33,
pipotiazine_palmitate_KTOYYUONFQWSMW-UHFFFAOYSA-N,Q4QH18_0_apo,1003.66,
betaine_KWIUHFFTVRNATP-UHFFFAOYSA-N,Q4QH18_0_apo,100311.65,
propantheline_VVWYOYDLCMFIEM-UHFFFAOYSA-N,Q4QH18_0_apo,10033.26,
amphotericin_B_APKFDSVGJQXUKY-SKLSDIGGSA-N,Q4QH18_0_apo,1004.53,
safinamide_NEMGRZFTLSKBAP-LBPRGKRZSA-N,Q4QH18_0_apo,10040.67,
floredil_MXVLJFCCQMXEEE-UHFFFAOYSA-N,Q4QH18_0_apo,10041.21,
sulfamidochrysoidine_ABBQGOCHXSPKHJ-WUKNDPDISA-N,Q4QH18_0_apo,10044.28,
valsartan_ACWBQPMHZXGDFX-QFIPXVFZSA-N,Q4QH18_0_apo,1005.20,
befunolol_ZPQPDBIHYCBNIG-ZDUSSCGKSA-N,Q4QH18_0_apo,1006.81,
methacholine_NZWOPGCLSHLLPA-ZETCQYMHSA-N,Q4QH18_0_apo,10068.51,
levomoprolol_LFTFGCDECFPSQD-NSHDSACASA-N,Q4QH18_0_apo,1007.78,
mepindolol_NXWGWUVGUSFQJC-LBPRGKRZSA-N,Q4QH18_0_apo,1007.96,
hexafluronium_HDZAQYPYABGTCL-UHFFFAOYSA-N,Q4QH18_0_apo,10077.44,
daclatasvir_FKRSSPOQAMALKA-CUPIEXAXSA-N,Q4QH18_0_apo,1008.67,
mosapramine_PXUIZULXJVRBPC-AREMUKBSSA-N,Q4QH18_0_apo,1009.64,
eucatropine_QSAVEGSLJISCDF-NWANDNLSSA-N,Q4QH18_0_apo,10092.84,
celecoxib_RZEKVGVHFLEQIL-UHFFFAOYSA-N,Q4QH18_0_apo,1011.85,
fondaparinux_KANJSNBRCNMZMV-ABRZTLGGSA-N,Q4QH18_0_apo,10122.68,
sulfathiourea_UEMLYRZWLVXWRU-UHFFFAOYSA-N,Q4QH18_0_apo,10124.15,
saquinavir_QWAXKHKRTORLEM-UGJKXSETSA-N,Q4QH18_0_apo,1013.23,
choline_OEYIOHPDSNJKLS-UHFFFAOYSA-N,Q4QH18_0_apo,101313.66,
etizolam_VMZUTJCNQWMAGF-UHFFFAOYSA-N,Q4QH18_0_apo,1014.97,
UREA_C_14_XSQUKJJJFZCRTK-NJFSPNSNSA-N,Q4QH18_0_apo,101404.36,
venetoclax_LQBVNQSMGBZMKD-UHFFFAOYSA-N,Q4QH18_0_apo,1015.32,
tixocortol_BISFDZNIUZIKJD-XDANTLIUSA-N,Q4QH18_0_apo,1015.50,
perampanel_PRMWGUBFXWROHD-UHFFFAOYSA-N,Q4QH18_0_apo,10155.34,
arsthinol_MRUDSZSRLQAPOG-SKDRFNHKSA-N,Q4QH18_0_apo,101586.01,
benzestrol_DUTFBSAKKUNBAL-JSNMRZPZSA-N,Q4QH18_0_apo,10159.20,
phenyltoloxamine_IZRPKIZLIFYYKR-UHFFFAOYSA-N,Q4QH18_0_apo,1016.41,
fluphenazine_decanoate_VIQCGTZFEYDQMR-UHFFFAOYSA-N,Q4QH18_0_apo,10161.61,
nifurtimox_ARFHIAQFJWUCFH-JMUHATKESA-N,Q4QH18_0_apo,10168.55,
prasterone_acetate_NCMZQTLCXHGLOK-ZKHIMWLXSA-N,Q4QH18_0_apo,1017.98,
mebutamate_LEROTMJVBFSIMP-SSDOTTSWSA-N,Q4QH18_0_apo,10173.02,
glycerol_PEDCQBHIVMGVHV-UHFFFAOYSA-N,Q4QH18_0_apo,101772.79,
acetylmethadol_XBMIVRRWGCYBTQ-PGRDOPGGSA-N,Q4QH18_0_apo,1018.37,
cefuroxime_axetil_KEJCWVGMRLCZQQ-DDFBNJLNSA-N,Q4QH18_0_apo,10185.96,
triclosan_XEFQLINVKFYRCS-UHFFFAOYSA-N,Q4QH18_0_apo,101864.87,
faropenem_HGGAKXAHAYOLDJ-FHZUQPTBSA-N,Q4QH18_0_apo,102.72,
retinol_FPIPGXGPPPQFEQ-OVSJKPMPSA-N,Q4QH18_0_apo,1020.28,
fampridine_NUKYPUAOHBNCPY-UHFFFAOYSA-N,Q4QH18_0_apo,102029.37,
cetirizine_ZKLPARSLTMPFCP-NRFANRHFSA-N,Q4QH18_0_apo,102077.54,
paraoxon_WYMSBXTXOHUIGT-UHFFFAOYSA-N,Q4QH18_0_apo,1020880.28,
piroxicam_QYSPLQLAKJAUJT-UHFFFAOYSA-N,Q4QH18_0_apo,1021.39,
fosnetupitant_HZIYEEMJNBKMJH-UHFFFAOYSA-O,Q4QH18_0_apo,1022.12,
lucanthone_FBQPGGIHOFZRGH-UHFFFAOYSA-N,Q4QH18_0_apo,1023.31,
embramine_URSRSKSNFPUKGH-SFHVURJKSA-N,Q4QH18_0_apo,10230.59,
cetrimonium_RLGQACBPNDBWTB-UHFFFAOYSA-N,Q4QH18_0_apo,10233.61,
fosfluconazole_GHJWNRRCRIGGIO-UHFFFAOYSA-N,Q4QH18_0_apo,10240.99,
midodrine_PTKSEFOSCHHMPD-SNVBAGLBSA-N,Q4QH18_0_apo,102411.55,
ethylmethylthiambutene_MORSAEFGQPDBKM-LBPRGKRZSA-N,Q4QH18_0_apo,1025.70,
pridinol_RQXCLMGKHJWMOA-UHFFFAOYSA-N,Q4QH18_0_apo,10252.64,
chromic_chloride_QSWDMMVNRMROPK-UHFFFAOYSA-K,Q4QH18_0_apo,102593.77,
pethidine_XADCESSVHJOZHK-UHFFFAOYSA-N,Q4QH18_0_apo,1027.40,
tenapanor_DNHPDWGIXIMXSA-CXNSMIOJSA-N,Q4QH18_0_apo,1027.90,
cefaloridine_CZTQZXZIADLWOZ-CRAIPNDOSA-N,Q4QH18_0_apo,10271.82,
trimethadione_IRYJRGCIQBGHIV-UHFFFAOYSA-N,Q4QH18_0_apo,1027313.76,
hydroquinine_LJOQGZACKSYWCH-WZBLMQSHSA-N,Q4QH18_0_apo,10276.45,
nystatin_VQOXZBDYSJBXMA-MSHYPYPPSA-N,Q4QH18_0_apo,1028.81,
dexamethasone_valerate_SNHRLVCMMWUAJD-OMPPIWKSSA-N,Q4QH18_0_apo,10280.35,
buclosamide_ZGJHIFYEQJEUKA-UHFFFAOYSA-N,Q4QH18_0_apo,10281.23,
tilbroquinol_JMOVFFLYGIQXMM-UHFFFAOYSA-N,Q4QH18_0_apo,102873.19,
afamelanotide_UAHFGYDRQSXQEB-PWPYQVNISA-N,Q4QH18_0_apo,1029.43,
amiphenazole_UPOYFZYFGWBUKL-UHFFFAOYSA-N,Q4QH18_0_apo,10296.21,
methylnaltrexone_JVLBPIPGETUEET-WIXLDOGYSA-O,Q4QH18_0_apo,10297.08,
5-aminolevulinic_acid_hexyl_ester_RYQOILLJDKPETL-UHFFFAOYSA-N,Q4QH18_0_apo,10298.46,
metipranolol_BQIPXWYNLPYNHW-HNNXBMFYSA-N,Q4QH18_0_apo,103.71,
glypinamide_RHQSNARBXHRBNP-UHFFFAOYSA-N,Q4QH18_0_apo,10305.34,
nicocodine_RYBGRHAWFUVMST-MJFIPZRTSA-N,Q4QH18_0_apo,1031.08,
cocaine_ZPUCINDJVBIVPJ-LJISPDSOSA-N,Q4QH18_0_apo,10316.85,
clotiazepam_CHBRHODLKOZEPZ-UHFFFAOYSA-N,Q4QH18_0_apo,1031762.13,
fendiline_NMKSAYKQLCHXDK-LJQANCHMSA-N,Q4QH18_0_apo,10329.54,
pempidine_XULIXFLCVXWHRF-UHFFFAOYSA-N,Q4QH18_0_apo,10331.15,
tazanolast_XQTARQNQIVVBRX-UHFFFAOYSA-N,Q4QH18_0_apo,10332.34,
betoxycaine_CXYOBRKOFHQONJ-UHFFFAOYSA-N,Q4QH18_0_apo,10337.70,
benzalkonium_CYDRXTMLKJDRQH-UHFFFAOYSA-N,Q4QH18_0_apo,1034.50,
