Ligand-Name,Target-Name,Binding-Score,InterfE
phenol_ISWSIDIOOBJBQZ-UHFFFAOYSA-N,A4HSF7.0.apo,159484.59,-4.8
valine_KZSNJWFQEVHDMF-BYPYZUCNSA-N,A4HSF7.0.apo,160746.58,-5.0
streptozocin_ZSJLQEPLLKMAKR-GKHCUFPYSA-N,A4HSF7.0.apo,165014.4,-6.1
tolonium_RQNADZJRELIICT-UHFFFAOYSA-N,A4HSF7.0.apo,166747.53,-6.3
cyclizine_UVKZSORBKUEBAZ-UHFFFAOYSA-N,A4HSF7.0.apo,166846.43,-6.6
amitriptylinoxide_ZPMKQFOGINQDAM-UHFFFAOYSA-N,A4HSF7.0.apo,171065.27,-7.6
mannitol_FBPFZTCFMRRESA-KVTDHHQDSA-N,A4HSF7.0.apo,171309.18,-5.6
sorbitol_FBPFZTCFMRRESA-JGWLITMVSA-N,A4HSF7.0.apo,179615.55,-5.8
ferric_oxide_JEIPFZHSYJVQDO-UHFFFAOYSA-N,A4HSF7.0.apo,181219.59,-4.0
carfimate_MTTYXGPMZKRTCI-VIFPVBQESA-N,A4HSF7.0.apo,189148.9,-5.5
isoniazid_QRXWMOHMRWLFEY-UHFFFAOYSA-N,A4HSF7.0.apo,191488.21,-5.7
oleic_acid_ZQPPMHVWECSIRJ-KTKRTIGZSA-N,A4HSF7.0.apo,192795.08,-4.9
mefenorex_XXVROGAVTTXONC-NSHDSACASA-N,A4HSF7.0.apo,193891.28,-5.0
chlorzoxazone_TZFWDZFKRBELIQ-UHFFFAOYSA-N,A4HSF7.0.apo,195495.64,-6.0
prenderol_XRVCFZPJAHWYTB-UHFFFAOYSA-N,A4HSF7.0.apo,196128.2,-4.0
gluconic_acid_RGHNJXZEOKUKBD-SQOUGZDYSA-N,A4HSF7.0.apo,203256.75,-5.9
tribromoethanol_YFDSDPIBEUFTMI-UHFFFAOYSA-N,A4HSF7.0.apo,206098.33,-3.3
bromisoval_CMCCHHWTTBEZNM-SCSAIBSYSA-N,A4HSF7.0.apo,206243.34,-5.9
sucrose_CZMRCDWAGMRECN-UGDNZRGBSA-N,A4HSF7.0.apo,212657.49,-6.1
pheneturide_AJOQSQHYDOFIOX-SECBINFHSA-N,A4HSF7.0.apo,214926.47,-7.7
meglutol_NPOAOTPXWNWTSH-UHFFFAOYSA-N,A4HSF7.0.apo,217683.48,-4.4
fludeoxyglucose_(18F)_ZCXUVYAZINUVJD-AHXZWLDOSA-N,A4HSF7.0.apo,221432.09,-6.2
tartaric_acid_FEWJPZIEWOKRBE-JCYAYHJZSA-N,A4HSF7.0.apo,225148.09,-5.5
itramin_tosilate_KZTZJUQNSSLNAG-UHFFFAOYSA-N,A4HSF7.0.apo,232960.87,-4.7
glucosamine_MSWZFWKMSRAUBD-QZABAPFNSA-N,A4HSF7.0.apo,237410.88,-6.6
lactitol_VQHSOMBJVWLPSR-JVCRWLNRSA-N,A4HSF7.0.apo,251719.42,-5.7
mecysteine_MCYHPZGUONZRGO-VKHMYHEASA-N,A4HSF7.0.apo,272890.32,-3.5
loprodiol_YFESJHPTNWYOCO-UHFFFAOYSA-N,A4HSF7.0.apo,273428.52,-3.9
isoleucine_AGPKZVBTJJNPAG-WHFBIAKZSA-N,A4HSF7.0.apo,275008.4,-5.1
oxilofrine_OXFGTKPPFSCSMA-XVKPBYJWSA-N,A4HSF7.0.apo,275823.68,-6.2
xylitol_HEBKCHPVOIAQTA-SCDXWVJYSA-N,A4HSF7.0.apo,281311.06,-4.4
ephedrine_KWGRBVOPPLSCSI-WPRPVWTQSA-N,A4HSF7.0.apo,287614.44,-5.1
glucametacin_LGAJOMLFGCSBFF-OLXDQKQCSA-N,A4HSF7.0.apo,294111.67,-8.3
octanoic_acid_WWZKQHOCKIZLMA-UHFFFAOYSA-N,A4HSF7.0.apo,297186.35,-4.4
oxaceprol_BAPRUDZDYCKSOQ-RITPCOANSA-N,A4HSF7.0.apo,336067.34,-4.9
adenosine_phosphate_UDMBCSSLTHHNCD-KQYNXXCUSA-N,A4HSF7.0.apo,351626.96,-6.7
inositol_CDAISMWEOUEBRE-GPIVLXJGSA-N,A4HSF7.0.apo,353789.29,-4.9
zoxazolamine_YGCODSQDUUUKIV-UHFFFAOYSA-N,A4HSF7.0.apo,484181.6,-5.3
amitriptyline_KRMDCWKBEZIMAB-UHFFFAOYSA-N,A4HSF7.0.apo,538295.62,-7.6
N-Acetylglucosamine_OVRNDRQMDRJTHS-FMDGEEDCSA-N,A4HSF7.0.apo,626989.21,-5.5
galactose_WQZGKKKJIJFFOK-PHYPRBDBSA-N,A4HSF7.0.apo,794161.66,-5.3
glucose_WQZGKKKJIJFFOK-VFUOTHLCSA-N,A4HSF7.0.apo,1074926.91,-5.0
