Ligand-Name,Target-Name,Binding-Score,InterfE
pyrazinamide_IPEHBUMCGVEMRF-UHFFFAOYSA-N,A4HT18.0.apo,194354.44,-5.5
ifosfamide_HOMGKSMUEGBAAB-CQSZACIVSA-N,A4HT18.0.apo,194490.56,-5.9
ranimustine_AHHFEZNOXOZZQA-ZEBDFXRSSA-N,A4HT18.0.apo,197902.33,-7.5
phenylalanine_COLNVLDHVKWLRT-QMMMGPOBSA-N,A4HT18.0.apo,199304.47,-6.3
nicotinic_acid_PVNIIMVLHYAWGP-UHFFFAOYSA-N,A4HT18.0.apo,199594.11,-5.3
biphenylol_LLEMOWNGBBNAJR-UHFFFAOYSA-N,A4HT18.0.apo,201373.5,-6.4
chlorcyclizine_WFNAKBGANONZEQ-GOSISDBHSA-N,A4HT18.0.apo,202458.67,-8.4
undecylenic_acid_FRPZMMHWLSIFAZ-UHFFFAOYSA-N,A4HT18.0.apo,205586.46,-4.8
gluconic_acid_RGHNJXZEOKUKBD-SQOUGZDYSA-N,A4HT18.0.apo,205732.85,-6.2
adrenalone_PZMVOUYYNKPMSI-UHFFFAOYSA-N,A4HT18.0.apo,208627.99,-6.0
foscarnet_ZJAOAACCNHFJAH-UHFFFAOYSA-N,A4HT18.0.apo,211071.23,-5.2
itramin_tosilate_KZTZJUQNSSLNAG-UHFFFAOYSA-N,A4HT18.0.apo,214744.08,-4.8
bromisoval_CMCCHHWTTBEZNM-SCSAIBSYSA-N,A4HT18.0.apo,215544.19,-6.1
octanoic_acid_WWZKQHOCKIZLMA-UHFFFAOYSA-N,A4HT18.0.apo,230173.64,-4.8
streptozocin_ZSJLQEPLLKMAKR-GKHCUFPYSA-N,A4HT18.0.apo,233563.44,-7.6
isoniazid_QRXWMOHMRWLFEY-UHFFFAOYSA-N,A4HT18.0.apo,235369.6,-5.6
pheneturide_AJOQSQHYDOFIOX-SECBINFHSA-N,A4HT18.0.apo,235653.62,-7.2
oleic_acid_ZQPPMHVWECSIRJ-KTKRTIGZSA-N,A4HT18.0.apo,237211.15,-5.2
tartaric_acid_FEWJPZIEWOKRBE-JCYAYHJZSA-N,A4HT18.0.apo,237250.74,-5.9
ferric_oxide_JEIPFZHSYJVQDO-UHFFFAOYSA-N,A4HT18.0.apo,237433.09,-4.0
xylitol_HEBKCHPVOIAQTA-SCDXWVJYSA-N,A4HT18.0.apo,240586.62,-5.1
amitriptylinoxide_ZPMKQFOGINQDAM-UHFFFAOYSA-N,A4HT18.0.apo,250703.37,-9.2
mefenorex_XXVROGAVTTXONC-NSHDSACASA-N,A4HT18.0.apo,255481.11,-5.4
cyclizine_UVKZSORBKUEBAZ-UHFFFAOYSA-N,A4HT18.0.apo,257408.79,-7.8
glucosamine_MSWZFWKMSRAUBD-QZABAPFNSA-N,A4HT18.0.apo,257540.69,-6.1
meglutol_NPOAOTPXWNWTSH-UHFFFAOYSA-N,A4HT18.0.apo,284794.49,-5.0
tolonium_RQNADZJRELIICT-UHFFFAOYSA-N,A4HT18.0.apo,285672.22,-7.7
sucrose_CZMRCDWAGMRECN-UGDNZRGBSA-N,A4HT18.0.apo,299155.87,-7.8
fludeoxyglucose_(18F)_ZCXUVYAZINUVJD-AHXZWLDOSA-N,A4HT18.0.apo,302065.93,-5.7
lactitol_VQHSOMBJVWLPSR-JVCRWLNRSA-N,A4HT18.0.apo,305322.88,-6.8
mecysteine_MCYHPZGUONZRGO-VKHMYHEASA-N,A4HT18.0.apo,338331.89,-4.2
loprodiol_YFESJHPTNWYOCO-UHFFFAOYSA-N,A4HT18.0.apo,343367.19,-4.3
glucametacin_LGAJOMLFGCSBFF-OLXDQKQCSA-N,A4HT18.0.apo,370012.22,-10.3
ephedrine_KWGRBVOPPLSCSI-WPRPVWTQSA-N,A4HT18.0.apo,391997.42,-5.8
oxaceprol_BAPRUDZDYCKSOQ-RITPCOANSA-N,A4HT18.0.apo,438428.76,-5.8
inositol_CDAISMWEOUEBRE-GPIVLXJGSA-N,A4HT18.0.apo,459177.92,-6.0
zoxazolamine_YGCODSQDUUUKIV-UHFFFAOYSA-N,A4HT18.0.apo,459797.85,-5.9
adenosine_phosphate_UDMBCSSLTHHNCD-KQYNXXCUSA-N,A4HT18.0.apo,512999.83,-8.4
amitriptyline_KRMDCWKBEZIMAB-UHFFFAOYSA-N,A4HT18.0.apo,581056.93,-8.8
N-Acetylglucosamine_OVRNDRQMDRJTHS-FMDGEEDCSA-N,A4HT18.0.apo,693995.09,-6.7
galactose_WQZGKKKJIJFFOK-PHYPRBDBSA-N,A4HT18.0.apo,992977.41,-5.8
glucose_WQZGKKKJIJFFOK-VFUOTHLCSA-N,A4HT18.0.apo,1295431.16,-5.9
