Ligand-Name,Target-Name,Binding-Score,InterfE
chromocarb_RVMGXWBCQGAWBR-UHFFFAOYSA-N,E9AQB1.0.apo,137523.75,-7.3
thiamazole_PMRYVIKBURPHAH-UHFFFAOYSA-N,E9AQB1.0.apo,137540.01,-4.0
glucosamine_MSWZFWKMSRAUBD-QZABAPFNSA-N,E9AQB1.0.apo,137825.83,-5.9
edetic_acid_KCXVZYZYPLLWCC-UHFFFAOYSA-N,E9AQB1.0.apo,138750.36,-5.1
cyclizine_UVKZSORBKUEBAZ-UHFFFAOYSA-N,E9AQB1.0.apo,141125.84,-7.0
mercaptopurine_GLVAUDGFNGKCSF-UHFFFAOYSA-N,E9AQB1.0.apo,148221.61,-5.2
tribromoethanol_YFDSDPIBEUFTMI-UHFFFAOYSA-N,E9AQB1.0.apo,151565.57,-3.6
flucytosine_XRECTZIEBJDKEO-UHFFFAOYSA-N,E9AQB1.0.apo,157844.25,-5.0
isoniazid_QRXWMOHMRWLFEY-UHFFFAOYSA-N,E9AQB1.0.apo,159808.03,-5.2
oxaceprol_BAPRUDZDYCKSOQ-RITPCOANSA-N,E9AQB1.0.apo,161271.75,-5.8
chlorzoxazone_TZFWDZFKRBELIQ-UHFFFAOYSA-N,E9AQB1.0.apo,163574.23,-6.2
valine_KZSNJWFQEVHDMF-BYPYZUCNSA-N,E9AQB1.0.apo,164630.17,-4.6
ifosfamide_HOMGKSMUEGBAAB-CQSZACIVSA-N,E9AQB1.0.apo,172891.78,-5.3
carfimate_MTTYXGPMZKRTCI-VIFPVBQESA-N,E9AQB1.0.apo,180889.56,-6.3
prenderol_XRVCFZPJAHWYTB-UHFFFAOYSA-N,E9AQB1.0.apo,182161.89,-4.7
itramin_tosilate_KZTZJUQNSSLNAG-UHFFFAOYSA-N,E9AQB1.0.apo,188320.67,-3.8
meglumine_MBBZMMPHUWSWHV-BDVNFPICSA-N,E9AQB1.0.apo,201080.83,-5.4
telmesteine_XBJWOGLKABXFJE-YFKPBYRVSA-N,E9AQB1.0.apo,204217.1,-5.2
mannitol_FBPFZTCFMRRESA-KVTDHHQDSA-N,E9AQB1.0.apo,204703.78,-4.8
loprodiol_YFESJHPTNWYOCO-UHFFFAOYSA-N,E9AQB1.0.apo,215195.21,-4.5
adenosine_phosphate_UDMBCSSLTHHNCD-KQYNXXCUSA-N,E9AQB1.0.apo,244395.41,-7.4
bromisoval_CMCCHHWTTBEZNM-SCSAIBSYSA-N,E9AQB1.0.apo,248971.47,-5.4
sorbitol_FBPFZTCFMRRESA-JGWLITMVSA-N,E9AQB1.0.apo,252902.25,-4.7
mefenorex_XXVROGAVTTXONC-NSHDSACASA-N,E9AQB1.0.apo,255827.03,-5.1
gluconic_acid_RGHNJXZEOKUKBD-SQOUGZDYSA-N,E9AQB1.0.apo,260583.1,-5.4
tartaric_acid_FEWJPZIEWOKRBE-JCYAYHJZSA-N,E9AQB1.0.apo,266492.55,-4.8
pheneturide_AJOQSQHYDOFIOX-SECBINFHSA-N,E9AQB1.0.apo,275734.2,-6.6
oxilofrine_OXFGTKPPFSCSMA-XVKPBYJWSA-N,E9AQB1.0.apo,288811.54,-6.3
inositol_CDAISMWEOUEBRE-GPIVLXJGSA-N,E9AQB1.0.apo,293330.55,-5.9
lactitol_VQHSOMBJVWLPSR-JVCRWLNRSA-N,E9AQB1.0.apo,294951.3,-6.0
octanoic_acid_WWZKQHOCKIZLMA-UHFFFAOYSA-N,E9AQB1.0.apo,307639.51,-4.9
glucametacin_LGAJOMLFGCSBFF-OLXDQKQCSA-N,E9AQB1.0.apo,310541.36,-8.5
meglutol_NPOAOTPXWNWTSH-UHFFFAOYSA-N,E9AQB1.0.apo,314185.21,-4.9
xylitol_HEBKCHPVOIAQTA-SCDXWVJYSA-N,E9AQB1.0.apo,326523.36,-4.7
isoleucine_AGPKZVBTJJNPAG-WHFBIAKZSA-N,E9AQB1.0.apo,370435.68,-4.7
zoxazolamine_YGCODSQDUUUKIV-UHFFFAOYSA-N,E9AQB1.0.apo,376183.76,-5.8
mecysteine_MCYHPZGUONZRGO-VKHMYHEASA-N,E9AQB1.0.apo,394053.5,-3.6
amitriptyline_KRMDCWKBEZIMAB-UHFFFAOYSA-N,E9AQB1.0.apo,400033.95,-8.0
N-Acetylglucosamine_OVRNDRQMDRJTHS-FMDGEEDCSA-N,E9AQB1.0.apo,449358.5,-5.7
ephedrine_KWGRBVOPPLSCSI-WPRPVWTQSA-N,E9AQB1.0.apo,467475.12,-6.1
galactose_WQZGKKKJIJFFOK-PHYPRBDBSA-N,E9AQB1.0.apo,585447.11,-5.7
glucose_WQZGKKKJIJFFOK-VFUOTHLCSA-N,E9AQB1.0.apo,1065925.47,-5.8
