Ligand-Name,Target-Name,Binding-Score,InterfE
glycine_DHMQDGOQFOQNFH-UHFFFAOYSA-N,E9BC84.0.apo,155733.48,-3.6
taurine_XOAAWQZATWQOTB-UHFFFAOYSA-N,E9BC84.0.apo,161320.59,-3.8
thiamazole_PMRYVIKBURPHAH-UHFFFAOYSA-N,E9BC84.0.apo,163549.32,-3.5
oxaceprol_BAPRUDZDYCKSOQ-RITPCOANSA-N,E9BC84.0.apo,167006.78,-5.8
isoniazid_QRXWMOHMRWLFEY-UHFFFAOYSA-N,E9BC84.0.apo,169338.3,-4.8
chromocarb_RVMGXWBCQGAWBR-UHFFFAOYSA-N,E9BC84.0.apo,170112.69,-6.3
mercaptopurine_GLVAUDGFNGKCSF-UHFFFAOYSA-N,E9BC84.0.apo,175890.5,-5.2
tribromoethanol_YFDSDPIBEUFTMI-UHFFFAOYSA-N,E9BC84.0.apo,176072.82,-3.8
edetic_acid_KCXVZYZYPLLWCC-UHFFFAOYSA-N,E9BC84.0.apo,180246.51,-5.4
tiopronin_YTGJWQPHMWSCST-GSVOUGTGSA-N,E9BC84.0.apo,182576.92,-4.8
flucytosine_XRECTZIEBJDKEO-UHFFFAOYSA-N,E9BC84.0.apo,193990.46,-5.0
valine_KZSNJWFQEVHDMF-BYPYZUCNSA-N,E9BC84.0.apo,197913.38,-4.6
carfimate_MTTYXGPMZKRTCI-VIFPVBQESA-N,E9BC84.0.apo,202759.13,-5.2
ifosfamide_HOMGKSMUEGBAAB-CQSZACIVSA-N,E9BC84.0.apo,204503.88,-4.6
chlorzoxazone_TZFWDZFKRBELIQ-UHFFFAOYSA-N,E9BC84.0.apo,209148.02,-5.3
meglumine_MBBZMMPHUWSWHV-BDVNFPICSA-N,E9BC84.0.apo,224960.28,-4.7
mannitol_FBPFZTCFMRRESA-KVTDHHQDSA-N,E9BC84.0.apo,227559.43,-4.4
prenderol_XRVCFZPJAHWYTB-UHFFFAOYSA-N,E9BC84.0.apo,227920.77,-4.7
telmesteine_XBJWOGLKABXFJE-YFKPBYRVSA-N,E9BC84.0.apo,234887.58,-4.5
itramin_tosilate_KZTZJUQNSSLNAG-UHFFFAOYSA-N,E9BC84.0.apo,238945.88,-3.6
loprodiol_YFESJHPTNWYOCO-UHFFFAOYSA-N,E9BC84.0.apo,250590.16,-3.9
adenosine_phosphate_UDMBCSSLTHHNCD-KQYNXXCUSA-N,E9BC84.0.apo,264551.02,-6.5
sorbitol_FBPFZTCFMRRESA-JGWLITMVSA-N,E9BC84.0.apo,273419.77,-4.7
bromisoval_CMCCHHWTTBEZNM-SCSAIBSYSA-N,E9BC84.0.apo,276815.77,-5.5
tartaric_acid_FEWJPZIEWOKRBE-JCYAYHJZSA-N,E9BC84.0.apo,290410.98,-5.0
gluconic_acid_RGHNJXZEOKUKBD-SQOUGZDYSA-N,E9BC84.0.apo,297582.33,-5.5
lactitol_VQHSOMBJVWLPSR-JVCRWLNRSA-N,E9BC84.0.apo,302104.04,-5.7
mefenorex_XXVROGAVTTXONC-NSHDSACASA-N,E9BC84.0.apo,304133.03,-5.0
glucametacin_LGAJOMLFGCSBFF-OLXDQKQCSA-N,E9BC84.0.apo,308519.95,-8.4
oxilofrine_OXFGTKPPFSCSMA-XVKPBYJWSA-N,E9BC84.0.apo,333690.77,-5.4
inositol_CDAISMWEOUEBRE-GPIVLXJGSA-N,E9BC84.0.apo,341397.87,-5.8
pheneturide_AJOQSQHYDOFIOX-SECBINFHSA-N,E9BC84.0.apo,342960.98,-6.2
xylitol_HEBKCHPVOIAQTA-SCDXWVJYSA-N,E9BC84.0.apo,359769.34,-4.7
octanoic_acid_WWZKQHOCKIZLMA-UHFFFAOYSA-N,E9BC84.0.apo,373513.68,-4.5
meglutol_NPOAOTPXWNWTSH-UHFFFAOYSA-N,E9BC84.0.apo,387968.06,-4.5
isoleucine_AGPKZVBTJJNPAG-WHFBIAKZSA-N,E9BC84.0.apo,408275.51,-4.9
zoxazolamine_YGCODSQDUUUKIV-UHFFFAOYSA-N,E9BC84.0.apo,417988.5,-5.8
amitriptyline_KRMDCWKBEZIMAB-UHFFFAOYSA-N,E9BC84.0.apo,431667.09,-6.9
N-Acetylglucosamine_OVRNDRQMDRJTHS-FMDGEEDCSA-N,E9BC84.0.apo,497014.29,-5.5
mecysteine_MCYHPZGUONZRGO-VKHMYHEASA-N,E9BC84.0.apo,497023.4,-3.6
ephedrine_KWGRBVOPPLSCSI-WPRPVWTQSA-N,E9BC84.0.apo,534683.33,-5.9
galactose_WQZGKKKJIJFFOK-PHYPRBDBSA-N,E9BC84.0.apo,609666.93,-5.0
glucose_WQZGKKKJIJFFOK-VFUOTHLCSA-N,E9BC84.0.apo,1121718.49,-5.5
