Ligand-Name,Target-Name,Binding-Score,InterfE
cyclobenzaprine_JURKNVYFZMSNLP-UHFFFAOYSA-N,E9BIW4.0.apo,161667.39,-7.0
itramin_tosilate_KZTZJUQNSSLNAG-UHFFFAOYSA-N,E9BIW4.0.apo,162108.68,-3.3
chlorcyclizine_WFNAKBGANONZEQ-GOSISDBHSA-N,E9BIW4.0.apo,167966.23,-6.5
valine_KZSNJWFQEVHDMF-BYPYZUCNSA-N,E9BIW4.0.apo,174764.34,-4.1
acadesine_RTRQQBHATOEIAF-UUOKFMHZSA-N,E9BIW4.0.apo,176911.87,-5.7
foscarnet_ZJAOAACCNHFJAH-UHFFFAOYSA-N,E9BIW4.0.apo,177792.72,-4.0
phenylalanine_COLNVLDHVKWLRT-QMMMGPOBSA-N,E9BIW4.0.apo,178051.36,-4.9
gluconolactone_PHOQVHQSTUBQQK-SQOUGZDYSA-N,E9BIW4.0.apo,179845.53,-5.0
isoniazid_QRXWMOHMRWLFEY-UHFFFAOYSA-N,E9BIW4.0.apo,182446.68,-4.8
pheneturide_AJOQSQHYDOFIOX-SECBINFHSA-N,E9BIW4.0.apo,191530.74,-5.9
mannitol_FBPFZTCFMRRESA-KVTDHHQDSA-N,E9BIW4.0.apo,194814.53,-4.4
sucrose_CZMRCDWAGMRECN-UGDNZRGBSA-N,E9BIW4.0.apo,195290.94,-5.6
oxilofrine_OXFGTKPPFSCSMA-XVKPBYJWSA-N,E9BIW4.0.apo,196222.05,-5.4
amitriptylinoxide_ZPMKQFOGINQDAM-UHFFFAOYSA-N,E9BIW4.0.apo,198182.95,-6.9
cyclizine_UVKZSORBKUEBAZ-UHFFFAOYSA-N,E9BIW4.0.apo,198754.53,-6.3
fludeoxyglucose_(18F)_ZCXUVYAZINUVJD-AHXZWLDOSA-N,E9BIW4.0.apo,200106.82,-5.3
mefenorex_XXVROGAVTTXONC-NSHDSACASA-N,E9BIW4.0.apo,204556.48,-5.0
telmesteine_XBJWOGLKABXFJE-YFKPBYRVSA-N,E9BIW4.0.apo,209376.54,-4.4
meglutol_NPOAOTPXWNWTSH-UHFFFAOYSA-N,E9BIW4.0.apo,213535.53,-4.3
loprodiol_YFESJHPTNWYOCO-UHFFFAOYSA-N,E9BIW4.0.apo,217248.46,-3.7
bromisoval_CMCCHHWTTBEZNM-SCSAIBSYSA-N,E9BIW4.0.apo,239406.75,-4.6
octanoic_acid_WWZKQHOCKIZLMA-UHFFFAOYSA-N,E9BIW4.0.apo,246127.8,-3.9
thiamine_JZRWCGZRTZMZEH-UHFFFAOYSA-N,E9BIW4.0.apo,249693.38,-5.0
meglumine_MBBZMMPHUWSWHV-BDVNFPICSA-N,E9BIW4.0.apo,250970.42,-4.4
glucosamine_MSWZFWKMSRAUBD-QZABAPFNSA-N,E9BIW4.0.apo,253685.22,-4.9
mecysteine_MCYHPZGUONZRGO-VKHMYHEASA-N,E9BIW4.0.apo,258672.13,-3.4
gluconic_acid_RGHNJXZEOKUKBD-SQOUGZDYSA-N,E9BIW4.0.apo,263079.37,-4.8
tartaric_acid_FEWJPZIEWOKRBE-JCYAYHJZSA-N,E9BIW4.0.apo,274337.76,-4.2
isoleucine_AGPKZVBTJJNPAG-WHFBIAKZSA-N,E9BIW4.0.apo,288679.33,-4.2
sorbitol_FBPFZTCFMRRESA-JGWLITMVSA-N,E9BIW4.0.apo,305166.94,-4.3
lactitol_VQHSOMBJVWLPSR-JVCRWLNRSA-N,E9BIW4.0.apo,308216.19,-5.3
oxaceprol_BAPRUDZDYCKSOQ-RITPCOANSA-N,E9BIW4.0.apo,311968.14,-4.6
ephedrine_KWGRBVOPPLSCSI-WPRPVWTQSA-N,E9BIW4.0.apo,313780.27,-5.2
adenosine_phosphate_UDMBCSSLTHHNCD-KQYNXXCUSA-N,E9BIW4.0.apo,319559.27,-6.3
glucametacin_LGAJOMLFGCSBFF-OLXDQKQCSA-N,E9BIW4.0.apo,331189.26,-7.0
inositol_CDAISMWEOUEBRE-GPIVLXJGSA-N,E9BIW4.0.apo,349060.42,-5.1
xylitol_HEBKCHPVOIAQTA-SCDXWVJYSA-N,E9BIW4.0.apo,377118.44,-4.6
zoxazolamine_YGCODSQDUUUKIV-UHFFFAOYSA-N,E9BIW4.0.apo,395663.84,-4.7
amitriptyline_KRMDCWKBEZIMAB-UHFFFAOYSA-N,E9BIW4.0.apo,525484.37,-7.0
N-Acetylglucosamine_OVRNDRQMDRJTHS-FMDGEEDCSA-N,E9BIW4.0.apo,596325.56,-5.7
galactose_WQZGKKKJIJFFOK-PHYPRBDBSA-N,E9BIW4.0.apo,838138.31,-5.0
glucose_WQZGKKKJIJFFOK-VFUOTHLCSA-N,E9BIW4.0.apo,1298085.35,-5.0
