Ligand-Name,Target-Name,Binding-Score,InterfE
acadesine_RTRQQBHATOEIAF-UUOKFMHZSA-N,E9BM15.0.apo,210948.97,-6.3
threonine_AYFVYJQAPQTCCC-GBXIJSLDSA-N,E9BM15.0.apo,213934.13,-4.4
methylsulfonal_LKACJLUUJRMGFK-UHFFFAOYSA-N,E9BM15.0.apo,215258.83,-5.3
flucytosine_XRECTZIEBJDKEO-UHFFFAOYSA-N,E9BM15.0.apo,222081.02,-4.6
thiamine_JZRWCGZRTZMZEH-UHFFFAOYSA-N,E9BM15.0.apo,224601.67,-5.6
isoniazid_QRXWMOHMRWLFEY-UHFFFAOYSA-N,E9BM15.0.apo,232438.41,-4.9
edetic_acid_KCXVZYZYPLLWCC-UHFFFAOYSA-N,E9BM15.0.apo,233032.87,-5.0
mercaptopurine_GLVAUDGFNGKCSF-UHFFFAOYSA-N,E9BM15.0.apo,234359.38,-4.6
prenderol_XRVCFZPJAHWYTB-UHFFFAOYSA-N,E9BM15.0.apo,236160.19,-4.6
cyclobenzaprine_JURKNVYFZMSNLP-UHFFFAOYSA-N,E9BM15.0.apo,247834.37,-7.4
chlorzoxazone_TZFWDZFKRBELIQ-UHFFFAOYSA-N,E9BM15.0.apo,252608.27,-4.9
carfimate_MTTYXGPMZKRTCI-VIFPVBQESA-N,E9BM15.0.apo,258280.77,-5.7
itramin_tosilate_KZTZJUQNSSLNAG-UHFFFAOYSA-N,E9BM15.0.apo,271308.32,-3.7
telmesteine_XBJWOGLKABXFJE-YFKPBYRVSA-N,E9BM15.0.apo,277272.17,-4.7
mannitol_FBPFZTCFMRRESA-KVTDHHQDSA-N,E9BM15.0.apo,278125.69,-4.9
loprodiol_YFESJHPTNWYOCO-UHFFFAOYSA-N,E9BM15.0.apo,281506.18,-4.2
glucosamine_MSWZFWKMSRAUBD-QZABAPFNSA-N,E9BM15.0.apo,282486.44,-5.2
mefenorex_XXVROGAVTTXONC-NSHDSACASA-N,E9BM15.0.apo,284035.18,-5.4
valine_KZSNJWFQEVHDMF-BYPYZUCNSA-N,E9BM15.0.apo,291140.64,-4.4
oxaceprol_BAPRUDZDYCKSOQ-RITPCOANSA-N,E9BM15.0.apo,303434.46,-5.7
pheneturide_AJOQSQHYDOFIOX-SECBINFHSA-N,E9BM15.0.apo,310389.85,-6.1
meglutol_NPOAOTPXWNWTSH-UHFFFAOYSA-N,E9BM15.0.apo,326699.95,-4.6
adenosine_phosphate_UDMBCSSLTHHNCD-KQYNXXCUSA-N,E9BM15.0.apo,327416.28,-6.3
bromisoval_CMCCHHWTTBEZNM-SCSAIBSYSA-N,E9BM15.0.apo,327670.01,-5.2
glucametacin_LGAJOMLFGCSBFF-OLXDQKQCSA-N,E9BM15.0.apo,331849.14,-7.8
tribromoethanol_YFDSDPIBEUFTMI-UHFFFAOYSA-N,E9BM15.0.apo,344838.14,-3.7
meglumine_MBBZMMPHUWSWHV-BDVNFPICSA-N,E9BM15.0.apo,345640.46,-4.9
lactitol_VQHSOMBJVWLPSR-JVCRWLNRSA-N,E9BM15.0.apo,349645.35,-5.5
oxilofrine_OXFGTKPPFSCSMA-XVKPBYJWSA-N,E9BM15.0.apo,358554.14,-6.1
octanoic_acid_WWZKQHOCKIZLMA-UHFFFAOYSA-N,E9BM15.0.apo,361588.08,-4.1
gluconic_acid_RGHNJXZEOKUKBD-SQOUGZDYSA-N,E9BM15.0.apo,368533.83,-5.0
tartaric_acid_FEWJPZIEWOKRBE-JCYAYHJZSA-N,E9BM15.0.apo,371412.77,-4.6
inositol_CDAISMWEOUEBRE-GPIVLXJGSA-N,E9BM15.0.apo,390878.87,-5.5
sorbitol_FBPFZTCFMRRESA-JGWLITMVSA-N,E9BM15.0.apo,400065.98,-5.0
mecysteine_MCYHPZGUONZRGO-VKHMYHEASA-N,E9BM15.0.apo,427153.58,-3.6
ephedrine_KWGRBVOPPLSCSI-WPRPVWTQSA-N,E9BM15.0.apo,431929.3,-5.8
isoleucine_AGPKZVBTJJNPAG-WHFBIAKZSA-N,E9BM15.0.apo,462259.06,-4.8
xylitol_HEBKCHPVOIAQTA-SCDXWVJYSA-N,E9BM15.0.apo,484464.69,-4.2
zoxazolamine_YGCODSQDUUUKIV-UHFFFAOYSA-N,E9BM15.0.apo,542890.26,-5.3
N-Acetylglucosamine_OVRNDRQMDRJTHS-FMDGEEDCSA-N,E9BM15.0.apo,663805.02,-5.9
amitriptyline_KRMDCWKBEZIMAB-UHFFFAOYSA-N,E9BM15.0.apo,698489.52,-7.1
galactose_WQZGKKKJIJFFOK-PHYPRBDBSA-N,E9BM15.0.apo,839477.65,-5.4
glucose_WQZGKKKJIJFFOK-VFUOTHLCSA-N,E9BM15.0.apo,1434986.51,-5.6
