Ligand-Name,Target-Name,Binding-Score,InterfE
gluconolactone_PHOQVHQSTUBQQK-SQOUGZDYSA-N,G1C2I2.0.apo,248875.36,
prenderol_XRVCFZPJAHWYTB-UHFFFAOYSA-N,G1C2I2.0.apo,252294.51,
cyclizine_UVKZSORBKUEBAZ-UHFFFAOYSA-N,G1C2I2.0.apo,253019.12,
carfimate_MTTYXGPMZKRTCI-VIFPVBQESA-N,G1C2I2.0.apo,253911.15,
chlorzoxazone_TZFWDZFKRBELIQ-UHFFFAOYSA-N,G1C2I2.0.apo,256877.62,
acadesine_RTRQQBHATOEIAF-UUOKFMHZSA-N,G1C2I2.0.apo,263029.29,
valine_KZSNJWFQEVHDMF-BYPYZUCNSA-N,G1C2I2.0.apo,264164.3,
pheneturide_AJOQSQHYDOFIOX-SECBINFHSA-N,G1C2I2.0.apo,264619.16,
itramin_tosilate_KZTZJUQNSSLNAG-UHFFFAOYSA-N,G1C2I2.0.apo,265872.65,
mefenorex_XXVROGAVTTXONC-NSHDSACASA-N,G1C2I2.0.apo,268790.64,
amitriptylinoxide_ZPMKQFOGINQDAM-UHFFFAOYSA-N,G1C2I2.0.apo,269718.46,
oleic_acid_ZQPPMHVWECSIRJ-KTKRTIGZSA-N,G1C2I2.0.apo,270308.94,
mannitol_FBPFZTCFMRRESA-KVTDHHQDSA-N,G1C2I2.0.apo,272826.09,
telmesteine_XBJWOGLKABXFJE-YFKPBYRVSA-N,G1C2I2.0.apo,280559.28,
ferric_oxide_JEIPFZHSYJVQDO-UHFFFAOYSA-N,G1C2I2.0.apo,283918.4,
tribromoethanol_YFDSDPIBEUFTMI-UHFFFAOYSA-N,G1C2I2.0.apo,293812.49,
meglutol_NPOAOTPXWNWTSH-UHFFFAOYSA-N,G1C2I2.0.apo,297091.3,
tolonium_RQNADZJRELIICT-UHFFFAOYSA-N,G1C2I2.0.apo,302673.31,
fludeoxyglucose_(18F)_ZCXUVYAZINUVJD-AHXZWLDOSA-N,G1C2I2.0.apo,304959.09,
meglumine_MBBZMMPHUWSWHV-BDVNFPICSA-N,G1C2I2.0.apo,306807.99,
seractide_FHOCOBKCNJYXOP-OVLDLUHVSA-N,G1C2I2.0.apo,312254.58,
cacodylic_acid_OGGXGZAMXPVRFZ-UHFFFAOYSA-N,G1C2I2.0.apo,321543.54,
oxilofrine_OXFGTKPPFSCSMA-XVKPBYJWSA-N,G1C2I2.0.apo,325866.42,
sucrose_CZMRCDWAGMRECN-UGDNZRGBSA-N,G1C2I2.0.apo,332527.47,
bromisoval_CMCCHHWTTBEZNM-SCSAIBSYSA-N,G1C2I2.0.apo,345319.77,
corticotropin_IDLFZVILOHSSID-OVLDLUHVSA-N,G1C2I2.0.apo,354750.05,
gluconic_acid_RGHNJXZEOKUKBD-SQOUGZDYSA-N,G1C2I2.0.apo,369215.27,
tetracosactide_ZOEFCCMDUURGSE-SQKVDDBVSA-N,G1C2I2.0.apo,377248.81,
sorbitol_FBPFZTCFMRRESA-JGWLITMVSA-N,G1C2I2.0.apo,378272.71,
glucosamine_MSWZFWKMSRAUBD-QZABAPFNSA-N,G1C2I2.0.apo,379052.12,
octanoic_acid_WWZKQHOCKIZLMA-UHFFFAOYSA-N,G1C2I2.0.apo,380795.9,
loprodiol_YFESJHPTNWYOCO-UHFFFAOYSA-N,G1C2I2.0.apo,384198.51,
mecysteine_MCYHPZGUONZRGO-VKHMYHEASA-N,G1C2I2.0.apo,395618.25,
lactitol_VQHSOMBJVWLPSR-JVCRWLNRSA-N,G1C2I2.0.apo,397177.87,
tartaric_acid_FEWJPZIEWOKRBE-JCYAYHJZSA-N,G1C2I2.0.apo,401708.93,
ephedrine_KWGRBVOPPLSCSI-WPRPVWTQSA-N,G1C2I2.0.apo,405696.15,
isoleucine_AGPKZVBTJJNPAG-WHFBIAKZSA-N,G1C2I2.0.apo,414265.1,
glucametacin_LGAJOMLFGCSBFF-OLXDQKQCSA-N,G1C2I2.0.apo,415812.73,
thiamine_JZRWCGZRTZMZEH-UHFFFAOYSA-N,G1C2I2.0.apo,427755.36,
oxaceprol_BAPRUDZDYCKSOQ-RITPCOANSA-N,G1C2I2.0.apo,432266.61,
exenatide_HTQBXNHDCUEHJF-XWLPCZSASA-N,G1C2I2.0.apo,462842.67,
lixisenatide_XVVOERDUTLJJHN-IAEQDCLQSA-N,G1C2I2.0.apo,498118.29,
xylitol_HEBKCHPVOIAQTA-SCDXWVJYSA-N,G1C2I2.0.apo,503650.09,
inositol_CDAISMWEOUEBRE-GPIVLXJGSA-N,G1C2I2.0.apo,513179.51,
adenosine_phosphate_UDMBCSSLTHHNCD-KQYNXXCUSA-N,G1C2I2.0.apo,562395.2,
zoxazolamine_YGCODSQDUUUKIV-UHFFFAOYSA-N,G1C2I2.0.apo,663001.36,
amitriptyline_KRMDCWKBEZIMAB-UHFFFAOYSA-N,G1C2I2.0.apo,782394.78,
N-Acetylglucosamine_OVRNDRQMDRJTHS-FMDGEEDCSA-N,G1C2I2.0.apo,878581.81,
galactose_WQZGKKKJIJFFOK-PHYPRBDBSA-N,G1C2I2.0.apo,1042375.97,
glucose_WQZGKKKJIJFFOK-VFUOTHLCSA-N,G1C2I2.0.apo,1573494.07,
