Ligand-Name,Target-Name,Binding-Score,InterfE
gluconolactone_PHOQVHQSTUBQQK-SQOUGZDYSA-N,H9ABT8.0.apo,201450.34,-5.6
tiopronin_YTGJWQPHMWSCST-GSVOUGTGSA-N,H9ABT8.0.apo,208614.19,-4.7
acadesine_RTRQQBHATOEIAF-UUOKFMHZSA-N,H9ABT8.0.apo,219731.55,-6.4
threonine_AYFVYJQAPQTCCC-GBXIJSLDSA-N,H9ABT8.0.apo,220239.51,-4.7
flucytosine_XRECTZIEBJDKEO-UHFFFAOYSA-N,H9ABT8.0.apo,225065.86,-4.7
methylsulfonal_LKACJLUUJRMGFK-UHFFFAOYSA-N,H9ABT8.0.apo,225251.46,-4.8
mercaptopurine_GLVAUDGFNGKCSF-UHFFFAOYSA-N,H9ABT8.0.apo,226094.59,-4.9
cyclobenzaprine_JURKNVYFZMSNLP-UHFFFAOYSA-N,H9ABT8.0.apo,231043.05,-8.3
prenderol_XRVCFZPJAHWYTB-UHFFFAOYSA-N,H9ABT8.0.apo,236641.86,-4.8
chlorzoxazone_TZFWDZFKRBELIQ-UHFFFAOYSA-N,H9ABT8.0.apo,240605.74,-5.8
edetic_acid_KCXVZYZYPLLWCC-UHFFFAOYSA-N,H9ABT8.0.apo,242209.59,-5.0
carfimate_MTTYXGPMZKRTCI-VIFPVBQESA-N,H9ABT8.0.apo,257624.45,-5.5
itramin_tosilate_KZTZJUQNSSLNAG-UHFFFAOYSA-N,H9ABT8.0.apo,261116.15,-3.6
oxaceprol_BAPRUDZDYCKSOQ-RITPCOANSA-N,H9ABT8.0.apo,261586.26,-5.5
valine_KZSNJWFQEVHDMF-BYPYZUCNSA-N,H9ABT8.0.apo,282378.27,-4.3
glucosamine_MSWZFWKMSRAUBD-QZABAPFNSA-N,H9ABT8.0.apo,289720.04,-5.3
mannitol_FBPFZTCFMRRESA-KVTDHHQDSA-N,H9ABT8.0.apo,296699.2,-5.2
pheneturide_AJOQSQHYDOFIOX-SECBINFHSA-N,H9ABT8.0.apo,318701.07,-7.4
telmesteine_XBJWOGLKABXFJE-YFKPBYRVSA-N,H9ABT8.0.apo,319490.66,-5.1
mefenorex_XXVROGAVTTXONC-NSHDSACASA-N,H9ABT8.0.apo,319537.18,-5.9
meglutol_NPOAOTPXWNWTSH-UHFFFAOYSA-N,H9ABT8.0.apo,322308.61,-5.1
loprodiol_YFESJHPTNWYOCO-UHFFFAOYSA-N,H9ABT8.0.apo,324490.7,-4.0
tribromoethanol_YFDSDPIBEUFTMI-UHFFFAOYSA-N,H9ABT8.0.apo,326503.35,-3.7
adenosine_phosphate_UDMBCSSLTHHNCD-KQYNXXCUSA-N,H9ABT8.0.apo,331336.8,-7.4
meglumine_MBBZMMPHUWSWHV-BDVNFPICSA-N,H9ABT8.0.apo,335919.22,-5.9
lactitol_VQHSOMBJVWLPSR-JVCRWLNRSA-N,H9ABT8.0.apo,356161.3,-6.0
bromisoval_CMCCHHWTTBEZNM-SCSAIBSYSA-N,H9ABT8.0.apo,363043.31,-5.9
octanoic_acid_WWZKQHOCKIZLMA-UHFFFAOYSA-N,H9ABT8.0.apo,369155.43,-5.0
glucametacin_LGAJOMLFGCSBFF-OLXDQKQCSA-N,H9ABT8.0.apo,372086.59,-9.1
oxilofrine_OXFGTKPPFSCSMA-XVKPBYJWSA-N,H9ABT8.0.apo,372844.17,-6.5
gluconic_acid_RGHNJXZEOKUKBD-SQOUGZDYSA-N,H9ABT8.0.apo,383963.35,-5.8
sorbitol_FBPFZTCFMRRESA-JGWLITMVSA-N,H9ABT8.0.apo,388798.08,-5.2
tartaric_acid_FEWJPZIEWOKRBE-JCYAYHJZSA-N,H9ABT8.0.apo,404528.73,-5.1
inositol_CDAISMWEOUEBRE-GPIVLXJGSA-N,H9ABT8.0.apo,417627.81,-5.9
ephedrine_KWGRBVOPPLSCSI-WPRPVWTQSA-N,H9ABT8.0.apo,468110.83,-6.5
isoleucine_AGPKZVBTJJNPAG-WHFBIAKZSA-N,H9ABT8.0.apo,470927.0,-4.7
mecysteine_MCYHPZGUONZRGO-VKHMYHEASA-N,H9ABT8.0.apo,475841.59,-3.8
xylitol_HEBKCHPVOIAQTA-SCDXWVJYSA-N,H9ABT8.0.apo,490614.79,-5.3
zoxazolamine_YGCODSQDUUUKIV-UHFFFAOYSA-N,H9ABT8.0.apo,533928.56,-5.7
amitriptyline_KRMDCWKBEZIMAB-UHFFFAOYSA-N,H9ABT8.0.apo,636335.18,-8.3
N-Acetylglucosamine_OVRNDRQMDRJTHS-FMDGEEDCSA-N,H9ABT8.0.apo,712073.77,-5.6
galactose_WQZGKKKJIJFFOK-PHYPRBDBSA-N,H9ABT8.0.apo,849011.98,-5.4
glucose_WQZGKKKJIJFFOK-VFUOTHLCSA-N,H9ABT8.0.apo,1478780.67,-5.6
