Ligand-Name,Target-Name,Binding-Score,InterfE
methylsulfonal_LKACJLUUJRMGFK-UHFFFAOYSA-N,Q4Q0M0.0.apo,290405.93,
seractide_FHOCOBKCNJYXOP-OVLDLUHVSA-N,Q4Q0M0.0.apo,297732.67,
oxapropanium_HJPHIJVSRJVAGC-SSDOTTSWSA-N,Q4Q0M0.0.apo,300195.54,
bromoform_DIKBFYAXUHHXCS-UHFFFAOYSA-N,Q4Q0M0.0.apo,300684.58,
thiamazole_PMRYVIKBURPHAH-UHFFFAOYSA-N,Q4Q0M0.0.apo,300753.32,
chromocarb_RVMGXWBCQGAWBR-UHFFFAOYSA-N,Q4Q0M0.0.apo,302165.17,
ifosfamide_HOMGKSMUEGBAAB-CQSZACIVSA-N,Q4Q0M0.0.apo,305284.2,
chromic_chloride_QSWDMMVNRMROPK-UHFFFAOYSA-K,Q4Q0M0.0.apo,309887.43,
valine_KZSNJWFQEVHDMF-BYPYZUCNSA-N,Q4Q0M0.0.apo,313237.96,
cyclobenzaprine_JURKNVYFZMSNLP-UHFFFAOYSA-N,Q4Q0M0.0.apo,313371.72,
lactitol_VQHSOMBJVWLPSR-JVCRWLNRSA-N,Q4Q0M0.0.apo,325133.59,
corticotropin_IDLFZVILOHSSID-OVLDLUHVSA-N,Q4Q0M0.0.apo,335948.98,
arsenic_trioxide_IKWTVSLWAPBBKU-UHFFFAOYSA-N,Q4Q0M0.0.apo,341567.97,
glucametacin_LGAJOMLFGCSBFF-OLXDQKQCSA-N,Q4Q0M0.0.apo,342384.46,
tiopronin_YTGJWQPHMWSCST-GSVOUGTGSA-N,Q4Q0M0.0.apo,344050.37,
tetracosactide_ZOEFCCMDUURGSE-SQKVDDBVSA-N,Q4Q0M0.0.apo,353697.69,
meglumine_MBBZMMPHUWSWHV-BDVNFPICSA-N,Q4Q0M0.0.apo,369410.7,
telmesteine_XBJWOGLKABXFJE-YFKPBYRVSA-N,Q4Q0M0.0.apo,384416.88,
edetic_acid_KCXVZYZYPLLWCC-UHFFFAOYSA-N,Q4Q0M0.0.apo,386043.79,
prenderol_XRVCFZPJAHWYTB-UHFFFAOYSA-N,Q4Q0M0.0.apo,386400.16,
mannitol_FBPFZTCFMRRESA-KVTDHHQDSA-N,Q4Q0M0.0.apo,390153.99,
mercaptopurine_GLVAUDGFNGKCSF-UHFFFAOYSA-N,Q4Q0M0.0.apo,390924.23,
loprodiol_YFESJHPTNWYOCO-UHFFFAOYSA-N,Q4Q0M0.0.apo,402041.57,
carfimate_MTTYXGPMZKRTCI-VIFPVBQESA-N,Q4Q0M0.0.apo,406484.87,
sorbitol_FBPFZTCFMRRESA-JGWLITMVSA-N,Q4Q0M0.0.apo,424073.11,
exenatide_HTQBXNHDCUEHJF-XWLPCZSASA-N,Q4Q0M0.0.apo,429215.31,
chlorzoxazone_TZFWDZFKRBELIQ-UHFFFAOYSA-N,Q4Q0M0.0.apo,430742.93,
oxilofrine_OXFGTKPPFSCSMA-XVKPBYJWSA-N,Q4Q0M0.0.apo,433467.53,
thiamine_JZRWCGZRTZMZEH-UHFFFAOYSA-N,Q4Q0M0.0.apo,438503.75,
bromisoval_CMCCHHWTTBEZNM-SCSAIBSYSA-N,Q4Q0M0.0.apo,449694.75,
inositol_CDAISMWEOUEBRE-GPIVLXJGSA-N,Q4Q0M0.0.apo,454259.58,
lixisenatide_XVVOERDUTLJJHN-IAEQDCLQSA-N,Q4Q0M0.0.apo,457260.21,
cacodylic_acid_OGGXGZAMXPVRFZ-UHFFFAOYSA-N,Q4Q0M0.0.apo,466935.14,
itramin_tosilate_KZTZJUQNSSLNAG-UHFFFAOYSA-N,Q4Q0M0.0.apo,483630.79,
gluconic_acid_RGHNJXZEOKUKBD-SQOUGZDYSA-N,Q4Q0M0.0.apo,494036.4,
tartaric_acid_FEWJPZIEWOKRBE-JCYAYHJZSA-N,Q4Q0M0.0.apo,497394.13,
tribromoethanol_YFDSDPIBEUFTMI-UHFFFAOYSA-N,Q4Q0M0.0.apo,513648.61,
mefenorex_XXVROGAVTTXONC-NSHDSACASA-N,Q4Q0M0.0.apo,516985.08,
N-Acetylglucosamine_OVRNDRQMDRJTHS-FMDGEEDCSA-N,Q4Q0M0.0.apo,537132.58,
octanoic_acid_WWZKQHOCKIZLMA-UHFFFAOYSA-N,Q4Q0M0.0.apo,543969.45,
pheneturide_AJOQSQHYDOFIOX-SECBINFHSA-N,Q4Q0M0.0.apo,553942.21,
ephedrine_KWGRBVOPPLSCSI-WPRPVWTQSA-N,Q4Q0M0.0.apo,557348.08,
xylitol_HEBKCHPVOIAQTA-SCDXWVJYSA-N,Q4Q0M0.0.apo,579492.87,
isoleucine_AGPKZVBTJJNPAG-WHFBIAKZSA-N,Q4Q0M0.0.apo,582603.99,
galactose_WQZGKKKJIJFFOK-PHYPRBDBSA-N,Q4Q0M0.0.apo,587237.63,
meglutol_NPOAOTPXWNWTSH-UHFFFAOYSA-N,Q4Q0M0.0.apo,600147.28,
mecysteine_MCYHPZGUONZRGO-VKHMYHEASA-N,Q4Q0M0.0.apo,673617.33,
amitriptyline_KRMDCWKBEZIMAB-UHFFFAOYSA-N,Q4Q0M0.0.apo,697027.37,
zoxazolamine_YGCODSQDUUUKIV-UHFFFAOYSA-N,Q4Q0M0.0.apo,710324.44,
glucose_WQZGKKKJIJFFOK-VFUOTHLCSA-N,Q4Q0M0.0.apo,1366472.57,
