Ligand-Name,Target-Name,Binding-Score,InterfE
isoniazid_QRXWMOHMRWLFEY-UHFFFAOYSA-N,Q4QC30.0.apo,186636.5,
prenderol_XRVCFZPJAHWYTB-UHFFFAOYSA-N,Q4QC30.0.apo,187263.82,
mercaptopurine_GLVAUDGFNGKCSF-UHFFFAOYSA-N,Q4QC30.0.apo,187955.16,
amitriptylinoxide_ZPMKQFOGINQDAM-UHFFFAOYSA-N,Q4QC30.0.apo,190893.83,
tolonium_RQNADZJRELIICT-UHFFFAOYSA-N,Q4QC30.0.apo,192547.79,
cyclizine_UVKZSORBKUEBAZ-UHFFFAOYSA-N,Q4QC30.0.apo,192645.33,
phenylalanine_COLNVLDHVKWLRT-QMMMGPOBSA-N,Q4QC30.0.apo,197723.34,
sucrose_CZMRCDWAGMRECN-UGDNZRGBSA-N,Q4QC30.0.apo,199116.27,
tribromoethanol_YFDSDPIBEUFTMI-UHFFFAOYSA-N,Q4QC30.0.apo,202309.98,
fludeoxyglucose_(18F)_ZCXUVYAZINUVJD-AHXZWLDOSA-N,Q4QC30.0.apo,211213.11,
mannitol_FBPFZTCFMRRESA-KVTDHHQDSA-N,Q4QC30.0.apo,212425.56,
carfimate_MTTYXGPMZKRTCI-VIFPVBQESA-N,Q4QC30.0.apo,212824.2,
itramin_tosilate_KZTZJUQNSSLNAG-UHFFFAOYSA-N,Q4QC30.0.apo,214105.45,
arsenic_trioxide_IKWTVSLWAPBBKU-UHFFFAOYSA-N,Q4QC30.0.apo,220605.36,
gluconolactone_PHOQVHQSTUBQQK-SQOUGZDYSA-N,Q4QC30.0.apo,220938.35,
aluminium_oxide_TWNQGVIAIRXVLR-UHFFFAOYSA-N,Q4QC30.0.apo,221460.68,
chlorzoxazone_TZFWDZFKRBELIQ-UHFFFAOYSA-N,Q4QC30.0.apo,226663.0,
oxilofrine_OXFGTKPPFSCSMA-XVKPBYJWSA-N,Q4QC30.0.apo,230447.88,
meglumine_MBBZMMPHUWSWHV-BDVNFPICSA-N,Q4QC30.0.apo,232687.63,
pheneturide_AJOQSQHYDOFIOX-SECBINFHSA-N,Q4QC30.0.apo,232944.54,
glucosamine_MSWZFWKMSRAUBD-QZABAPFNSA-N,Q4QC30.0.apo,237538.09,
loprodiol_YFESJHPTNWYOCO-UHFFFAOYSA-N,Q4QC30.0.apo,244199.08,
meglutol_NPOAOTPXWNWTSH-UHFFFAOYSA-N,Q4QC30.0.apo,259289.25,
seractide_FHOCOBKCNJYXOP-OVLDLUHVSA-N,Q4QC30.0.apo,260058.84,
octanoic_acid_WWZKQHOCKIZLMA-UHFFFAOYSA-N,Q4QC30.0.apo,274575.19,
telmesteine_XBJWOGLKABXFJE-YFKPBYRVSA-N,Q4QC30.0.apo,281393.39,
cacodylic_acid_OGGXGZAMXPVRFZ-UHFFFAOYSA-N,Q4QC30.0.apo,281860.71,
mefenorex_XXVROGAVTTXONC-NSHDSACASA-N,Q4QC30.0.apo,285613.94,
sorbitol_FBPFZTCFMRRESA-JGWLITMVSA-N,Q4QC30.0.apo,290267.27,
corticotropin_IDLFZVILOHSSID-OVLDLUHVSA-N,Q4QC30.0.apo,294953.11,
oxaceprol_BAPRUDZDYCKSOQ-RITPCOANSA-N,Q4QC30.0.apo,300383.68,
gluconic_acid_RGHNJXZEOKUKBD-SQOUGZDYSA-N,Q4QC30.0.apo,304867.9,
tartaric_acid_FEWJPZIEWOKRBE-JCYAYHJZSA-N,Q4QC30.0.apo,307613.27,
tetracosactide_ZOEFCCMDUURGSE-SQKVDDBVSA-N,Q4QC30.0.apo,317573.46,
bromisoval_CMCCHHWTTBEZNM-SCSAIBSYSA-N,Q4QC30.0.apo,318952.62,
isoleucine_AGPKZVBTJJNPAG-WHFBIAKZSA-N,Q4QC30.0.apo,321109.36,
lactitol_VQHSOMBJVWLPSR-JVCRWLNRSA-N,Q4QC30.0.apo,323613.71,
adenosine_phosphate_UDMBCSSLTHHNCD-KQYNXXCUSA-N,Q4QC30.0.apo,334771.78,
glucametacin_LGAJOMLFGCSBFF-OLXDQKQCSA-N,Q4QC30.0.apo,337620.45,
mecysteine_MCYHPZGUONZRGO-VKHMYHEASA-N,Q4QC30.0.apo,362805.71,
xylitol_HEBKCHPVOIAQTA-SCDXWVJYSA-N,Q4QC30.0.apo,376841.65,
exenatide_HTQBXNHDCUEHJF-XWLPCZSASA-N,Q4QC30.0.apo,386370.64,
inositol_CDAISMWEOUEBRE-GPIVLXJGSA-N,Q4QC30.0.apo,390148.21,
ephedrine_KWGRBVOPPLSCSI-WPRPVWTQSA-N,Q4QC30.0.apo,393515.76,
lixisenatide_XVVOERDUTLJJHN-IAEQDCLQSA-N,Q4QC30.0.apo,413569.04,
zoxazolamine_YGCODSQDUUUKIV-UHFFFAOYSA-N,Q4QC30.0.apo,536099.39,
amitriptyline_KRMDCWKBEZIMAB-UHFFFAOYSA-N,Q4QC30.0.apo,601112.85,
N-Acetylglucosamine_OVRNDRQMDRJTHS-FMDGEEDCSA-N,Q4QC30.0.apo,676775.49,
galactose_WQZGKKKJIJFFOK-PHYPRBDBSA-N,Q4QC30.0.apo,876681.99,
glucose_WQZGKKKJIJFFOK-VFUOTHLCSA-N,Q4QC30.0.apo,1435928.07,
