ligand,E1,E2,E3
DHSUYTOATWAVLW-WFVMDLQDSA-N,-7.7,-6.0,-5.1
MPTXLVRHYGBOQY-UHFFFAOYSA-N,-7.8,-6.1,-5.3
OXDOWGVJMITMJL-OAQYLSRUSA-N,-7.3,-7.7,-5.5
NKJQZSDCCLDOQH-MRXNPFEDSA-N,-7.1,-7.5,-6.6
GUHPRPJDBZHYCJ-VIFPVBQESA-N,-7.7,-6.9,-5.8
QOBAOSCOLAGPKI-UHFFFAOYSA-N,-9.3,-8.2,-6.8
IDWVKNARDDZONS-UHFFFAOYSA-N,-8.5,-6.5,-5.8
NEUSVAOJNUQRTM-UHFFFAOYSA-N,-6.6,-5.6,-3.8
OVGORFFCBUIFIA-NSHDSACASA-N,-6.0,-5.5,-5.1
YVPYQUNUQOZFHG-UHFFFAOYSA-N,-4.8,-5.0,-4.7
DGMJZELBSFOPHH-KVTDHHQDSA-N,-7.5,-5.4,-5.3
PJVWKTKQMONHTI-OAHLLOKOSA-N,-7.2,-7.4,-5.7
VXMOONUMYLCFJD-DHLKQENFSA-N,-6.2,-7.4,-6.6
BAQCROVBDNBEEB-KSDLJXBFSA-N,-4.8,-6.6,-5.0
SMOBCLHAZXOKDQ-ZJUUUORDSA-N,-8.8,-6.6,-5.2
SKPLBLUECSEIFO-QMMMGPOBSA-N,-7.3,-6.1,-5.1
UPOYFZYFGWBUKL-UHFFFAOYSA-N,-6.7,-5.7,-4.5
JUUFBMODXQKSTD-UHFFFAOYSA-N,-8.4,-7.2,-6.2
NULMGOSOSZBEQL-QMMMGPOBSA-N,-6.9,-5.8,-5.2
QIFJTEYRIMDFPK-UHFFFAOYSA-N,-6.2,-5.6,-4.6
ORRZGUBHBVWWOP-UHFFFAOYSA-N,-5.8,-4.9,-4.3
VZVGEDRCVUKSEL-UHFFFAOYSA-N,-6.1,-4.5,-4.4
KJONHKAYOJNZEC-UHFFFAOYSA-N,-6.3,-7.4,-5.6
WOVKYSAHUYNSMH-RRKCRQDMSA-N,-7.7,-6.3,-5.2
