ligand,E1,E2,E3
SMOBCLHAZXOKDQ-ZJUUUORDSA-N,-7.8,-6.6,-7.9
NEUSVAOJNUQRTM-UHFFFAOYSA-N,-6.2,-5.2,-6.0
IDWVKNARDDZONS-UHFFFAOYSA-N,-8.4,-6.5,-7.2
SKPLBLUECSEIFO-QMMMGPOBSA-N,-6.5,-5.8,-6.1
JUUFBMODXQKSTD-UHFFFAOYSA-N,-7.9,-7.3,-7.3
KJONHKAYOJNZEC-UHFFFAOYSA-N,-8.8,-7.2,-8.1
QOBAOSCOLAGPKI-UHFFFAOYSA-N,-9.4,-7.9,-8.4
VXMOONUMYLCFJD-DHLKQENFSA-N,-7.7,-7.0,-7.8
DHSUYTOATWAVLW-WFVMDLQDSA-N,-7.1,-5.0,-6.7
MPTXLVRHYGBOQY-UHFFFAOYSA-N,-6.7,-6.0,-6.3
PJVWKTKQMONHTI-OAHLLOKOSA-N,-8.3,-7.6,-8.1
ORRZGUBHBVWWOP-UHFFFAOYSA-N,-6.0,-5.3,-5.5
WOVKYSAHUYNSMH-RRKCRQDMSA-N,-6.7,-6.1,-6.3
NULMGOSOSZBEQL-QMMMGPOBSA-N,-6.5,-5.3,-6.4
BAQCROVBDNBEEB-KSDLJXBFSA-N,-6.4,-6.0,-6.9
DGMJZELBSFOPHH-KVTDHHQDSA-N,-6.6,-5.8,-6.6
NKJQZSDCCLDOQH-MRXNPFEDSA-N,-8.1,-7.5,-9.0
UPOYFZYFGWBUKL-UHFFFAOYSA-N,-6.7,-5.7,-5.9
YVPYQUNUQOZFHG-UHFFFAOYSA-N,-5.6,-5.5,-5.9
GUHPRPJDBZHYCJ-VIFPVBQESA-N,-7.5,-6.7,-7.2
OVGORFFCBUIFIA-NSHDSACASA-N,-5.9,-5.2,-5.3
OXDOWGVJMITMJL-OAQYLSRUSA-N,-7.7,-7.2,-8.2
QIFJTEYRIMDFPK-UHFFFAOYSA-N,-6.3,-5.9,-6.4
VZVGEDRCVUKSEL-UHFFFAOYSA-N,-5.6,-4.9,-5.2
