ligand,E1,E2,E3
OVGORFFCBUIFIA-NSHDSACASA-N,-5.6,-4.0,-3.7
MPTXLVRHYGBOQY-UHFFFAOYSA-N,-5.7,-4.4,-4.4
NEUSVAOJNUQRTM-UHFFFAOYSA-N,-4.8,-3.5,-3.2
VZVGEDRCVUKSEL-UHFFFAOYSA-N,-4.6,-4.5,-3.8
IDWVKNARDDZONS-UHFFFAOYSA-N,-6.3,-5.2,-5.4
OXDOWGVJMITMJL-OAQYLSRUSA-N,-6.1,-5.2,-5.4
PJVWKTKQMONHTI-OAHLLOKOSA-N,-6.5,-5.1,-5.6
UPOYFZYFGWBUKL-UHFFFAOYSA-N,-5.5,-4.3,-4.4
QIFJTEYRIMDFPK-UHFFFAOYSA-N,-4.9,-4.4,-4.2
GUHPRPJDBZHYCJ-VIFPVBQESA-N,-6.9,-5.2,-5.4
ORRZGUBHBVWWOP-UHFFFAOYSA-N,-4.7,-4.3,-3.8
NULMGOSOSZBEQL-QMMMGPOBSA-N,-5.4,-4.9,-4.5
DGMJZELBSFOPHH-KVTDHHQDSA-N,-5.4,-4.1,-3.4
QOBAOSCOLAGPKI-UHFFFAOYSA-N,-8.4,-5.8,-6.6
NKJQZSDCCLDOQH-MRXNPFEDSA-N,-7.4,-5.7,-6.7
DHSUYTOATWAVLW-WFVMDLQDSA-N,-5.7,-4.2,-4.2
KJONHKAYOJNZEC-UHFFFAOYSA-N,-7.1,-5.3,-5.3
JUUFBMODXQKSTD-UHFFFAOYSA-N,-6.8,-5.2,-5.8
YVPYQUNUQOZFHG-UHFFFAOYSA-N,-4.9,-4.3,-4.0
WOVKYSAHUYNSMH-RRKCRQDMSA-N,-5.8,-4.8,-4.4
VXMOONUMYLCFJD-DHLKQENFSA-N,-7.7,-5.0,-6.4
SKPLBLUECSEIFO-QMMMGPOBSA-N,-6.0,-4.2,-4.3
BAQCROVBDNBEEB-KSDLJXBFSA-N,-5.7,-4.7,-5.2
SMOBCLHAZXOKDQ-ZJUUUORDSA-N,-6.5,-5.5,-4.5
