ligand,E1,E2,E3
IDWVKNARDDZONS-UHFFFAOYSA-N,-8.9,-7.6,-4.8
NULMGOSOSZBEQL-QMMMGPOBSA-N,-7.5,-6.1,-6.0
MPTXLVRHYGBOQY-UHFFFAOYSA-N,-7.8,-7.2,-5.5
OXDOWGVJMITMJL-OAQYLSRUSA-N,-7.6,-7.6,-3.5
DGMJZELBSFOPHH-KVTDHHQDSA-N,-8.4,-8.1,-4.1
BAQCROVBDNBEEB-KSDLJXBFSA-N,-6.3,-6.5,-4.9
SMOBCLHAZXOKDQ-ZJUUUORDSA-N,-7.5,-8.1,-6.4
QOBAOSCOLAGPKI-UHFFFAOYSA-N,-8.0,-9.6,-6.3
NKJQZSDCCLDOQH-MRXNPFEDSA-N,-8.4,-8.5,-5.2
YVPYQUNUQOZFHG-UHFFFAOYSA-N,-5.9,-5.4,-3.8
KJONHKAYOJNZEC-UHFFFAOYSA-N,-7.9,-9.1,-5.4
OVGORFFCBUIFIA-NSHDSACASA-N,-5.7,-5.6,-5.6
VZVGEDRCVUKSEL-UHFFFAOYSA-N,-5.3,-5.8,-6.3
GUHPRPJDBZHYCJ-VIFPVBQESA-N,-9.0,-8.1,-5.2
WOVKYSAHUYNSMH-RRKCRQDMSA-N,-8.2,-7.0,-4.8
QIFJTEYRIMDFPK-UHFFFAOYSA-N,-6.4,-5.9,-4.7
NEUSVAOJNUQRTM-UHFFFAOYSA-N,-6.9,-5.9,-5.9
UPOYFZYFGWBUKL-UHFFFAOYSA-N,-6.6,-6.1,-5.4
PJVWKTKQMONHTI-OAHLLOKOSA-N,-7.8,-8.2,-4.7
SKPLBLUECSEIFO-QMMMGPOBSA-N,-7.2,-6.9,-5.6
ORRZGUBHBVWWOP-UHFFFAOYSA-N,-5.6,-5.8,-7.1
VXMOONUMYLCFJD-DHLKQENFSA-N,-8.4,-8.7,-6.4
JUUFBMODXQKSTD-UHFFFAOYSA-N,-8.1,-8.3,-5.7
DHSUYTOATWAVLW-WFVMDLQDSA-N,-6.3,-6.8,-5.2
