ligand,E1,E2,E3
XSCGXQMFQXDFCW-UHFFFAOYSA-N,-6.9,-6.7,-7.9
JRWZLRBJNMZMFE-ZDUSSCGKSA-N,-7.4,-7.8,-8.1
FUBVWMNBEHXPSU-UHFFFAOYSA-N,-7.6,-8.0,-8.4
YSXKPIUOCJLQIE-ZFMNYDKASA-N,-7.2,-7.6,-7.2
CXOXHMZGEKVPMT-UHFFFAOYSA-N,-7.7,-7.7,-6.9
XNMYNYSCEJBRPZ-UHFFFAOYSA-N,-6.0,-6.1,-7.1
ZDXPYRJPNDTMRX-VKHMYHEASA-N,-4.9,-4.7,-4.8
JXUMCVDPMJWGSI-UHFFFAOYSA-N,-4.9,-5.0,-5.1
RZWPJFMNFATBEG-UHFFFAOYSA-N,-7.7,-7.7,-8.0
VSQQQLOSPVPRAZ-RRKCRQDMSA-N,-7.9,-7.0,-7.6
ZULJGOSFKWFVRX-UHFFFAOYSA-N,-6.6,-6.3,-6.2
MVFGUOIZUNYYSO-LLVKDONJSA-N,-6.0,-6.2,-6.4
MEZLKOACVSPNER-GFCCVEGCSA-N,-5.6,-5.9,-6.3
KYCBWEZLKCTALM-UHFFFAOYSA-N,-6.6,-6.7,-7.1
FRIZVHMAECRUBR-KIWWSDKQSA-N,-6.6,-7.0,-7.3
JRWZLRBJNMZMFE-CYBMUJFWSA-N,-7.4,-7.9,-8.2
ZFMITUMMTDLWHR-UHFFFAOYSA-N,-6.1,-6.7,-6.7
IZYQCDNLUPLXOO-UHFFFAOYSA-N,-6.1,-6.9,-7.7
ACGDKVXYNVEAGU-UHFFFAOYSA-N,-5.8,-6.5,-7.0
PTGXAUBQBSGPKF-ZRGWGRIASA-N,-7.4,-7.1,-8.3
PGAVKCOVUIYSFO-XVFCMESISA-N,-7.2,-7.5,-7.6
LRXXRIXDSAEIOR-ZDUSSCGKSA-N,-7.2,-6.8,-7.6
MMNICIJVQJJHHF-LJQANCHMSA-N,-6.5,-6.9,-7.6
JZUFKLXOESDKRF-UHFFFAOYSA-N,-6.8,-6.8,-6.8
IDPUKCWIGUEADI-UHFFFAOYSA-N,-5.3,-5.5,-5.7
