ligand,E1,E2,E3
JXUMCVDPMJWGSI-UHFFFAOYSA-N,-5.1,-6.2,-6.2
XNMYNYSCEJBRPZ-UHFFFAOYSA-N,-5.7,-6.3,-6.2
YSXKPIUOCJLQIE-ZFMNYDKASA-N,-5.8,-7.7,-7.5
ZFMITUMMTDLWHR-UHFFFAOYSA-N,-5.2,-6.4,-6.4
MMNICIJVQJJHHF-LJQANCHMSA-N,-6.4,-6.6,-6.5
RZWPJFMNFATBEG-UHFFFAOYSA-N,-5.5,-7.0,-7.0
ZULJGOSFKWFVRX-UHFFFAOYSA-N,-5.4,-5.6,-5.4
JRWZLRBJNMZMFE-ZDUSSCGKSA-N,-6.7,-7.1,-6.9
JZUFKLXOESDKRF-UHFFFAOYSA-N,-5.1,-6.6,-6.5
IDPUKCWIGUEADI-UHFFFAOYSA-N,-5.1,-4.9,-4.8
PGAVKCOVUIYSFO-XVFCMESISA-N,-5.6,-7.4,-7.6
MEZLKOACVSPNER-GFCCVEGCSA-N,-6.3,-5.9,-5.9
LRXXRIXDSAEIOR-ZDUSSCGKSA-N,-6.8,-6.8,-6.7
ZDXPYRJPNDTMRX-VKHMYHEASA-N,-4.6,-6.1,-5.1
CXOXHMZGEKVPMT-UHFFFAOYSA-N,-6.9,-6.5,-6.6
ACGDKVXYNVEAGU-UHFFFAOYSA-N,-5.5,-6.0,-6.0
FUBVWMNBEHXPSU-UHFFFAOYSA-N,-6.0,-7.8,-7.8
IZYQCDNLUPLXOO-UHFFFAOYSA-N,-6.4,-6.8,-6.9
XSCGXQMFQXDFCW-UHFFFAOYSA-N,-5.6,-6.8,-6.8
FRIZVHMAECRUBR-KIWWSDKQSA-N,-5.3,-6.5,-6.5
KYCBWEZLKCTALM-UHFFFAOYSA-N,-6.8,-7.3,-7.1
PTGXAUBQBSGPKF-ZRGWGRIASA-N,-7.1,-7.3,-7.1
MVFGUOIZUNYYSO-LLVKDONJSA-N,-6.6,-6.2,-6.3
VSQQQLOSPVPRAZ-RRKCRQDMSA-N,-5.7,-7.2,-7.2
JRWZLRBJNMZMFE-CYBMUJFWSA-N,-6.8,-7.0,-7.3
