ligand,E1,E2,E3
PGAVKCOVUIYSFO-XVFCMESISA-N,-5.4,-5.4,-5.2
FUBVWMNBEHXPSU-UHFFFAOYSA-N,-5.7,-6.3,-5.5
CXOXHMZGEKVPMT-UHFFFAOYSA-N,-6.0,-5.6,-5.1
YSXKPIUOCJLQIE-ZFMNYDKASA-N,-6.1,-5.8,-5.0
ACGDKVXYNVEAGU-UHFFFAOYSA-N,-5.2,-4.6,-4.4
VSQQQLOSPVPRAZ-RRKCRQDMSA-N,-5.5,-5.5,-4.5
ZDXPYRJPNDTMRX-VKHMYHEASA-N,-4.0,-3.8,-3.4
MMNICIJVQJJHHF-LJQANCHMSA-N,-5.1,-5.5,-4.9
JRWZLRBJNMZMFE-ZDUSSCGKSA-N,-5.7,-6.3,-4.1
XNMYNYSCEJBRPZ-UHFFFAOYSA-N,-5.1,-5.3,-4.4
LRXXRIXDSAEIOR-ZDUSSCGKSA-N,-4.2,-4.4,-3.7
IZYQCDNLUPLXOO-UHFFFAOYSA-N,-5.3,-5.1,-4.6
FRIZVHMAECRUBR-KIWWSDKQSA-N,-5.1,-5.3,-5.2
RZWPJFMNFATBEG-UHFFFAOYSA-N,-5.5,-6.0,-5.8
KYCBWEZLKCTALM-UHFFFAOYSA-N,-5.5,-5.0,-4.3
MEZLKOACVSPNER-GFCCVEGCSA-N,-4.6,-4.7,-3.6
PTGXAUBQBSGPKF-ZRGWGRIASA-N,-5.1,-4.8,-4.1
XSCGXQMFQXDFCW-UHFFFAOYSA-N,-5.6,-5.6,-5.1
JRWZLRBJNMZMFE-CYBMUJFWSA-N,-4.9,-4.8,-4.5
ZFMITUMMTDLWHR-UHFFFAOYSA-N,-4.7,-5.2,-4.1
ZULJGOSFKWFVRX-UHFFFAOYSA-N,-4.2,-4.3,-3.7
JXUMCVDPMJWGSI-UHFFFAOYSA-N,-3.6,-3.9,-3.5
IDPUKCWIGUEADI-UHFFFAOYSA-N,-3.9,-4.3,-3.3
JZUFKLXOESDKRF-UHFFFAOYSA-N,-5.4,-5.3,-4.8
MVFGUOIZUNYYSO-LLVKDONJSA-N,-4.7,-4.9,-4.6
