ligand,E1,E2,E3
ZIAOVIPSKUPPQW-UHFFFAOYSA-N,-8.3,-7.0,-6.6
BNQDCRGUHNALGH-LURJTMIESA-N,-6.2,-6.3,-5.2
RHUWRJWFHUKVED-UHFFFAOYSA-N,-6.2,-5.0,-4.5
JYPVVOOBQVVUQV-CGHBYZBKSA-N,-8.3,-6.8,-6.3
JUKPWJGBANNWMW-VWBFHTRKSA-N,-6.2,-6.0,-5.6
JGOAIQNSOGZNBX-UHFFFAOYSA-N,-6.6,-5.2,-5.5
PLHJDBGFXBMTGZ-UHFFFAOYSA-N,-6.5,-6.2,-5.3
UCEWGESNIULAGX-UHFFFAOYSA-N,-7.1,-7.1,-5.5
HLSLSXBFTXUKCY-RQJHMYQMSA-N,-5.5,-5.2,-4.8
AXJXURWWUFZZKN-NSHDSACASA-N,-5.9,-5.1,-3.9
VBSPHZOBAOWFCL-QFIPXVFZSA-N,-6.9,-5.8,-5.7
DKRSEIPLAZTSFD-LSDHHAIUSA-N,-7.0,-5.6,-6.0
WDYYVNNRTDZKAZ-UHFFFAOYSA-N,-6.9,-6.1,-5.8
DJQJFMSHHYAZJD-UHFFFAOYSA-N,-6.3,-5.0,-5.0
PDWUPXJEEYOOTR-JRGAVVOBSA-N,-6.5,-5.9,-5.0
FKHUGQZRBPETJR-FZKCHLSLSA-N,-0.8,-0.8,-0.9
JFJZZMVDLULRGK-URLMMPGGSA-O,-6.4,-6.0,-6.3
ZPLQIPFOCGIIHV-UHFFFAOYSA-N,-4.9,-4.2,-3.9
NOOLISFMXDJSKH-KXUCPTDWSA-N,-4.8,-4.6,-4.6
YUUAYBAIHCDHHD-UHFFFAOYSA-N,-4.3,-3.9,-4.0
FOHHNHSLJDZUGQ-RUZDIDTESA-N,-7.0,-5.6,-5.8
GHXZTYHSJHQHIJ-UHFFFAOYSA-N,-7.6,-8.0,-6.0
KFZMXOLSYABOSE-UHFFFAOYSA-O,-5.8,-5.7,-4.7
YZQNFFLGIYEXMM-OAHLLOKOSA-N,-5.8,-4.9,-4.7
