ligand,E1,E2,E3
WDYYVNNRTDZKAZ-UHFFFAOYSA-N,-7.7,-6.4,-5.4
YUUAYBAIHCDHHD-UHFFFAOYSA-N,-4.3,-4.8,-4.4
FKHUGQZRBPETJR-FZKCHLSLSA-N,-1.0,-0.9,-0.8
BNQDCRGUHNALGH-LURJTMIESA-N,-6.8,-6.0,-5.8
PLHJDBGFXBMTGZ-UHFFFAOYSA-N,-6.4,-5.9,-5.6
ZPLQIPFOCGIIHV-UHFFFAOYSA-N,-5.1,-4.9,-5.0
PDWUPXJEEYOOTR-JRGAVVOBSA-N,-6.2,-5.7,-5.3
AXJXURWWUFZZKN-NSHDSACASA-N,-6.6,-5.1,-4.5
RHUWRJWFHUKVED-UHFFFAOYSA-N,-6.4,-5.5,-5.1
ZIAOVIPSKUPPQW-UHFFFAOYSA-N,-9.3,-7.2,-6.6
DJQJFMSHHYAZJD-UHFFFAOYSA-N,-7.0,-5.9,-5.1
JYPVVOOBQVVUQV-CGHBYZBKSA-N,-8.0,-7.4,-6.1
HLSLSXBFTXUKCY-RQJHMYQMSA-N,-6.1,-5.0,-5.0
DKRSEIPLAZTSFD-LSDHHAIUSA-N,-9.1,-6.8,-6.2
FOHHNHSLJDZUGQ-RUZDIDTESA-N,-7.9,-6.5,-5.6
NOOLISFMXDJSKH-KXUCPTDWSA-N,-6.1,-4.8,-4.2
JUKPWJGBANNWMW-VWBFHTRKSA-N,-8.8,-6.7,-6.6
JFJZZMVDLULRGK-URLMMPGGSA-O,-7.6,-7.8,-6.6
JGOAIQNSOGZNBX-UHFFFAOYSA-N,-7.1,-5.9,-5.2
YZQNFFLGIYEXMM-OAHLLOKOSA-N,-6.5,-5.7,-4.9
UCEWGESNIULAGX-UHFFFAOYSA-N,-7.4,-6.1,-5.8
VBSPHZOBAOWFCL-QFIPXVFZSA-N,-8.5,-5.8,-5.2
KFZMXOLSYABOSE-UHFFFAOYSA-O,-6.3,-5.5,-5.5
GHXZTYHSJHQHIJ-UHFFFAOYSA-N,-10.7,-6.5,-6.6
