ligand,E1,E2,E3
DKRSEIPLAZTSFD-LSDHHAIUSA-N,-9.8,-5.6,-5.2
ZPLQIPFOCGIIHV-UHFFFAOYSA-N,-5.5,-4.9,-4.1
JFJZZMVDLULRGK-URLMMPGGSA-O,-8.3,-7.7,-8.1
AXJXURWWUFZZKN-NSHDSACASA-N,-6.0,-5.1,-5.2
KFZMXOLSYABOSE-UHFFFAOYSA-O,-7.1,-5.5,-5.0
JUKPWJGBANNWMW-VWBFHTRKSA-N,-8.2,-6.5,-6.9
ZIAOVIPSKUPPQW-UHFFFAOYSA-N,-11.1,-6.4,-6.6
FKHUGQZRBPETJR-FZKCHLSLSA-N,-1.1,-1.1,-0.7
BNQDCRGUHNALGH-LURJTMIESA-N,-7.6,-6.7,-5.4
HLSLSXBFTXUKCY-RQJHMYQMSA-N,-7.1,-5.2,-4.7
FOHHNHSLJDZUGQ-RUZDIDTESA-N,-9.2,-5.6,-5.7
WDYYVNNRTDZKAZ-UHFFFAOYSA-N,-9.6,-6.8,-6.0
JGOAIQNSOGZNBX-UHFFFAOYSA-N,-7.6,-5.8,-5.1
UCEWGESNIULAGX-UHFFFAOYSA-N,-8.8,-7.2,-5.7
YUUAYBAIHCDHHD-UHFFFAOYSA-N,-4.7,-4.9,-3.9
VBSPHZOBAOWFCL-QFIPXVFZSA-N,-8.5,-5.6,-5.4
DJQJFMSHHYAZJD-UHFFFAOYSA-N,-7.9,-5.3,-5.4
NOOLISFMXDJSKH-KXUCPTDWSA-N,-6.6,-4.9,-4.3
JYPVVOOBQVVUQV-CGHBYZBKSA-N,-7.8,-7.3,-5.9
RHUWRJWFHUKVED-UHFFFAOYSA-N,-7.7,-6.2,-5.0
YZQNFFLGIYEXMM-OAHLLOKOSA-N,-6.4,-5.4,-4.8
GHXZTYHSJHQHIJ-UHFFFAOYSA-N,-11.4,-6.6,-8.0
PDWUPXJEEYOOTR-JRGAVVOBSA-N,-7.4,-6.2,-5.2
PLHJDBGFXBMTGZ-UHFFFAOYSA-N,-7.8,-6.8,-6.1
