ligand,E1,E2,E3
PDWUPXJEEYOOTR-JRGAVVOBSA-N,-6.7,-7.3,-6.0
JYPVVOOBQVVUQV-CGHBYZBKSA-N,-7.4,-8.4,-7.3
WDYYVNNRTDZKAZ-UHFFFAOYSA-N,-7.1,-9.6,-6.8
ZIAOVIPSKUPPQW-UHFFFAOYSA-N,-8.5,-10.0,-7.7
JGOAIQNSOGZNBX-UHFFFAOYSA-N,-7.5,-9.0,-5.7
YZQNFFLGIYEXMM-OAHLLOKOSA-N,-4.9,-7.2,-5.7
AXJXURWWUFZZKN-NSHDSACASA-N,-5.3,-5.9,-5.4
PLHJDBGFXBMTGZ-UHFFFAOYSA-N,-7.3,-7.5,-6.3
JUKPWJGBANNWMW-VWBFHTRKSA-N,-7.8,-8.7,-7.1
FKHUGQZRBPETJR-FZKCHLSLSA-N,-1.0,-1.1,-0.8
NOOLISFMXDJSKH-KXUCPTDWSA-N,-5.7,-5.9,-4.3
HLSLSXBFTXUKCY-RQJHMYQMSA-N,-6.6,-5.9,-4.9
BNQDCRGUHNALGH-LURJTMIESA-N,-6.9,-6.9,-7.0
UCEWGESNIULAGX-UHFFFAOYSA-N,-5.8,-8.4,-6.6
ZPLQIPFOCGIIHV-UHFFFAOYSA-N,-5.1,-5.7,-5.0
KFZMXOLSYABOSE-UHFFFAOYSA-O,-5.2,-7.1,-5.8
VBSPHZOBAOWFCL-QFIPXVFZSA-N,-8.7,-8.7,-5.8
GHXZTYHSJHQHIJ-UHFFFAOYSA-N,-9.1,-11.0,-8.1
DKRSEIPLAZTSFD-LSDHHAIUSA-N,-8.3,-9.8,-6.8
YUUAYBAIHCDHHD-UHFFFAOYSA-N,-4.7,-4.4,-4.3
DJQJFMSHHYAZJD-UHFFFAOYSA-N,-7.1,-6.9,-5.6
RHUWRJWFHUKVED-UHFFFAOYSA-N,-5.2,-7.3,-6.3
FOHHNHSLJDZUGQ-RUZDIDTESA-N,-5.6,-9.4,-7.4
JFJZZMVDLULRGK-URLMMPGGSA-O,-7.3,-3.6,-8.0
