ligand,E1,E2,E3
VWYQKFLLGRBICZ-UHFFFAOYSA-N,-6.5,-5.4,-5.1
CKWHSYRZDLWQFV-HNNXBMFYSA-N,-6.5,-5.4,-4.6
JTUQXGZRVLWBCR-GOSISDBHSA-N,-8.5,-6.8,-5.8
CVXBEEMKQHEXEN-UHFFFAOYSA-N,-7.4,-6.6,-5.6
KLDXJTOLSGUMSJ-JGWLITMVSA-N,-5.2,-4.4,-4.4
GOZBHBFUQHMKQB-UHFFFAOYSA-N,-6.9,-5.4,-4.3
BPEGJWRSRHCHSN-UHFFFAOYSA-N,-6.5,-5.9,-5.5
MVMXJBMAGBRAHD-UHFFFAOYSA-N,-7.1,-5.8,-5.5
OFVFGKQCUDMLLP-UHFFFAOYSA-N,-8.1,-6.3,-5.6
VQASKUSHBVDKGU-ZETCQYMHSA-N,-5.6,-4.5,-4.1
JMUHBNWAORSSBD-WKYWBUFDSA-N,-3.2,-4.0,-2.5
ZKGDBJAHIIXDDW-MRVPVSSYSA-N,-5.9,-5.1,-4.8
SKZKKFZAGNVIMN-UHFFFAOYSA-N,-5.9,-5.3,-5.6
SNWQKAWITMVCQW-UHFFFAOYSA-N,-9.3,-7.4,-6.2
DUGOZIWVEXMGBE-CHWSQXEVSA-N,-7.2,-5.1,-5.0
FLGCRGJDQJIJAW-INIZCTEOSA-N,-8.2,-6.7,-5.7
ZGSDGGRVFIYKKE-OXQOHEQNSA-N,-8.0,-5.6,-5.1
WSSJONWNBBTCMG-NWDGAFQWSA-N,-8.0,-6.7,-6.5
QADHLRWLCPCEKT-LOVVWNRFSA-N,-8.0,-6.5,-5.7
UISARWKNNNHPGI-INIZCTEOSA-N,-7.1,-5.6,-5.1
XSVMFMHYUFZWBK-NSHDSACASA-N,-6.4,-5.9,-5.0
LJQWYEFHNLTPBZ-UHFFFAOYSA-N,-6.4,-5.0,-5.0
BQJODPIMMWWMFC-UHFFFAOYSA-N,-6.1,-5.6,-5.7
NMTBSNPBIGRZBL-UHFFFAOYSA-N,-6.8,-7.0,-5.5
JEJBJBKVPOWOQK-QGZVFWFLSA-N,-7.1,-5.3,-5.0
