ligand,E1,E2,E3
JTUQXGZRVLWBCR-GOSISDBHSA-N,-6.5,-7.3,-8.3
NMTBSNPBIGRZBL-UHFFFAOYSA-N,-6.9,-6.8,-6.9
UISARWKNNNHPGI-INIZCTEOSA-N,-6.6,-6.6,-6.7
ZKGDBJAHIIXDDW-MRVPVSSYSA-N,-5.7,-6.2,-5.9
VWYQKFLLGRBICZ-UHFFFAOYSA-N,-6.3,-6.1,-6.4
LJQWYEFHNLTPBZ-UHFFFAOYSA-N,-5.8,-5.7,-6.1
VQASKUSHBVDKGU-ZETCQYMHSA-N,-5.0,-5.2,-5.3
SNWQKAWITMVCQW-UHFFFAOYSA-N,-7.9,-7.7,-8.9
ZGSDGGRVFIYKKE-OXQOHEQNSA-N,-6.6,-6.6,-7.9
CVXBEEMKQHEXEN-UHFFFAOYSA-N,-6.2,-6.4,-7.6
JMUHBNWAORSSBD-WKYWBUFDSA-N,-3.5,-3.3,-3.4
BQJODPIMMWWMFC-UHFFFAOYSA-N,-5.7,-6.2,-6.1
CKWHSYRZDLWQFV-HNNXBMFYSA-N,-5.4,-6.1,-6.6
KLDXJTOLSGUMSJ-JGWLITMVSA-N,-5.0,-4.9,-5.2
XSVMFMHYUFZWBK-NSHDSACASA-N,-6.2,-6.3,-6.3
JEJBJBKVPOWOQK-QGZVFWFLSA-N,-6.6,-6.3,-6.8
MVMXJBMAGBRAHD-UHFFFAOYSA-N,-6.4,-6.7,-7.3
QADHLRWLCPCEKT-LOVVWNRFSA-N,-7.6,-7.4,-8.2
SKZKKFZAGNVIMN-UHFFFAOYSA-N,-5.7,-5.6,-5.9
OFVFGKQCUDMLLP-UHFFFAOYSA-N,-7.7,-7.6,-8.2
GOZBHBFUQHMKQB-UHFFFAOYSA-N,-5.8,-5.8,-6.9
FLGCRGJDQJIJAW-INIZCTEOSA-N,-7.8,-7.9,-8.8
BPEGJWRSRHCHSN-UHFFFAOYSA-N,-6.3,-6.4,-6.2
DUGOZIWVEXMGBE-CHWSQXEVSA-N,-6.0,-5.8,-7.2
WSSJONWNBBTCMG-NWDGAFQWSA-N,-7.4,-8.0,-7.8
