ligand,E1,E2,E3
IKGXIBQEEMLURG-NVPNHPEKSA-N,-10.2,-8.7,-9.8
MYWUZJCMWCOHBA-VIFPVBQESA-N,-4.9,-5.4,-5.7
CLOMYZFHNHFSIQ-UHFFFAOYSA-N,-6.8,-7.9,-7.3
MVGSNCBCUWPVDA-MFOYZWKCSA-N,-7.4,-7.4,-7.9
SIGSNYAYBSJATD-UHFFFAOYSA-N,-5.3,-4.9,-5.3
KVYGGMBOZFWZBQ-UHFFFAOYSA-N,-6.9,-7.1,-7.4
LGLFFNDHMLKUMI-UHFFFAOYSA-N,-7.0,-6.6,-7.7
TVYLLZQTGLZFBW-ZBFHGGJFSA-N,-6.3,-6.4,-7.5
NXFQHRVNIOXGAQ-YCRREMRBSA-N,-7.1,-6.8,-6.7
LOUPRKONTZGTKE-LHHVKLHASA-N,-7.8,-7.4,-7.5
FWWDFDMCZLOXQI-UHFFFAOYSA-N,-6.7,-6.7,-6.7
IIDJRNMFWXDHID-UHFFFAOYSA-N,-6.7,-6.2,-6.7
MSJLJWCAEPENBL-UHFFFAOYSA-N,-6.1,-6.0,-6.7
YRCWQPVGYLYSOX-SECBINFHSA-N,-5.3,-5.5,-6.1
FPHLBGOJWPEVME-SNVBAGLBSA-N,-6.4,-6.5,-6.5
RUQATQQNXCPTLL-PQMJGINDSA-N,-8.1,-7.9,-8.2
RQXCLMGKHJWMOA-UHFFFAOYSA-N,-6.9,-7.3,-7.8
NMKSAYKQLCHXDK-LJQANCHMSA-N,-6.7,-8.2,-7.8
MUQUYTSLDVKIOF-BBMNSBIFSA-N,-8.9,-8.4,-8.3
