ligand,E1,E2,E3
CLOMYZFHNHFSIQ-UHFFFAOYSA-N,-6.6,-7.9,-7.3
RUQATQQNXCPTLL-PQMJGINDSA-N,-8.1,-8.0,-8.3
YRCWQPVGYLYSOX-SECBINFHSA-N,-5.3,-5.5,-6.1
LOUPRKONTZGTKE-LHHVKLHASA-N,-7.9,-7.4,-7.5
NXFQHRVNIOXGAQ-YCRREMRBSA-N,-7.0,-6.8,-6.7
MSJLJWCAEPENBL-UHFFFAOYSA-N,-6.2,-6.1,-7.0
MUQUYTSLDVKIOF-BBMNSBIFSA-N,-8.9,-7.5,-8.0
IKGXIBQEEMLURG-NVPNHPEKSA-N,-9.0,-8.7,-9.8
KVYGGMBOZFWZBQ-UHFFFAOYSA-N,-7.0,-7.1,-7.4
MVGSNCBCUWPVDA-MFOYZWKCSA-N,-7.4,-7.4,-7.9
LGLFFNDHMLKUMI-UHFFFAOYSA-N,-6.9,-6.6,-7.7
TVYLLZQTGLZFBW-ZBFHGGJFSA-N,-6.2,-6.1,-7.5
FWWDFDMCZLOXQI-UHFFFAOYSA-N,-6.7,-6.7,-6.8
MYWUZJCMWCOHBA-VIFPVBQESA-N,-4.9,-5.4,-5.7
RQXCLMGKHJWMOA-UHFFFAOYSA-N,-6.9,-7.3,-7.8
NMKSAYKQLCHXDK-LJQANCHMSA-N,-6.7,-8.2,-8.2
SIGSNYAYBSJATD-UHFFFAOYSA-N,-5.3,-4.9,-5.3
IIDJRNMFWXDHID-UHFFFAOYSA-N,-6.7,-6.2,-6.6
FPHLBGOJWPEVME-SNVBAGLBSA-N,-5.6,-6.5,-6.5
