ligand,energy,binding score
IDWVKNARDDZONS-UHFFFAOYSA-N,-6.8,5929.94
JUUFBMODXQKSTD-UHFFFAOYSA-N,-7.4,6494.87
SKPLBLUECSEIFO-QMMMGPOBSA-N,-5.9,10508.32
NULMGOSOSZBEQL-QMMMGPOBSA-N,-6.4,9099.78
OVGORFFCBUIFIA-NSHDSACASA-N,-6.1,11841.21
DGMJZELBSFOPHH-KVTDHHQDSA-N,-5.9,8394.27
GUHPRPJDBZHYCJ-VIFPVBQESA-N,-7.3,9112.88
PJVWKTKQMONHTI-OAHLLOKOSA-N,-7.6,10917.97
VZVGEDRCVUKSEL-UHFFFAOYSA-N,-5.7,8881.89
ORRZGUBHBVWWOP-UHFFFAOYSA-N,-6.1,7904.94
NEUSVAOJNUQRTM-UHFFFAOYSA-N,-6.8,9437.39
MPTXLVRHYGBOQY-UHFFFAOYSA-N,-6.4,7649.22
QIFJTEYRIMDFPK-UHFFFAOYSA-N,-6.5,1590.66
WOVKYSAHUYNSMH-RRKCRQDMSA-N,-6.1,10758.5
NKJQZSDCCLDOQH-MRXNPFEDSA-N,-7.7,11560.75
OXDOWGVJMITMJL-OAQYLSRUSA-N,-7.0,4684.24
QOBAOSCOLAGPKI-UHFFFAOYSA-N,-9.6,9899.74
KJONHKAYOJNZEC-UHFFFAOYSA-N,-7.9,9999.98
UPOYFZYFGWBUKL-UHFFFAOYSA-N,-6.3,4867.71
DHSUYTOATWAVLW-WFVMDLQDSA-N,-7.0,10747.85
SMOBCLHAZXOKDQ-ZJUUUORDSA-N,-6.9,5016.78
VXMOONUMYLCFJD-DHLKQENFSA-N,-8.6,2121.97
BAQCROVBDNBEEB-KSDLJXBFSA-N,-7.3,2873.91
YVPYQUNUQOZFHG-UHFFFAOYSA-N,-5.5,5146.59
VSQQQLOSPVPRAZ-RRKCRQDMSA-N,-7.4,11611.34
MVFGUOIZUNYYSO-LLVKDONJSA-N,-6.8,11049.79
XSCGXQMFQXDFCW-UHFFFAOYSA-N,-7.0,1517.47
ACGDKVXYNVEAGU-UHFFFAOYSA-N,-6.7,8368.76
CXOXHMZGEKVPMT-UHFFFAOYSA-N,-6.9,4197.86
ZULJGOSFKWFVRX-UHFFFAOYSA-N,-6.3,11180.34
FRIZVHMAECRUBR-KIWWSDKQSA-N,-7.5,3281.1
RZWPJFMNFATBEG-UHFFFAOYSA-N,-7.9,8732.6
IDPUKCWIGUEADI-UHFFFAOYSA-N,-5.3,4361.2
YSXKPIUOCJLQIE-ZFMNYDKASA-N,-7.7,7434.88
PGAVKCOVUIYSFO-XVFCMESISA-N,-6.9,9698.59
LRXXRIXDSAEIOR-ZDUSSCGKSA-N,-7.7,2634.7
PTGXAUBQBSGPKF-ZRGWGRIASA-N,-7.9,12077.59
JRWZLRBJNMZMFE-ZDUSSCGKSA-N,-7.8,6834.09
JXUMCVDPMJWGSI-UHFFFAOYSA-N,-4.8,11857.77
KYCBWEZLKCTALM-UHFFFAOYSA-N,-6.5,5055.92
JRWZLRBJNMZMFE-CYBMUJFWSA-N,-7.7,4813.18
ZDXPYRJPNDTMRX-VKHMYHEASA-N,-4.6,11391.05
MEZLKOACVSPNER-GFCCVEGCSA-N,-6.5,3271.3
FUBVWMNBEHXPSU-UHFFFAOYSA-N,-8.6,4970.08
ZFMITUMMTDLWHR-UHFFFAOYSA-N,-6.5,4332.0
XNMYNYSCEJBRPZ-UHFFFAOYSA-N,-6.1,10865.51
MMNICIJVQJJHHF-LJQANCHMSA-N,-7.8,6990.0
IZYQCDNLUPLXOO-UHFFFAOYSA-N,-6.9,9953.68
JZUFKLXOESDKRF-UHFFFAOYSA-N,-6.1,4736.1
CKWHSYRZDLWQFV-HNNXBMFYSA-N,-6.1,12816.85
QADHLRWLCPCEKT-LOVVWNRFSA-N,-8.0,10535.21
JEJBJBKVPOWOQK-QGZVFWFLSA-N,-6.7,9269.61
SNWQKAWITMVCQW-UHFFFAOYSA-N,-8.4,4674.28
NMTBSNPBIGRZBL-UHFFFAOYSA-N,-6.7,11214.09
OFVFGKQCUDMLLP-UHFFFAOYSA-N,-7.6,13152.27
WSSJONWNBBTCMG-NWDGAFQWSA-N,-8.1,9887.86
GOZBHBFUQHMKQB-UHFFFAOYSA-N,-5.9,7457.18
JTUQXGZRVLWBCR-GOSISDBHSA-N,-8.3,5939.76
JMUHBNWAORSSBD-WKYWBUFDSA-N,-4.2,6441.51
ZGSDGGRVFIYKKE-OXQOHEQNSA-N,-6.9,8193.57
MVMXJBMAGBRAHD-UHFFFAOYSA-N,-7.1,10379.93
SKZKKFZAGNVIMN-UHFFFAOYSA-N,-5.7,8763.86
KLDXJTOLSGUMSJ-JGWLITMVSA-N,-5.0,3676.93
BPEGJWRSRHCHSN-UHFFFAOYSA-N,-5.8,6457.84
BQJODPIMMWWMFC-UHFFFAOYSA-N,-6.1,12079.19
VWYQKFLLGRBICZ-UHFFFAOYSA-N,-6.6,9760.03
LJQWYEFHNLTPBZ-UHFFFAOYSA-N,-5.5,2216.8
VQASKUSHBVDKGU-ZETCQYMHSA-N,-5.4,7015.37
XSVMFMHYUFZWBK-NSHDSACASA-N,-6.2,9250.48
DUGOZIWVEXMGBE-CHWSQXEVSA-N,-6.4,7811.19
ZKGDBJAHIIXDDW-MRVPVSSYSA-N,-5.1,12322.33
FLGCRGJDQJIJAW-INIZCTEOSA-N,-8.7,1818.52
CVXBEEMKQHEXEN-UHFFFAOYSA-N,-6.8,6667.32
UISARWKNNNHPGI-INIZCTEOSA-N,-7.0,12301.17
