ligand,energy,binding score
OXDOWGVJMITMJL-OAQYLSRUSA-N,-7.4,21789.61
SMOBCLHAZXOKDQ-ZJUUUORDSA-N,-7.6,33365.31
JUUFBMODXQKSTD-UHFFFAOYSA-N,-7.7,39817.65
PJVWKTKQMONHTI-OAHLLOKOSA-N,-7.8,16167.03
WOVKYSAHUYNSMH-RRKCRQDMSA-N,-6.8,31809.25
SKPLBLUECSEIFO-QMMMGPOBSA-N,-6.6,36164.77
DHSUYTOATWAVLW-WFVMDLQDSA-N,-6.7,23061.99
VZVGEDRCVUKSEL-UHFFFAOYSA-N,-6.0,23496.81
QIFJTEYRIMDFPK-UHFFFAOYSA-N,-6.3,25935.02
MPTXLVRHYGBOQY-UHFFFAOYSA-N,-7.0,20708.8
OVGORFFCBUIFIA-NSHDSACASA-N,-6.3,28565.57
DGMJZELBSFOPHH-KVTDHHQDSA-N,-6.2,20984.61
UPOYFZYFGWBUKL-UHFFFAOYSA-N,-6.3,35832.96
QOBAOSCOLAGPKI-UHFFFAOYSA-N,-9.1,25753.58
IDWVKNARDDZONS-UHFFFAOYSA-N,-7.5,24139.02
YVPYQUNUQOZFHG-UHFFFAOYSA-N,-6.2,26346.38
NEUSVAOJNUQRTM-UHFFFAOYSA-N,-6.1,39456.45
ORRZGUBHBVWWOP-UHFFFAOYSA-N,-5.6,26406.3
NKJQZSDCCLDOQH-MRXNPFEDSA-N,-8.3,14833.56
BAQCROVBDNBEEB-KSDLJXBFSA-N,-8.2,14934.12
VXMOONUMYLCFJD-DHLKQENFSA-N,-9.0,12542.16
GUHPRPJDBZHYCJ-VIFPVBQESA-N,-7.9,16976.51
NULMGOSOSZBEQL-QMMMGPOBSA-N,-6.5,34907.67
KJONHKAYOJNZEC-UHFFFAOYSA-N,-8.7,30702.65
CXOXHMZGEKVPMT-UHFFFAOYSA-N,-7.7,36631.1
XNMYNYSCEJBRPZ-UHFFFAOYSA-N,-6.9,28213.15
ZDXPYRJPNDTMRX-VKHMYHEASA-N,-5.0,23228.6
LRXXRIXDSAEIOR-ZDUSSCGKSA-N,-7.7,37063.01
ZULJGOSFKWFVRX-UHFFFAOYSA-N,-6.7,32857.02
JRWZLRBJNMZMFE-CYBMUJFWSA-N,-8.4,37625.85
YSXKPIUOCJLQIE-ZFMNYDKASA-N,-7.6,18039.31
PTGXAUBQBSGPKF-ZRGWGRIASA-N,-8.5,27305.91
MEZLKOACVSPNER-GFCCVEGCSA-N,-6.3,20168.86
ZFMITUMMTDLWHR-UHFFFAOYSA-N,-6.7,40163.66
JXUMCVDPMJWGSI-UHFFFAOYSA-N,-5.1,31705.43
PGAVKCOVUIYSFO-XVFCMESISA-N,-8.0,25834.36
KYCBWEZLKCTALM-UHFFFAOYSA-N,-7.1,32813.17
IZYQCDNLUPLXOO-UHFFFAOYSA-N,-7.7,24923.68
JZUFKLXOESDKRF-UHFFFAOYSA-N,-6.8,15963.03
JRWZLRBJNMZMFE-ZDUSSCGKSA-N,-8.2,40182.29
RZWPJFMNFATBEG-UHFFFAOYSA-N,-7.9,26204.44
FUBVWMNBEHXPSU-UHFFFAOYSA-N,-8.5,37898.43
FRIZVHMAECRUBR-KIWWSDKQSA-N,-7.3,31684.13
XSCGXQMFQXDFCW-UHFFFAOYSA-N,-7.9,31641.43
VSQQQLOSPVPRAZ-RRKCRQDMSA-N,-7.9,26666.28
MMNICIJVQJJHHF-LJQANCHMSA-N,-7.5,21270.55
IDPUKCWIGUEADI-UHFFFAOYSA-N,-5.6,25773.63
MVFGUOIZUNYYSO-LLVKDONJSA-N,-6.3,31347.4
ACGDKVXYNVEAGU-UHFFFAOYSA-N,-7.0,40314.97
GOZBHBFUQHMKQB-UHFFFAOYSA-N,-6.9,37632.53
CKWHSYRZDLWQFV-HNNXBMFYSA-N,-6.5,25598.92
XSVMFMHYUFZWBK-NSHDSACASA-N,-6.4,34780.01
SNWQKAWITMVCQW-UHFFFAOYSA-N,-9.0,20781.77
JTUQXGZRVLWBCR-GOSISDBHSA-N,-8.5,16682.25
ZKGDBJAHIIXDDW-MRVPVSSYSA-N,-5.9,35382.23
LJQWYEFHNLTPBZ-UHFFFAOYSA-N,-6.1,26000.46
KLDXJTOLSGUMSJ-JGWLITMVSA-N,-5.2,39214.22
CVXBEEMKQHEXEN-UHFFFAOYSA-N,-7.6,27091.8
BQJODPIMMWWMFC-UHFFFAOYSA-N,-6.2,26002.42
JMUHBNWAORSSBD-WKYWBUFDSA-N,-3.7,37239.24
QADHLRWLCPCEKT-LOVVWNRFSA-N,-8.2,12185.53
BPEGJWRSRHCHSN-UHFFFAOYSA-N,-6.4,29485.33
VQASKUSHBVDKGU-ZETCQYMHSA-N,-5.3,33628.59
FLGCRGJDQJIJAW-INIZCTEOSA-N,-8.7,34355.9
MVMXJBMAGBRAHD-UHFFFAOYSA-N,-7.3,13605.9
SKZKKFZAGNVIMN-UHFFFAOYSA-N,-5.9,27175.45
DUGOZIWVEXMGBE-CHWSQXEVSA-N,-7.2,22570.74
JEJBJBKVPOWOQK-QGZVFWFLSA-N,-6.7,23968.96
VWYQKFLLGRBICZ-UHFFFAOYSA-N,-6.5,29549.21
OFVFGKQCUDMLLP-UHFFFAOYSA-N,-8.2,26052.33
ZGSDGGRVFIYKKE-OXQOHEQNSA-N,-7.9,18198.81
WSSJONWNBBTCMG-NWDGAFQWSA-N,-8.0,23929.92
NMTBSNPBIGRZBL-UHFFFAOYSA-N,-6.9,30005.77
UISARWKNNNHPGI-INIZCTEOSA-N,-7.2,31797.64
