ligand,energy,binding score
JUUFBMODXQKSTD-UHFFFAOYSA-N,-6.7,9001.63
SMOBCLHAZXOKDQ-ZJUUUORDSA-N,-6.1,10138.17
QIFJTEYRIMDFPK-UHFFFAOYSA-N,-5.3,3415.69
NEUSVAOJNUQRTM-UHFFFAOYSA-N,-5.1,12588.54
QOBAOSCOLAGPKI-UHFFFAOYSA-N,-7.2,13634.14
OVGORFFCBUIFIA-NSHDSACASA-N,-5.2,16489.02
DHSUYTOATWAVLW-WFVMDLQDSA-N,-5.6,16431.04
ORRZGUBHBVWWOP-UHFFFAOYSA-N,-4.6,12674.5
UPOYFZYFGWBUKL-UHFFFAOYSA-N,-5.3,7280.2
KJONHKAYOJNZEC-UHFFFAOYSA-N,-6.5,17191.64
GUHPRPJDBZHYCJ-VIFPVBQESA-N,-5.9,9727.64
IDWVKNARDDZONS-UHFFFAOYSA-N,-6.3,11289.26
VZVGEDRCVUKSEL-UHFFFAOYSA-N,-4.7,13019.95
DGMJZELBSFOPHH-KVTDHHQDSA-N,-5.2,11532.25
SKPLBLUECSEIFO-QMMMGPOBSA-N,-5.5,15334.73
NKJQZSDCCLDOQH-MRXNPFEDSA-N,-6.9,13239.91
BAQCROVBDNBEEB-KSDLJXBFSA-N,-7.0,5470.62
MPTXLVRHYGBOQY-UHFFFAOYSA-N,-5.9,13873.64
PJVWKTKQMONHTI-OAHLLOKOSA-N,-5.9,12677.72
YVPYQUNUQOZFHG-UHFFFAOYSA-N,-5.3,8753.49
WOVKYSAHUYNSMH-RRKCRQDMSA-N,-5.6,14725.07
OXDOWGVJMITMJL-OAQYLSRUSA-N,-6.1,7854.17
NULMGOSOSZBEQL-QMMMGPOBSA-N,-5.2,11090.2
VXMOONUMYLCFJD-DHLKQENFSA-N,-7.2,4329.81
JFJZZMVDLULRGK-URLMMPGGSA-O,-7.5,6290.44
FKHUGQZRBPETJR-FZKCHLSLSA-N,-0.8,5703.6
NOOLISFMXDJSKH-KXUCPTDWSA-N,-5.1,12372.66
YZQNFFLGIYEXMM-OAHLLOKOSA-N,-5.2,4639.81
DKRSEIPLAZTSFD-LSDHHAIUSA-N,-6.1,15170.79
DJQJFMSHHYAZJD-UHFFFAOYSA-N,-5.5,7445.18
RHUWRJWFHUKVED-UHFFFAOYSA-N,-5.4,16760.02
ZIAOVIPSKUPPQW-UHFFFAOYSA-N,-7.4,8811.31
JYPVVOOBQVVUQV-CGHBYZBKSA-N,-7.3,13110.26
WDYYVNNRTDZKAZ-UHFFFAOYSA-N,-6.5,12517.39
JGOAIQNSOGZNBX-UHFFFAOYSA-N,-5.1,16312.52
HLSLSXBFTXUKCY-RQJHMYQMSA-N,-4.9,12650.51
VBSPHZOBAOWFCL-QFIPXVFZSA-N,-6.5,16350.04
GHXZTYHSJHQHIJ-UHFFFAOYSA-N,-8.8,5456.61
PDWUPXJEEYOOTR-JRGAVVOBSA-N,-5.4,4958.75
YUUAYBAIHCDHHD-UHFFFAOYSA-N,-3.9,14068.57
PLHJDBGFXBMTGZ-UHFFFAOYSA-N,-5.3,10368.31
FOHHNHSLJDZUGQ-RUZDIDTESA-N,-6.6,14834.19
ZPLQIPFOCGIIHV-UHFFFAOYSA-N,-4.1,11620.32
BNQDCRGUHNALGH-LURJTMIESA-N,-5.6,11025.58
AXJXURWWUFZZKN-NSHDSACASA-N,-5.1,14339.95
JUKPWJGBANNWMW-VWBFHTRKSA-N,-8.3,12684.0
UCEWGESNIULAGX-UHFFFAOYSA-N,-6.5,9263.76
IZYQCDNLUPLXOO-UHFFFAOYSA-N,-5.5,16306.6
