ligand,energy,binding score
PJVWKTKQMONHTI-OAHLLOKOSA-N,-7.9,14658.42
JUUFBMODXQKSTD-UHFFFAOYSA-N,-7.6,30358.96
SMOBCLHAZXOKDQ-ZJUUUORDSA-N,-7.6,24191.77
IDWVKNARDDZONS-UHFFFAOYSA-N,-7.5,23178.58
KJONHKAYOJNZEC-UHFFFAOYSA-N,-8.7,27705.35
ORRZGUBHBVWWOP-UHFFFAOYSA-N,-5.5,23637.81
VXMOONUMYLCFJD-DHLKQENFSA-N,-8.8,8704.48
NKJQZSDCCLDOQH-MRXNPFEDSA-N,-8.3,14600.36
OXDOWGVJMITMJL-OAQYLSRUSA-N,-7.4,16143.42
WOVKYSAHUYNSMH-RRKCRQDMSA-N,-6.7,24389.3
GUHPRPJDBZHYCJ-VIFPVBQESA-N,-7.9,16544.21
YVPYQUNUQOZFHG-UHFFFAOYSA-N,-6.2,18617.8
BAQCROVBDNBEEB-KSDLJXBFSA-N,-8.2,9926.79
DHSUYTOATWAVLW-WFVMDLQDSA-N,-6.7,20175.71
SKPLBLUECSEIFO-QMMMGPOBSA-N,-6.7,29435.98
OVGORFFCBUIFIA-NSHDSACASA-N,-6.1,26066.6
NEUSVAOJNUQRTM-UHFFFAOYSA-N,-6.0,30604.68
QIFJTEYRIMDFPK-UHFFFAOYSA-N,-6.4,19846.92
NULMGOSOSZBEQL-QMMMGPOBSA-N,-6.5,28331.79
DGMJZELBSFOPHH-KVTDHHQDSA-N,-6.1,17400.14
UPOYFZYFGWBUKL-UHFFFAOYSA-N,-6.3,29273.44
VZVGEDRCVUKSEL-UHFFFAOYSA-N,-6.0,18856.18
QOBAOSCOLAGPKI-UHFFFAOYSA-N,-9.1,20250.7
MPTXLVRHYGBOQY-UHFFFAOYSA-N,-7.1,19905.78
ACGDKVXYNVEAGU-UHFFFAOYSA-N,-7.0,32024.57
XSCGXQMFQXDFCW-UHFFFAOYSA-N,-7.9,22254.29
CXOXHMZGEKVPMT-UHFFFAOYSA-N,-7.7,27632.27
ZFMITUMMTDLWHR-UHFFFAOYSA-N,-6.7,30305.19
ZDXPYRJPNDTMRX-VKHMYHEASA-N,-4.9,20767.08
PGAVKCOVUIYSFO-XVFCMESISA-N,-7.4,23114.31
LRXXRIXDSAEIOR-ZDUSSCGKSA-N,-7.7,26156.46
JZUFKLXOESDKRF-UHFFFAOYSA-N,-6.8,11907.67
MMNICIJVQJJHHF-LJQANCHMSA-N,-7.6,19726.89
FRIZVHMAECRUBR-KIWWSDKQSA-N,-7.0,23233.7
IZYQCDNLUPLXOO-UHFFFAOYSA-N,-7.6,21644.84
VSQQQLOSPVPRAZ-RRKCRQDMSA-N,-7.9,22179.08
MEZLKOACVSPNER-GFCCVEGCSA-N,-6.4,21149.71
JRWZLRBJNMZMFE-ZDUSSCGKSA-N,-8.0,29873.03
JXUMCVDPMJWGSI-UHFFFAOYSA-N,-5.1,29647.1
FUBVWMNBEHXPSU-UHFFFAOYSA-N,-8.5,28827.65
XNMYNYSCEJBRPZ-UHFFFAOYSA-N,-7.1,25741.91
IDPUKCWIGUEADI-UHFFFAOYSA-N,-5.7,18191.65
YSXKPIUOCJLQIE-ZFMNYDKASA-N,-7.6,14122.97
KYCBWEZLKCTALM-UHFFFAOYSA-N,-7.1,23689.19
ZULJGOSFKWFVRX-UHFFFAOYSA-N,-6.5,28644.52
MVFGUOIZUNYYSO-LLVKDONJSA-N,-6.7,25117.23
RZWPJFMNFATBEG-UHFFFAOYSA-N,-8.0,22041.8
PTGXAUBQBSGPKF-ZRGWGRIASA-N,-8.4,25859.81
JRWZLRBJNMZMFE-CYBMUJFWSA-N,-7.9,27224.52
VQASKUSHBVDKGU-ZETCQYMHSA-N,-5.3,26440.13
VWYQKFLLGRBICZ-UHFFFAOYSA-N,-6.3,26258.92
QADHLRWLCPCEKT-LOVVWNRFSA-N,-8.2,12309.99
JTUQXGZRVLWBCR-GOSISDBHSA-N,-8.2,16875.35
BPEGJWRSRHCHSN-UHFFFAOYSA-N,-6.4,26106.89
JEJBJBKVPOWOQK-QGZVFWFLSA-N,-6.8,21776.77
ZKGDBJAHIIXDDW-MRVPVSSYSA-N,-5.9,28193.19
DUGOZIWVEXMGBE-CHWSQXEVSA-N,-7.2,18038.04
BQJODPIMMWWMFC-UHFFFAOYSA-N,-6.2,25063.89
SNWQKAWITMVCQW-UHFFFAOYSA-N,-9.0,16017.52
WSSJONWNBBTCMG-NWDGAFQWSA-N,-8.0,22738.31
JMUHBNWAORSSBD-WKYWBUFDSA-N,-3.5,25903.68
KLDXJTOLSGUMSJ-JGWLITMVSA-N,-5.2,27437.75
GOZBHBFUQHMKQB-UHFFFAOYSA-N,-7.0,30301.27
CKWHSYRZDLWQFV-HNNXBMFYSA-N,-6.5,24096.96
LJQWYEFHNLTPBZ-UHFFFAOYSA-N,-6.3,18722.17
CVXBEEMKQHEXEN-UHFFFAOYSA-N,-7.6,24079.08
MVMXJBMAGBRAHD-UHFFFAOYSA-N,-7.3,13554.85
OFVFGKQCUDMLLP-UHFFFAOYSA-N,-8.2,24269.94
SKZKKFZAGNVIMN-UHFFFAOYSA-N,-5.9,23312.64
XSVMFMHYUFZWBK-NSHDSACASA-N,-6.4,26079.9
UISARWKNNNHPGI-INIZCTEOSA-N,-7.2,26765.31
NMTBSNPBIGRZBL-UHFFFAOYSA-N,-6.9,25458.02
FLGCRGJDQJIJAW-INIZCTEOSA-N,-8.8,25561.15
ZGSDGGRVFIYKKE-OXQOHEQNSA-N,-7.9,15353.86
