ligand,energy,binding score
QOBAOSCOLAGPKI-UHFFFAOYSA-N,-9.3,20715.13
OVGORFFCBUIFIA-NSHDSACASA-N,-5.9,26389.81
NEUSVAOJNUQRTM-UHFFFAOYSA-N,-6.2,32081.67
YVPYQUNUQOZFHG-UHFFFAOYSA-N,-6.2,19370.74
DHSUYTOATWAVLW-WFVMDLQDSA-N,-6.7,20482.22
WOVKYSAHUYNSMH-RRKCRQDMSA-N,-6.8,25108.07
ORRZGUBHBVWWOP-UHFFFAOYSA-N,-5.5,23891.65
VZVGEDRCVUKSEL-UHFFFAOYSA-N,-6.0,19230.0
VXMOONUMYLCFJD-DHLKQENFSA-N,-9.0,8988.1
GUHPRPJDBZHYCJ-VIFPVBQESA-N,-7.9,16646.64
KJONHKAYOJNZEC-UHFFFAOYSA-N,-8.7,28418.36
SKPLBLUECSEIFO-QMMMGPOBSA-N,-6.6,30412.96
JUUFBMODXQKSTD-UHFFFAOYSA-N,-7.7,31428.95
QIFJTEYRIMDFPK-UHFFFAOYSA-N,-6.4,20377.5
DGMJZELBSFOPHH-KVTDHHQDSA-N,-6.2,17699.69
PJVWKTKQMONHTI-OAHLLOKOSA-N,-7.8,14886.22
SMOBCLHAZXOKDQ-ZJUUUORDSA-N,-7.6,25586.19
MPTXLVRHYGBOQY-UHFFFAOYSA-N,-7.1,20125.62
BAQCROVBDNBEEB-KSDLJXBFSA-N,-8.2,10461.41
UPOYFZYFGWBUKL-UHFFFAOYSA-N,-6.3,30433.09
NKJQZSDCCLDOQH-MRXNPFEDSA-N,-8.3,14747.37
IDWVKNARDDZONS-UHFFFAOYSA-N,-7.5,23217.22
NULMGOSOSZBEQL-QMMMGPOBSA-N,-6.7,29139.19
OXDOWGVJMITMJL-OAQYLSRUSA-N,-7.4,16715.89
AXJXURWWUFZZKN-NSHDSACASA-N,-6.2,32804.51
RHUWRJWFHUKVED-UHFFFAOYSA-N,-6.4,28066.99
YUUAYBAIHCDHHD-UHFFFAOYSA-N,-4.4,22707.2
PDWUPXJEEYOOTR-JRGAVVOBSA-N,-6.2,32892.08
DKRSEIPLAZTSFD-LSDHHAIUSA-N,-8.8,22133.13
NOOLISFMXDJSKH-KXUCPTDWSA-N,-5.9,30624.93
KFZMXOLSYABOSE-UHFFFAOYSA-O,-7.0,19458.81
ZIAOVIPSKUPPQW-UHFFFAOYSA-N,-9.0,11414.7
PLHJDBGFXBMTGZ-UHFFFAOYSA-N,-6.8,26442.04
GHXZTYHSJHQHIJ-UHFFFAOYSA-N,-10.2,24935.11
JFJZZMVDLULRGK-URLMMPGGSA-O,-9.2,28595.94
JYPVVOOBQVVUQV-CGHBYZBKSA-N,-9.2,20153.69
DJQJFMSHHYAZJD-UHFFFAOYSA-N,-7.0,28303.89
WDYYVNNRTDZKAZ-UHFFFAOYSA-N,-7.5,24274.39
FOHHNHSLJDZUGQ-RUZDIDTESA-N,-7.8,20386.86
VBSPHZOBAOWFCL-QFIPXVFZSA-N,-8.2,24871.51
UCEWGESNIULAGX-UHFFFAOYSA-N,-7.8,12623.17
JUKPWJGBANNWMW-VWBFHTRKSA-N,-8.9,14899.41
HLSLSXBFTXUKCY-RQJHMYQMSA-N,-5.9,24451.62
FKHUGQZRBPETJR-FZKCHLSLSA-N,-1.0,24491.38
JGOAIQNSOGZNBX-UHFFFAOYSA-N,-7.0,22081.59
YZQNFFLGIYEXMM-OAHLLOKOSA-N,-6.6,28246.4
BNQDCRGUHNALGH-LURJTMIESA-N,-7.1,27930.17
ZPLQIPFOCGIIHV-UHFFFAOYSA-N,-5.1,33741.67
IZYQCDNLUPLXOO-UHFFFAOYSA-N,-7.6,21732.96
JRWZLRBJNMZMFE-CYBMUJFWSA-N,-8.0,29154.28
FRIZVHMAECRUBR-KIWWSDKQSA-N,-7.4,24128.66
IDPUKCWIGUEADI-UHFFFAOYSA-N,-5.7,18859.48
XNMYNYSCEJBRPZ-UHFFFAOYSA-N,-7.0,26077.87
ZDXPYRJPNDTMRX-VKHMYHEASA-N,-5.1,21010.75
MMNICIJVQJJHHF-LJQANCHMSA-N,-7.6,19851.46
MEZLKOACVSPNER-GFCCVEGCSA-N,-6.3,21108.68
ZULJGOSFKWFVRX-UHFFFAOYSA-N,-6.3,29147.03
XSCGXQMFQXDFCW-UHFFFAOYSA-N,-8.0,23305.32
MVFGUOIZUNYYSO-LLVKDONJSA-N,-6.3,25709.54
LRXXRIXDSAEIOR-ZDUSSCGKSA-N,-7.7,27793.12
KYCBWEZLKCTALM-UHFFFAOYSA-N,-7.1,24098.81
PGAVKCOVUIYSFO-XVFCMESISA-N,-7.6,23093.1
RZWPJFMNFATBEG-UHFFFAOYSA-N,-7.9,22639.67
FUBVWMNBEHXPSU-UHFFFAOYSA-N,-8.4,30201.58
PTGXAUBQBSGPKF-ZRGWGRIASA-N,-8.4,26157.22
JXUMCVDPMJWGSI-UHFFFAOYSA-N,-5.1,29625.14
CXOXHMZGEKVPMT-UHFFFAOYSA-N,-7.7,29260.64
JZUFKLXOESDKRF-UHFFFAOYSA-N,-6.8,12365.01
ACGDKVXYNVEAGU-UHFFFAOYSA-N,-7.0,33238.78
VSQQQLOSPVPRAZ-RRKCRQDMSA-N,-7.6,22562.54
YSXKPIUOCJLQIE-ZFMNYDKASA-N,-7.6,14402.48
ZFMITUMMTDLWHR-UHFFFAOYSA-N,-6.7,32205.19
JRWZLRBJNMZMFE-ZDUSSCGKSA-N,-8.2,31806.74
GOZBHBFUQHMKQB-UHFFFAOYSA-N,-6.9,31050.29
QADHLRWLCPCEKT-LOVVWNRFSA-N,-8.2,12319.04
ZKGDBJAHIIXDDW-MRVPVSSYSA-N,-5.9,28653.98
KLDXJTOLSGUMSJ-JGWLITMVSA-N,-5.2,29168.02
JEJBJBKVPOWOQK-QGZVFWFLSA-N,-6.8,22014.17
JTUQXGZRVLWBCR-GOSISDBHSA-N,-8.2,17101.73
VQASKUSHBVDKGU-ZETCQYMHSA-N,-5.3,28169.02
BPEGJWRSRHCHSN-UHFFFAOYSA-N,-6.4,26316.89
UISARWKNNNHPGI-INIZCTEOSA-N,-7.1,27157.49
DUGOZIWVEXMGBE-CHWSQXEVSA-N,-7.2,18455.09
NMTBSNPBIGRZBL-UHFFFAOYSA-N,-6.9,26002.04
CKWHSYRZDLWQFV-HNNXBMFYSA-N,-6.5,24223.19
ZGSDGGRVFIYKKE-OXQOHEQNSA-N,-7.9,15580.73
MVMXJBMAGBRAHD-UHFFFAOYSA-N,-7.3,13604.99
FLGCRGJDQJIJAW-INIZCTEOSA-N,-8.8,27375.86
JMUHBNWAORSSBD-WKYWBUFDSA-N,-3.7,27753.42
WSSJONWNBBTCMG-NWDGAFQWSA-N,-8.0,22945.57
SKZKKFZAGNVIMN-UHFFFAOYSA-N,-5.9,23613.39
SNWQKAWITMVCQW-UHFFFAOYSA-N,-9.0,16371.86
LJQWYEFHNLTPBZ-UHFFFAOYSA-N,-6.1,18979.22
OFVFGKQCUDMLLP-UHFFFAOYSA-N,-8.2,24560.03
CVXBEEMKQHEXEN-UHFFFAOYSA-N,-7.6,24278.91
BQJODPIMMWWMFC-UHFFFAOYSA-N,-6.2,25114.35
