ligand,energy,binding score
UPOYFZYFGWBUKL-UHFFFAOYSA-N,-6.0,17429.11
NEUSVAOJNUQRTM-UHFFFAOYSA-N,-4.4,25768.99
KJONHKAYOJNZEC-UHFFFAOYSA-N,-7.4,23265.74
GUHPRPJDBZHYCJ-VIFPVBQESA-N,-6.9,15963.87
OVGORFFCBUIFIA-NSHDSACASA-N,-5.5,22396.82
JUUFBMODXQKSTD-UHFFFAOYSA-N,-6.6,21068.37
BAQCROVBDNBEEB-KSDLJXBFSA-N,-6.2,14043.91
VZVGEDRCVUKSEL-UHFFFAOYSA-N,-5.4,19863.58
WOVKYSAHUYNSMH-RRKCRQDMSA-N,-6.0,24567.46
IDWVKNARDDZONS-UHFFFAOYSA-N,-6.3,18008.47
DHSUYTOATWAVLW-WFVMDLQDSA-N,-6.6,20836.35
SMOBCLHAZXOKDQ-ZJUUUORDSA-N,-7.0,22981.33
ORRZGUBHBVWWOP-UHFFFAOYSA-N,-5.3,23585.91
QOBAOSCOLAGPKI-UHFFFAOYSA-N,-7.8,21281.89
OXDOWGVJMITMJL-OAQYLSRUSA-N,-5.6,17635.67
YVPYQUNUQOZFHG-UHFFFAOYSA-N,-4.9,22174.6
QIFJTEYRIMDFPK-UHFFFAOYSA-N,-5.4,12409.64
DGMJZELBSFOPHH-KVTDHHQDSA-N,-5.2,19470.78
NKJQZSDCCLDOQH-MRXNPFEDSA-N,-6.2,13095.05
MPTXLVRHYGBOQY-UHFFFAOYSA-N,-6.3,18204.13
PJVWKTKQMONHTI-OAHLLOKOSA-N,-6.6,14124.56
SKPLBLUECSEIFO-QMMMGPOBSA-N,-6.1,23182.94
VXMOONUMYLCFJD-DHLKQENFSA-N,-7.3,13590.95
NULMGOSOSZBEQL-QMMMGPOBSA-N,-6.1,23415.23
PLHJDBGFXBMTGZ-UHFFFAOYSA-N,-6.8,22085.02
ZPLQIPFOCGIIHV-UHFFFAOYSA-N,-5.0,24104.25
WDYYVNNRTDZKAZ-UHFFFAOYSA-N,-6.0,19532.3
AXJXURWWUFZZKN-NSHDSACASA-N,-5.2,27477.37
DKRSEIPLAZTSFD-LSDHHAIUSA-N,-6.5,23351.46
GHXZTYHSJHQHIJ-UHFFFAOYSA-N,-8.4,15894.35
JFJZZMVDLULRGK-URLMMPGGSA-O,-7.9,16742.71
FOHHNHSLJDZUGQ-RUZDIDTESA-N,-6.8,19114.14
FKHUGQZRBPETJR-FZKCHLSLSA-N,-0.8,18009.12
HLSLSXBFTXUKCY-RQJHMYQMSA-N,-5.0,22657.81
JGOAIQNSOGZNBX-UHFFFAOYSA-N,-5.4,20327.18
JYPVVOOBQVVUQV-CGHBYZBKSA-N,-7.9,19800.07
RHUWRJWFHUKVED-UHFFFAOYSA-N,-5.5,26416.46
UCEWGESNIULAGX-UHFFFAOYSA-N,-5.9,15832.79
NOOLISFMXDJSKH-KXUCPTDWSA-N,-5.2,23067.75
JUKPWJGBANNWMW-VWBFHTRKSA-N,-6.9,17481.67
BNQDCRGUHNALGH-LURJTMIESA-N,-6.5,18626.43
YZQNFFLGIYEXMM-OAHLLOKOSA-N,-5.3,15020.59
VBSPHZOBAOWFCL-QFIPXVFZSA-N,-6.6,26179.83
PDWUPXJEEYOOTR-JRGAVVOBSA-N,-6.2,17331.98
DJQJFMSHHYAZJD-UHFFFAOYSA-N,-6.1,18672.69
KFZMXOLSYABOSE-UHFFFAOYSA-O,-5.3,19040.46
ZIAOVIPSKUPPQW-UHFFFAOYSA-N,-7.5,15456.52
YUUAYBAIHCDHHD-UHFFFAOYSA-N,-4.7,22172.51
ACGDKVXYNVEAGU-UHFFFAOYSA-N,-5.8,28352.21
