ligand,energy,binding score
NEUSVAOJNUQRTM-UHFFFAOYSA-N,-4.3,36317.78
WOVKYSAHUYNSMH-RRKCRQDMSA-N,-5.9,30631.92
YVPYQUNUQOZFHG-UHFFFAOYSA-N,-5.6,30435.07
GUHPRPJDBZHYCJ-VIFPVBQESA-N,-5.7,14082.11
UPOYFZYFGWBUKL-UHFFFAOYSA-N,-5.4,30414.27
SMOBCLHAZXOKDQ-ZJUUUORDSA-N,-6.7,35095.75
PJVWKTKQMONHTI-OAHLLOKOSA-N,-7.1,14378.53
OVGORFFCBUIFIA-NSHDSACASA-N,-4.9,26290.06
DHSUYTOATWAVLW-WFVMDLQDSA-N,-5.8,24644.84
NULMGOSOSZBEQL-QMMMGPOBSA-N,-5.8,30466.74
OXDOWGVJMITMJL-OAQYLSRUSA-N,-6.1,29688.32
QIFJTEYRIMDFPK-UHFFFAOYSA-N,-5.7,21934.02
BAQCROVBDNBEEB-KSDLJXBFSA-N,-6.1,24614.32
MPTXLVRHYGBOQY-UHFFFAOYSA-N,-6.4,13450.56
DGMJZELBSFOPHH-KVTDHHQDSA-N,-7.1,24345.31
VZVGEDRCVUKSEL-UHFFFAOYSA-N,-5.1,26283.76
IDWVKNARDDZONS-UHFFFAOYSA-N,-6.0,16053.68
SKPLBLUECSEIFO-QMMMGPOBSA-N,-6.1,35017.91
NKJQZSDCCLDOQH-MRXNPFEDSA-N,-6.6,13894.94
JUUFBMODXQKSTD-UHFFFAOYSA-N,-7.2,40100.95
VXMOONUMYLCFJD-DHLKQENFSA-N,-7.0,23794.12
KJONHKAYOJNZEC-UHFFFAOYSA-N,-7.2,27331.39
QOBAOSCOLAGPKI-UHFFFAOYSA-N,-7.6,26853.58
ORRZGUBHBVWWOP-UHFFFAOYSA-N,-5.5,29178.2
FOHHNHSLJDZUGQ-RUZDIDTESA-N,-5.7,25048.09
JUKPWJGBANNWMW-VWBFHTRKSA-N,-6.8,23830.91
GHXZTYHSJHQHIJ-UHFFFAOYSA-N,-7.8,30743.22
RHUWRJWFHUKVED-UHFFFAOYSA-N,-5.4,33551.61
ZPLQIPFOCGIIHV-UHFFFAOYSA-N,-4.7,38560.84
YUUAYBAIHCDHHD-UHFFFAOYSA-N,-4.9,27799.49
PLHJDBGFXBMTGZ-UHFFFAOYSA-N,-6.4,33971.25
DKRSEIPLAZTSFD-LSDHHAIUSA-N,-6.0,24707.0
YZQNFFLGIYEXMM-OAHLLOKOSA-N,-5.2,31263.17
NOOLISFMXDJSKH-KXUCPTDWSA-N,-4.9,38497.39
PDWUPXJEEYOOTR-JRGAVVOBSA-N,-7.0,34085.66
AXJXURWWUFZZKN-NSHDSACASA-N,-6.2,39870.13
ZIAOVIPSKUPPQW-UHFFFAOYSA-N,-6.9,19896.52
VBSPHZOBAOWFCL-QFIPXVFZSA-N,-5.3,28299.85
DJQJFMSHHYAZJD-UHFFFAOYSA-N,-6.8,37430.45
HLSLSXBFTXUKCY-RQJHMYQMSA-N,-6.8,31836.35
BNQDCRGUHNALGH-LURJTMIESA-N,-6.1,32411.48
KFZMXOLSYABOSE-UHFFFAOYSA-O,-5.9,26544.31
FKHUGQZRBPETJR-FZKCHLSLSA-N,-1.0,26675.97
JYPVVOOBQVVUQV-CGHBYZBKSA-N,-6.4,28705.5
WDYYVNNRTDZKAZ-UHFFFAOYSA-N,-5.7,18739.63
JFJZZMVDLULRGK-URLMMPGGSA-O,-8.0,34957.26
UCEWGESNIULAGX-UHFFFAOYSA-N,-5.8,23827.66
JGOAIQNSOGZNBX-UHFFFAOYSA-N,-6.1,23815.87
YSXKPIUOCJLQIE-ZFMNYDKASA-N,-6.1,23533.51
