ligand,E1,E2,E3
XQFRJNBWHJMXHO-RRKCRQDMSA-N,-5.3,-5.5,-4.8
IJZUQDQOAFUFJY-UHFFFAOYSA-N,-6.6,-5.9,-6.3
IRVLBORJKFZWMI-PWSUYJOCSA-N,-4.9,-4.2,-4.4
QQBDLJCYGRGAKP-UHFFFAOYSA-N,-6.9,-6.5,-6.4
ZCGNOVWYSGBHAU-UHFFFAOYSA-N,-4.8,-5.1,-5.0
NRFJZTXWLKPZAV-RXMQYKEDSA-N,-4.0,-4.0,-3.8
JMFOSJNGKJCTMJ-ZHZULCJRSA-N,-5.8,-4.7,-4.8
CFOYWRHIYXMDOT-UHFFFAOYSA-N,-3.9,-3.8,-3.8
POZJNEBUHLZROM-GFCCVEGCSA-N,-5.7,-5.0,-4.8
JVLBPIPGETUEET-WIXLDOGYSA-O,-6.8,-6.2,-6.2
GQYIWUVLTXOXAJ-UHFFFAOYSA-N,-4.6,-4.7,-4.3
JWBOIMRXGHLCPP-CYBMUJFWSA-N,-5.6,-4.7,-5.2
SNHRLVCMMWUAJD-OMPPIWKSSA-N,-6.7,-5.3,-5.9
DUGOZIWVEXMGBE-OLZOCXBDSA-N,-5.4,-5.0,-5.2
OMDMTHRBGUBUCO-IUCAKERBSA-N,-5.3,-4.5,-5.0
ASFKKFRSMGBFRO-INIZCTEOSA-N,-7.8,-6.5,-6.5
GSVQIUGOUKJHRC-RXMQYKEDSA-N,-5.0,-4.9,-4.5
WNKCJOWTKXGERE-UHFFFAOYSA-N,-5.2,-4.8,-5.1
ZBRCAASZBMWIDA-QFPUCQTMSA-N,-5.9,-5.7,-5.8
SZQIFWWUIBRPBZ-SECBINFHSA-N,-5.6,-4.6,-4.9
RXTHKWVSXOIHJS-GOSISDBHSA-N,-5.0,-4.3,-4.4
FFGPTBGBLSHEPO-UHFFFAOYSA-N,-6.6,-5.5,-6.0
QRJJEGAJXVEBNE-HKOYGPOVSA-N,-6.1,-6.1,-5.2
XKLMZUWKNUAPSZ-FQEVSTJZSA-N,-7.4,-5.9,-6.5
AMGKHLVPQHMHGQ-ZYHUDNBSSA-N,-5.6,-5.1,-5.2
PPVFOZYARYOARE-UHFFFAOYSA-N,-5.0,-5.1,-5.1
QFVAWNPSRQWSDU-UHFFFAOYSA-N,-5.1,-4.8,-5.0
HHHKFGXWKKUNCY-FHWLQOOXSA-N,-6.3,-5.5,-5.2
GUCKKCMJTSNWCU-BQBZGAKWSA-N,-5.4,-5.8,-4.9
TZGBBMBARSFJBG-UKTHLTGXSA-N,-6.0,-5.1,-5.2
PIJVFDBKTWXHHD-HIFRSBDPSA-N,-6.1,-5.3,-5.1
