ligand,E1,E2,E3
ASFKKFRSMGBFRO-INIZCTEOSA-N,-9.8,-7.1,-8.1
AMGKHLVPQHMHGQ-ZYHUDNBSSA-N,-7.5,-6.1,-6.0
TZGBBMBARSFJBG-UKTHLTGXSA-N,-8.0,-7.1,-6.9
JWBOIMRXGHLCPP-CYBMUJFWSA-N,-7.1,-6.2,-5.9
QQBDLJCYGRGAKP-UHFFFAOYSA-N,-8.6,-6.5,-6.6
OMDMTHRBGUBUCO-IUCAKERBSA-N,-5.9,-6.5,-6.6
SNHRLVCMMWUAJD-OMPPIWKSSA-N,-8.7,-4.1,-5.7
NRFJZTXWLKPZAV-RXMQYKEDSA-N,-4.9,-4.8,-4.9
IRVLBORJKFZWMI-PWSUYJOCSA-N,-6.0,-5.9,-5.7
QFVAWNPSRQWSDU-UHFFFAOYSA-N,-7.2,-5.0,-6.0
ZBRCAASZBMWIDA-QFPUCQTMSA-N,-7.4,-6.3,-6.6
SZQIFWWUIBRPBZ-SECBINFHSA-N,-6.5,-6.8,-6.8
GQYIWUVLTXOXAJ-UHFFFAOYSA-N,-6.5,-5.7,-5.7
HHHKFGXWKKUNCY-FHWLQOOXSA-N,-8.4,-6.6,-7.0
PPVFOZYARYOARE-UHFFFAOYSA-N,-6.8,-5.5,-5.6
JMFOSJNGKJCTMJ-ZHZULCJRSA-N,-7.7,-6.0,-6.1
FFGPTBGBLSHEPO-UHFFFAOYSA-N,-8.5,-8.6,-8.6
DUGOZIWVEXMGBE-OLZOCXBDSA-N,-6.9,-6.7,-7.0
XQFRJNBWHJMXHO-RRKCRQDMSA-N,-7.2,-5.8,-5.9
QRJJEGAJXVEBNE-HKOYGPOVSA-N,-8.6,-6.6,-6.8
PIJVFDBKTWXHHD-HIFRSBDPSA-N,-7.4,-6.0,-5.8
IJZUQDQOAFUFJY-UHFFFAOYSA-N,-8.4,-7.1,-7.0
CFOYWRHIYXMDOT-UHFFFAOYSA-N,-5.3,-4.8,-5.0
WNKCJOWTKXGERE-UHFFFAOYSA-N,-6.7,-6.4,-6.3
GSVQIUGOUKJHRC-RXMQYKEDSA-N,-6.6,-3.8,-3.9
GUCKKCMJTSNWCU-BQBZGAKWSA-N,-7.0,-6.0,-6.2
POZJNEBUHLZROM-GFCCVEGCSA-N,-8.0,-6.7,-6.3
ZCGNOVWYSGBHAU-UHFFFAOYSA-N,-6.5,-5.7,-5.7
RXTHKWVSXOIHJS-GOSISDBHSA-N,-7.2,-6.6,-6.8
XKLMZUWKNUAPSZ-FQEVSTJZSA-N,-7.4,-6.8,-7.1
JVLBPIPGETUEET-WIXLDOGYSA-O,-8.7,-4.6,-5.3
