ligand,E1,E2,E3
JVLBPIPGETUEET-WIXLDOGYSA-O,-7.9,-7.9,-7.6
GQYIWUVLTXOXAJ-UHFFFAOYSA-N,-6.2,-6.1,-6.5
GSVQIUGOUKJHRC-RXMQYKEDSA-N,-5.7,-5.5,-6.0
PIJVFDBKTWXHHD-HIFRSBDPSA-N,-7.0,-7.1,-7.5
XQFRJNBWHJMXHO-RRKCRQDMSA-N,-6.4,-6.5,-6.4
AMGKHLVPQHMHGQ-ZYHUDNBSSA-N,-6.6,-6.5,-7.7
HHHKFGXWKKUNCY-FHWLQOOXSA-N,-8.0,-7.7,-7.7
RXTHKWVSXOIHJS-GOSISDBHSA-N,-7.7,-7.4,-7.5
IJZUQDQOAFUFJY-UHFFFAOYSA-N,-8.7,-7.9,-8.0
QFVAWNPSRQWSDU-UHFFFAOYSA-N,-6.1,-7.4,-7.6
ASFKKFRSMGBFRO-INIZCTEOSA-N,-8.5,-9.2,-9.5
XKLMZUWKNUAPSZ-FQEVSTJZSA-N,-7.7,-8.4,-8.3
TZGBBMBARSFJBG-UKTHLTGXSA-N,-7.1,-7.7,-8.1
JMFOSJNGKJCTMJ-ZHZULCJRSA-N,-7.1,-7.3,-6.6
DUGOZIWVEXMGBE-OLZOCXBDSA-N,-6.3,-6.0,-7.3
IRVLBORJKFZWMI-PWSUYJOCSA-N,-5.5,-5.7,-6.2
FFGPTBGBLSHEPO-UHFFFAOYSA-N,-7.3,-7.3,-9.0
ZBRCAASZBMWIDA-QFPUCQTMSA-N,-7.3,-7.0,-7.3
POZJNEBUHLZROM-GFCCVEGCSA-N,-6.5,-6.5,-7.1
GUCKKCMJTSNWCU-BQBZGAKWSA-N,-6.8,-6.9,-6.6
OMDMTHRBGUBUCO-IUCAKERBSA-N,-5.5,-5.6,-6.4
JWBOIMRXGHLCPP-CYBMUJFWSA-N,-6.5,-6.2,-6.6
PPVFOZYARYOARE-UHFFFAOYSA-N,-6.4,-6.5,-6.3
SZQIFWWUIBRPBZ-SECBINFHSA-N,-6.4,-6.2,-7.2
QQBDLJCYGRGAKP-UHFFFAOYSA-N,-8.0,-7.9,-8.1
QRJJEGAJXVEBNE-HKOYGPOVSA-N,-7.6,-6.9,-8.5
WNKCJOWTKXGERE-UHFFFAOYSA-N,-6.4,-6.1,-6.0
NRFJZTXWLKPZAV-RXMQYKEDSA-N,-4.6,-4.9,-4.8
CFOYWRHIYXMDOT-UHFFFAOYSA-N,-4.6,-4.8,-5.1
ZCGNOVWYSGBHAU-UHFFFAOYSA-N,-5.5,-5.4,-5.7
SNHRLVCMMWUAJD-OMPPIWKSSA-N,-7.1,-7.9,-7.1
