ligand,E1,E2,E3
RXTHKWVSXOIHJS-GOSISDBHSA-N,-6.4,-5.6,-5.7
XQFRJNBWHJMXHO-RRKCRQDMSA-N,-5.6,-5.3,-5.2
WNKCJOWTKXGERE-UHFFFAOYSA-N,-6.6,-5.1,-4.8
QFVAWNPSRQWSDU-UHFFFAOYSA-N,-6.4,-5.1,-5.8
ZCGNOVWYSGBHAU-UHFFFAOYSA-N,-5.2,-4.5,-4.3
TZGBBMBARSFJBG-UKTHLTGXSA-N,-7.7,-5.9,-5.4
GSVQIUGOUKJHRC-RXMQYKEDSA-N,-5.3,-5.3,-4.5
JMFOSJNGKJCTMJ-ZHZULCJRSA-N,-6.6,-6.5,-4.9
CFOYWRHIYXMDOT-UHFFFAOYSA-N,-4.9,-3.6,-3.5
POZJNEBUHLZROM-GFCCVEGCSA-N,-6.3,-5.8,-5.3
IJZUQDQOAFUFJY-UHFFFAOYSA-N,-6.5,-6.2,-5.9
QQBDLJCYGRGAKP-UHFFFAOYSA-N,-6.3,-6.0,-6.4
AMGKHLVPQHMHGQ-ZYHUDNBSSA-N,-5.9,-5.6,-5.7
NRFJZTXWLKPZAV-RXMQYKEDSA-N,-4.3,-4.0,-3.9
GQYIWUVLTXOXAJ-UHFFFAOYSA-N,-5.4,-4.8,-4.5
SNHRLVCMMWUAJD-OMPPIWKSSA-N,-6.8,-6.1,-6.5
PIJVFDBKTWXHHD-HIFRSBDPSA-N,-6.2,-5.5,-5.6
PPVFOZYARYOARE-UHFFFAOYSA-N,-5.6,-4.8,-4.9
QRJJEGAJXVEBNE-HKOYGPOVSA-N,-6.9,-5.7,-6.0
IRVLBORJKFZWMI-PWSUYJOCSA-N,-5.4,-4.4,-4.6
SZQIFWWUIBRPBZ-SECBINFHSA-N,-5.9,-5.4,-5.5
OMDMTHRBGUBUCO-IUCAKERBSA-N,-5.8,-5.0,-4.9
DUGOZIWVEXMGBE-OLZOCXBDSA-N,-5.8,-5.1,-5.0
GUCKKCMJTSNWCU-BQBZGAKWSA-N,-5.5,-5.1,-4.7
HHHKFGXWKKUNCY-FHWLQOOXSA-N,-6.9,-5.3,-6.3
ZBRCAASZBMWIDA-QFPUCQTMSA-N,-6.0,-5.2,-5.3
JWBOIMRXGHLCPP-CYBMUJFWSA-N,-5.4,-5.1,-5.0
FFGPTBGBLSHEPO-UHFFFAOYSA-N,-8.4,-6.4,-5.5
XKLMZUWKNUAPSZ-FQEVSTJZSA-N,-7.0,-5.7,-6.6
ASFKKFRSMGBFRO-INIZCTEOSA-N,-8.2,-7.3,-7.3
JVLBPIPGETUEET-WIXLDOGYSA-O,-6.3,-6.6,-5.9
