ligand,E1,E2,E3
CTETYYAZBPJBHE-UHFFFAOYSA-N,-4.6,-5.0,-4.2
HCYFGRCYSCXKNQ-UHFFFAOYSA-N,-5.7,-5.6,-4.7
FMJSMJQBSVNSBF-IBGZPJMESA-N,-5.6,-6.0,-5.1
BZEWSEKUUPWQDQ-UHFFFAOYSA-N,-5.3,-5.7,-5.3
DURULFYMVIFBIR-CYBMUJFWSA-N,-5.3,-6.0,-5.5
XYWJNTOURDMTPI-UHFFFAOYSA-N,-5.4,-5.9,-5.1
XUFXOAAUWZOOIT-SXARVLRPSA-N,-7.6,-6.9,-6.5
DKYWVDODHFEZIM-NSHDSACASA-N,-6.2,-6.9,-5.8
PXKHGMGELZGJQE-ILBGXUMGSA-N,-5.2,-5.3,-5.2
WEVJJMPVVFNAHZ-RRKCRQDMSA-N,-5.6,-5.4,-4.8
UJSKUDDDPKGBJY-WFASDCNBSA-N,-6.7,-6.4,-6.2
BRBKOPJOKNSWSG-UHFFFAOYSA-N,-5.6,-6.1,-5.1
XLOMZPUITCYLMJ-MRVPVSSYSA-N,-5.1,-5.0,-4.1
GVOUFPWUYJWQSK-UHFFFAOYSA-N,-6.7,-6.8,-5.9
UUOJIACWOAYWEZ-SFHVURJKSA-N,-5.4,-7.3,-5.6
RSEPBGGWRJCQGY-RBRWEJTLSA-N,-6.3,-7.5,-6.4
JFXBEKISTKFVAB-AJQTZOPKSA-N,-7.1,-6.9,-6.2
WGMASVSHOSNKMF-NSHDSACASA-N,-4.6,-4.7,-4.4
ZFWYZPJOMMIRAM-DMMVPMRXSA-P,-7.7,-8.1,-7.1
ZGFASEKBKWVCGP-FOIQADDNSA-N,-6.6,-6.9,-5.8
DJWYOLJPSHDSAL-ROUUACIJSA-N,-5.3,-5.0,-5.0
BLSQLHNBWJLIBQ-OZXSUGGESA-N,-7.0,-7.2,-6.9
MRMBZHPJVKCOMA-YJFSRANCSA-N,-6.3,-6.6,-5.7
RGVPOXRFEPSFGH-AWEZNQCLSA-N,-6.3,-6.3,-5.4
