ligand,E1,E2,E3
MRMBZHPJVKCOMA-YJFSRANCSA-N,-7.2,-7.1,-7.9
FMJSMJQBSVNSBF-IBGZPJMESA-N,-6.7,-6.5,-6.8
DJWYOLJPSHDSAL-ROUUACIJSA-N,-5.8,-7.4,-6.8
BZEWSEKUUPWQDQ-UHFFFAOYSA-N,-5.7,-6.4,-7.1
DURULFYMVIFBIR-CYBMUJFWSA-N,-6.2,-6.4,-6.7
XLOMZPUITCYLMJ-MRVPVSSYSA-N,-5.7,-5.6,-5.9
BRBKOPJOKNSWSG-UHFFFAOYSA-N,-6.6,-6.6,-7.4
UJSKUDDDPKGBJY-WFASDCNBSA-N,-8.0,-7.6,-8.6
CTETYYAZBPJBHE-UHFFFAOYSA-N,-5.4,-5.9,-6.1
PXKHGMGELZGJQE-ILBGXUMGSA-N,-6.6,-7.2,-6.7
ZFWYZPJOMMIRAM-DMMVPMRXSA-P,-10.9,-8.6,-11.3
RSEPBGGWRJCQGY-RBRWEJTLSA-N,-7.3,-7.6,-9.2
WGMASVSHOSNKMF-NSHDSACASA-N,-5.8,-6.1,-6.6
RGVPOXRFEPSFGH-AWEZNQCLSA-N,-7.2,-7.0,-8.0
XUFXOAAUWZOOIT-SXARVLRPSA-N,-7.7,-8.2,-8.5
GVOUFPWUYJWQSK-UHFFFAOYSA-N,-7.6,-7.6,-8.1
BLSQLHNBWJLIBQ-OZXSUGGESA-N,-8.0,-9.1,-8.9
DKYWVDODHFEZIM-NSHDSACASA-N,-7.4,-8.2,-8.3
HCYFGRCYSCXKNQ-UHFFFAOYSA-N,-6.4,-6.0,-6.4
XYWJNTOURDMTPI-UHFFFAOYSA-N,-6.2,-6.4,-6.7
WEVJJMPVVFNAHZ-RRKCRQDMSA-N,-6.3,-6.5,-6.2
UUOJIACWOAYWEZ-SFHVURJKSA-N,-7.6,-8.1,-8.1
ZGFASEKBKWVCGP-FOIQADDNSA-N,-7.5,-7.7,-8.5
JFXBEKISTKFVAB-AJQTZOPKSA-N,-9.5,-8.1,-8.7
