ligand,E1,E2,E3
RGVPOXRFEPSFGH-AWEZNQCLSA-N,-6.8,-5.7,-5.8
XLOMZPUITCYLMJ-MRVPVSSYSA-N,-4.6,-4.6,-4.9
WEVJJMPVVFNAHZ-RRKCRQDMSA-N,-5.7,-4.5,-4.9
UUOJIACWOAYWEZ-SFHVURJKSA-N,-7.0,-6.2,-5.5
CTETYYAZBPJBHE-UHFFFAOYSA-N,-4.7,-4.4,-4.1
MRMBZHPJVKCOMA-YJFSRANCSA-N,-6.7,-5.4,-5.3
XYWJNTOURDMTPI-UHFFFAOYSA-N,-6.2,-5.1,-5.4
WGMASVSHOSNKMF-NSHDSACASA-N,-4.9,-4.3,-4.7
BLSQLHNBWJLIBQ-OZXSUGGESA-N,-7.3,-7.0,-6.6
DURULFYMVIFBIR-CYBMUJFWSA-N,-5.9,-4.9,-4.9
JFXBEKISTKFVAB-AJQTZOPKSA-N,-6.8,-7.2,-6.6
FMJSMJQBSVNSBF-IBGZPJMESA-N,-5.4,-5.1,-5.1
UJSKUDDDPKGBJY-WFASDCNBSA-N,-6.9,-7.2,-5.7
XUFXOAAUWZOOIT-SXARVLRPSA-N,-7.1,-7.8,-6.3
HCYFGRCYSCXKNQ-UHFFFAOYSA-N,-6.8,-4.9,-4.6
ZGFASEKBKWVCGP-FOIQADDNSA-N,-7.1,-6.7,-5.9
DJWYOLJPSHDSAL-ROUUACIJSA-N,-5.4,-5.2,-4.9
PXKHGMGELZGJQE-ILBGXUMGSA-N,-6.1,-6.0,-5.2
BZEWSEKUUPWQDQ-UHFFFAOYSA-N,-5.6,-5.6,-5.1
BRBKOPJOKNSWSG-UHFFFAOYSA-N,-6.8,-5.3,-5.2
GVOUFPWUYJWQSK-UHFFFAOYSA-N,-7.1,-6.0,-5.9
DKYWVDODHFEZIM-NSHDSACASA-N,-6.3,-5.9,-5.8
ZFWYZPJOMMIRAM-DMMVPMRXSA-P,-7.9,-7.9,-7.1
RSEPBGGWRJCQGY-RBRWEJTLSA-N,-7.3,-6.9,-6.2
