ligand,E1,E2,E3
VXJABHHJLXLNMP-UHFFFAOYSA-N,-5.9,-6.5,-6.5
RLLPVAHGXHCWKJ-IEBWSBKVSA-N,-7.4,-7.5,-8.6
ZSDBFLMJVAGKOU-UHFFFAOYSA-N,-7.0,-7.2,-7.5
OSVMTWJCGUFAOD-KZQROQTASA-N,-8.2,-8.2,-9.4
WCDSHELZWCOTMI-UHFFFAOYSA-N,-7.3,-7.1,-7.1
ZKUDBRCEOBOWLF-UHFFFAOYSA-N,-8.2,-9.1,-9.7
IKOCLISPVJZJEA-YUMQZZPRSA-N,-5.7,-5.9,-5.7
NCUCGYYHUFIYNU-QGZVFWFLSA-N,-6.7,-6.9,-6.7
UNFWWIHTNXNPBV-WXKVUWSESA-N,-7.1,-7.1,-6.7
ALARQZQTBTVLJV-CYBMUJFWSA-N,-6.9,-7.2,-7.4
BBDAGFIXKZCXAH-SNKVODELSA-N,-6.1,-6.4,-6.8
UCJGJABZCDBEDK-UHFFFAOYSA-N,-9.2,-8.5,-10.3
RZTAMFZIAATZDJ-HNNXBMFYSA-N,-7.2,-7.2,-6.4
VAOCPAMSLUNLGC-UHFFFAOYSA-N,-5.2,-5.5,-5.3
XFDJYSQDBULQSI-QFIPXVFZSA-N,-7.2,-7.0,-7.4
NZXKDOXHBHYTKP-IINYFYTJSA-N,-6.2,-5.9,-6.7
JOATXPAWOHTVSZ-INIZCTEOSA-N,-7.2,-6.9,-7.2
NZASCBIBXNPDMH-UHFFFAOYSA-N,-5.4,-5.2,-5.3
GPTXWRGISTZRIO-UHFFFAOYSA-N,-6.0,-6.8,-6.9
ZCJYUTQZBAIHBS-DEOSSOPVSA-N,-7.8,-7.6,-8.8
BMIJYAZXNZEMLI-NSHDSACASA-N,-6.7,-7.0,-6.9
OWWVHQUOYSPNNE-UHFFFAOYSA-N,-6.0,-6.3,-6.2
COUYJEVMBVSIHV-SFHVURJKSA-N,-8.0,-7.8,-8.6
DNTGGZPQPQTDQF-UHFFFAOYSA-N,-5.7,-6.0,-6.4
UEMLYRZWLVXWRU-UHFFFAOYSA-N,-5.8,-6.0,-6.5
