ligand,E1,E2,E3
ZSDBFLMJVAGKOU-UHFFFAOYSA-N,-7.0,-7.6,-7.5
OWWVHQUOYSPNNE-UHFFFAOYSA-N,-6.0,-5.9,-6.1
OSVMTWJCGUFAOD-KZQROQTASA-N,-8.2,-8.2,-9.4
ZKUDBRCEOBOWLF-UHFFFAOYSA-N,-8.6,-9.0,-9.2
VAOCPAMSLUNLGC-UHFFFAOYSA-N,-5.2,-4.9,-5.3
UCJGJABZCDBEDK-UHFFFAOYSA-N,-9.2,-9.7,-10.3
XFDJYSQDBULQSI-QFIPXVFZSA-N,-7.2,-6.9,-6.9
RLLPVAHGXHCWKJ-IEBWSBKVSA-N,-7.1,-7.5,-8.7
COUYJEVMBVSIHV-SFHVURJKSA-N,-7.9,-7.8,-8.8
BMIJYAZXNZEMLI-NSHDSACASA-N,-6.8,-7.0,-6.9
WCDSHELZWCOTMI-UHFFFAOYSA-N,-7.4,-7.2,-7.1
UEMLYRZWLVXWRU-UHFFFAOYSA-N,-5.5,-6.0,-6.6
RZTAMFZIAATZDJ-HNNXBMFYSA-N,-7.1,-6.3,-6.4
NCUCGYYHUFIYNU-QGZVFWFLSA-N,-6.8,-6.7,-6.7
NZASCBIBXNPDMH-UHFFFAOYSA-N,-5.4,-5.2,-5.3
IKOCLISPVJZJEA-YUMQZZPRSA-N,-5.8,-5.7,-5.3
NZXKDOXHBHYTKP-IINYFYTJSA-N,-6.7,-5.9,-6.7
BBDAGFIXKZCXAH-SNKVODELSA-N,-6.1,-6.5,-6.8
ALARQZQTBTVLJV-CYBMUJFWSA-N,-6.5,-7.2,-7.4
GPTXWRGISTZRIO-UHFFFAOYSA-N,-6.0,-6.2,-6.9
UNFWWIHTNXNPBV-WXKVUWSESA-N,-7.1,-7.1,-6.7
DNTGGZPQPQTDQF-UHFFFAOYSA-N,-5.7,-6.0,-6.4
VXJABHHJLXLNMP-UHFFFAOYSA-N,-5.7,-6.5,-6.6
ZCJYUTQZBAIHBS-DEOSSOPVSA-N,-7.3,-7.8,-8.7
JOATXPAWOHTVSZ-INIZCTEOSA-N,-7.2,-6.8,-7.3
