ligand,E1,E2,E3
JVWOCHRRAWHKLT-UHFFFAOYSA-N,-5.9,-4.8,-5.1
WVLAAKXASPCBGT-CQSZACIVSA-N,-7.2,-5.9,-6.2
YCWSUKQGVSGXJO-NTUHNPAUSA-N,-7.0,-7.0,-6.1
WYWHKKSPHMUBEB-UHFFFAOYSA-N,-5.0,-4.5,-4.1
DASYMCLQENWCJG-XUKDPADISA-N,-6.5,-6.7,-5.7
SAMRUMKYXPVKPA-VFKOLLTISA-N,-5.7,-5.6,-4.0
SEDQWOMFMIJKCU-UHFFFAOYSA-N,-7.1,-5.8,-5.8
XAUDJQYHKZQPEU-KVQBGUIXSA-N,-5.4,-5.7,-4.7
MLSQGNCUYAMAHD-ZSXAAYSXSA-N,-9.0,-7.7,-7.0
VHVPQPYKVGDNFY-DKYCYSLVSA-N,-8.5,-8.0,-6.3
HNJJXZKZRAWDPF-UHFFFAOYSA-N,-5.3,-4.7,-4.4
UPCBSVILVWKHIG-UHFFFAOYSA-N,-7.7,-6.5,-5.9
XWTYSIMOBUGWOL-NSHDSACASA-N,-5.9,-6.0,-5.7
MKXKFYHWDHIYRV-UHFFFAOYSA-N,-6.6,-6.5,-5.5
NKPPORKKCMYYTO-DHZHZOJOSA-N,-7.6,-6.9,-6.6
FSKFPVLPFLJRQB-AWEZNQCLSA-N,-6.8,-6.1,-6.0
WUWFMDMBOJLQIV-SNVBAGLBSA-N,-8.3,-6.8,-5.7
WCJFBSYALHQBSK-UHFFFAOYSA-N,-5.6,-5.6,-4.7
RYYVLZVUVIJVGH-UHFFFAOYSA-N,-5.4,-4.8,-4.5
XCGYUJZMCCFSRP-LBPRGKRZSA-N,-6.8,-6.3,-5.7
ZXERDUOLZKYMJM-ZWECCWDJSA-N,-7.1,-6.1,-5.5
TXHUMRBWIWWBGW-GVGNIZHQSA-N,-5.9,-6.9,-5.2
WKEDVNSFRWHDNR-UHFFFAOYSA-N,-6.6,-6.9,-5.8
BBRBUTFBTUFFBU-LHACABTQSA-N,-5.3,-5.6,-4.9
PBCZLFBEBARBBI-UHFFFAOYSA-N,-7.1,-6.4,-6.1
