ligand,E1,E2,E3
SIBQAECNSSQUOD-UHFFFAOYSA-N,-8.6,-8.0,-5.1
KQPKPCNLIDLUMF-MRVPVSSYSA-N,-6.6,-6.6,-6.0
CHOBRHHOYQKCOU-UHFFFAOYSA-N,-7.7,-7.3,-4.8
KHOITXIGCFIULA-UHFFFAOYSA-N,-8.2,-8.3,4.1
GJPICJJJRGTNOD-UHFFFAOYSA-N,-8.8,-8.2,1.4
CZTQZXZIADLWOZ-CRAIPNDOSA-N,-7.3,-7.5,-5.0
TYMRLRRVMHJFTF-UHFFFAOYSA-N,-6.8,-7.0,-5.9
KYBOHGVERHWSSV-VNIVIJDLSA-N,-8.1,-7.3,-7.2
OUJTZYPIHDYQMC-LJQANCHMSA-N,-8.2,-7.5,0.4
JRTIDHTUMYMPRU-UHFFFAOYSA-N,-6.5,-7.1,-2.6
HRRXCXABAPSOCP-AREMUKBSSA-N,-8.2,-8.5,-7.6
RHAXSHUQNIEUEY-UHFFFAOYSA-N,-7.0,-7.2,-6.6
XMFCOYRWYYXZMY-HXUWFJFHSA-N,-6.6,-6.7,-7.1
BFYRHDVAEJIBON-UHFFFAOYSA-N,-9.0,-7.9,-8.0
ZZVUWRFHKOJYTH-UHFFFAOYSA-N,-7.7,-6.4,-5.5
OBATZBGFDSVCJD-LALPQLPRSA-N,-10.1,-10.2,-8.6
VWEMSUCCUQSLME-NRFANRHFSA-N,-7.7,-7.5,-8.1
ZOZKYEHVNDEUCO-DKXJUACHSA-N,-6.6,-6.5,-7.0
KRNAOFGYEFKHPB-ANJVHQHFSA-N,-9.9,-10.2,-8.2
IYEPZNKOJZOGJG-HNNXBMFYSA-N,-6.9,-6.8,-8.4
OZWKMVRBQXNZKK-NSHDSACASA-N,-7.2,-8.0,-8.4
PIDSZXPFGCURGN-VIFPVBQESA-N,-7.0,-7.1,-7.8
OKACKALPXHBEMA-DKXJUACHSA-N,-5.8,-5.4,3.7
QTFKTBRIGWJQQL-KBPBESRZSA-N,-6.5,-5.5,-4.9
RRHJHSBDJDZUGL-UHFFFAOYSA-N,-7.0,-6.6,-4.8
