ligand,E1,E2,E3
OUJTZYPIHDYQMC-LJQANCHMSA-N,-7.0,-7.0,-7.3
QTFKTBRIGWJQQL-KBPBESRZSA-N,-6.0,-5.7,-6.1
CZTQZXZIADLWOZ-CRAIPNDOSA-N,-8.0,-7.7,-8.3
BFYRHDVAEJIBON-UHFFFAOYSA-N,-7.5,-8.1,-8.5
KRNAOFGYEFKHPB-ANJVHQHFSA-N,-9.8,-9.6,-10.7
OKACKALPXHBEMA-DKXJUACHSA-N,-5.8,-6.2,-6.0
IYEPZNKOJZOGJG-HNNXBMFYSA-N,-7.0,-7.2,-7.7
ZOZKYEHVNDEUCO-DKXJUACHSA-N,-6.8,-7.0,-6.5
KQPKPCNLIDLUMF-MRVPVSSYSA-N,-5.7,-5.7,-6.1
ZZVUWRFHKOJYTH-UHFFFAOYSA-N,-6.0,-5.9,-6.6
HRRXCXABAPSOCP-AREMUKBSSA-N,-7.9,-7.6,-8.9
KYBOHGVERHWSSV-VNIVIJDLSA-N,-5.9,-7.2,-7.3
PIDSZXPFGCURGN-VIFPVBQESA-N,-6.2,-6.7,-6.7
CHOBRHHOYQKCOU-UHFFFAOYSA-N,-6.2,-5.9,-7.0
OZWKMVRBQXNZKK-NSHDSACASA-N,-6.8,-8.0,-7.9
SIBQAECNSSQUOD-UHFFFAOYSA-N,-6.9,-8.1,-8.2
RHAXSHUQNIEUEY-UHFFFAOYSA-N,-5.9,-7.1,-6.7
JRTIDHTUMYMPRU-UHFFFAOYSA-N,-6.5,-6.6,-7.3
OBATZBGFDSVCJD-LALPQLPRSA-N,-11.4,-11.2,-11.2
KHOITXIGCFIULA-UHFFFAOYSA-N,-8.0,-8.0,-8.6
RRHJHSBDJDZUGL-UHFFFAOYSA-N,-6.7,-6.4,-6.9
XMFCOYRWYYXZMY-HXUWFJFHSA-N,-6.6,-7.0,-8.1
TYMRLRRVMHJFTF-UHFFFAOYSA-N,-5.7,-5.8,-6.3
GJPICJJJRGTNOD-UHFFFAOYSA-N,-7.3,-8.0,-7.9
VWEMSUCCUQSLME-NRFANRHFSA-N,-8.4,-7.9,-8.0
