ligand,energy,binding score
NCUCGYYHUFIYNU-QGZVFWFLSA-N,-6.9,15337.48
UCJGJABZCDBEDK-UHFFFAOYSA-N,-10.2,13030.45
GPTXWRGISTZRIO-UHFFFAOYSA-N,-7.0,8249.94
VAOCPAMSLUNLGC-UHFFFAOYSA-N,-5.4,16620.73
DNTGGZPQPQTDQF-UHFFFAOYSA-N,-6.6,14493.55
JOATXPAWOHTVSZ-INIZCTEOSA-N,-7.5,11739.29
COUYJEVMBVSIHV-SFHVURJKSA-N,-9.0,11800.22
OSVMTWJCGUFAOD-KZQROQTASA-N,-9.1,12627.39
NZASCBIBXNPDMH-UHFFFAOYSA-N,-5.7,15476.08
RLLPVAHGXHCWKJ-IEBWSBKVSA-N,-8.7,11482.43
ZKUDBRCEOBOWLF-UHFFFAOYSA-N,-9.7,10327.28
WCDSHELZWCOTMI-UHFFFAOYSA-N,-7.1,17512.82
ALARQZQTBTVLJV-CYBMUJFWSA-N,-7.0,14411.3
UNFWWIHTNXNPBV-WXKVUWSESA-N,-7.0,18516.54
OWWVHQUOYSPNNE-UHFFFAOYSA-N,-6.3,13773.36
NZXKDOXHBHYTKP-IINYFYTJSA-N,-7.0,12943.8
IKOCLISPVJZJEA-YUMQZZPRSA-N,-5.7,15065.92
RZTAMFZIAATZDJ-HNNXBMFYSA-N,-6.3,7979.86
ZSDBFLMJVAGKOU-UHFFFAOYSA-N,-7.9,6078.21
VXJABHHJLXLNMP-UHFFFAOYSA-N,-6.7,11384.2
XFDJYSQDBULQSI-QFIPXVFZSA-N,-7.0,14698.86
BMIJYAZXNZEMLI-NSHDSACASA-N,-7.2,6962.1
UEMLYRZWLVXWRU-UHFFFAOYSA-N,-6.4,11112.06
BBDAGFIXKZCXAH-SNKVODELSA-N,-7.0,17651.32
ZCJYUTQZBAIHBS-DEOSSOPVSA-N,-8.7,8538.83
OKACKALPXHBEMA-DKXJUACHSA-N,-6.0,12300.93
PIDSZXPFGCURGN-VIFPVBQESA-N,-7.1,14200.49
OUJTZYPIHDYQMC-LJQANCHMSA-N,-6.9,12342.69
IYEPZNKOJZOGJG-HNNXBMFYSA-N,-7.7,8715.78
KRNAOFGYEFKHPB-ANJVHQHFSA-N,-11.0,7423.88
ZOZKYEHVNDEUCO-DKXJUACHSA-N,-6.9,14713.76
KQPKPCNLIDLUMF-MRVPVSSYSA-N,-6.5,12011.03
TYMRLRRVMHJFTF-UHFFFAOYSA-N,-6.1,13233.22
CZTQZXZIADLWOZ-CRAIPNDOSA-N,-7.4,11257.79
GJPICJJJRGTNOD-UHFFFAOYSA-N,-7.6,13114.57
KHOITXIGCFIULA-UHFFFAOYSA-N,-9.0,8605.98
QTFKTBRIGWJQQL-KBPBESRZSA-N,-6.5,12112.88
ZZVUWRFHKOJYTH-UHFFFAOYSA-N,-6.7,11151.58
OBATZBGFDSVCJD-LALPQLPRSA-N,-9.2,11163.86
JRTIDHTUMYMPRU-UHFFFAOYSA-N,-7.7,11900.06
VWEMSUCCUQSLME-NRFANRHFSA-N,-8.8,13610.91
BFYRHDVAEJIBON-UHFFFAOYSA-N,-8.3,8271.95
HRRXCXABAPSOCP-AREMUKBSSA-N,-9.1,11751.75
XMFCOYRWYYXZMY-HXUWFJFHSA-N,-8.3,8037.52
KYBOHGVERHWSSV-VNIVIJDLSA-N,-7.3,18653.66
SIBQAECNSSQUOD-UHFFFAOYSA-N,-8.3,14943.52
OZWKMVRBQXNZKK-NSHDSACASA-N,-8.1,14983.29
RHAXSHUQNIEUEY-UHFFFAOYSA-N,-6.8,10011.7
CHOBRHHOYQKCOU-UHFFFAOYSA-N,-6.7,11733.66
RRHJHSBDJDZUGL-UHFFFAOYSA-N,-6.5,12103.55
XAUDJQYHKZQPEU-KVQBGUIXSA-N,-6.5,10986.3
MKXKFYHWDHIYRV-UHFFFAOYSA-N,-6.8,12649.96
XCGYUJZMCCFSRP-LBPRGKRZSA-N,-7.2,16328.61
WUWFMDMBOJLQIV-SNVBAGLBSA-N,-8.4,9036.74
HNJJXZKZRAWDPF-UHFFFAOYSA-N,-5.8,8086.2
DASYMCLQENWCJG-XUKDPADISA-N,-8.2,10500.31
XWTYSIMOBUGWOL-NSHDSACASA-N,-6.7,16525.93
VHVPQPYKVGDNFY-DKYCYSLVSA-N,-8.5,9895.76
RYYVLZVUVIJVGH-UHFFFAOYSA-N,-6.1,12471.93
TXHUMRBWIWWBGW-GVGNIZHQSA-N,-9.0,11251.0
MLSQGNCUYAMAHD-ZSXAAYSXSA-N,-11.0,6399.08
YCWSUKQGVSGXJO-NTUHNPAUSA-N,-8.1,14042.64
WVLAAKXASPCBGT-CQSZACIVSA-N,-8.7,12472.75
NKPPORKKCMYYTO-DHZHZOJOSA-N,-8.7,12438.24
ZXERDUOLZKYMJM-ZWECCWDJSA-N,-8.8,11270.05
SEDQWOMFMIJKCU-UHFFFAOYSA-N,-7.6,11148.44
UPCBSVILVWKHIG-UHFFFAOYSA-N,-9.3,9429.76
WCJFBSYALHQBSK-UHFFFAOYSA-N,-6.3,17235.22
WYWHKKSPHMUBEB-UHFFFAOYSA-N,-5.8,14959.01
FSKFPVLPFLJRQB-AWEZNQCLSA-N,-8.1,14962.32
SAMRUMKYXPVKPA-VFKOLLTISA-N,-6.7,12199.72
WKEDVNSFRWHDNR-UHFFFAOYSA-N,-7.8,16032.04
BBRBUTFBTUFFBU-LHACABTQSA-N,-6.9,18548.39
JVWOCHRRAWHKLT-UHFFFAOYSA-N,-6.1,15380.46
PBCZLFBEBARBBI-UHFFFAOYSA-N,-8.0,14985.72
JVLBPIPGETUEET-WIXLDOGYSA-O,-7.3,11711.14
WNKCJOWTKXGERE-UHFFFAOYSA-N,-6.5,16139.36
CFOYWRHIYXMDOT-UHFFFAOYSA-N,-5.3,16862.05
QRJJEGAJXVEBNE-HKOYGPOVSA-N,-9.1,7799.11
IJZUQDQOAFUFJY-UHFFFAOYSA-N,-8.3,12478.21
PIJVFDBKTWXHHD-HIFRSBDPSA-N,-7.6,21622.17
SNHRLVCMMWUAJD-OMPPIWKSSA-N,-7.5,11760.67
ZCGNOVWYSGBHAU-UHFFFAOYSA-N,-5.8,13229.49
