ligand,energy,binding score
VXJABHHJLXLNMP-UHFFFAOYSA-N,-6.5,31564.85
RLLPVAHGXHCWKJ-IEBWSBKVSA-N,-8.6,13465.17
ZSDBFLMJVAGKOU-UHFFFAOYSA-N,-7.5,29667.1
OSVMTWJCGUFAOD-KZQROQTASA-N,-9.4,20404.9
WCDSHELZWCOTMI-UHFFFAOYSA-N,-7.3,19216.29
ZKUDBRCEOBOWLF-UHFFFAOYSA-N,-9.7,15320.87
IKOCLISPVJZJEA-YUMQZZPRSA-N,-5.9,21089.92
NCUCGYYHUFIYNU-QGZVFWFLSA-N,-6.9,20303.26
UNFWWIHTNXNPBV-WXKVUWSESA-N,-7.1,16231.48
ALARQZQTBTVLJV-CYBMUJFWSA-N,-7.4,31746.58
BBDAGFIXKZCXAH-SNKVODELSA-N,-6.8,22366.44
UCJGJABZCDBEDK-UHFFFAOYSA-N,-10.3,19326.15
RZTAMFZIAATZDJ-HNNXBMFYSA-N,-7.2,14732.93
VAOCPAMSLUNLGC-UHFFFAOYSA-N,-5.5,22130.93
XFDJYSQDBULQSI-QFIPXVFZSA-N,-7.4,16423.31
NZXKDOXHBHYTKP-IINYFYTJSA-N,-6.7,32508.67
JOATXPAWOHTVSZ-INIZCTEOSA-N,-7.2,16208.7
NZASCBIBXNPDMH-UHFFFAOYSA-N,-5.4,25407.37
GPTXWRGISTZRIO-UHFFFAOYSA-N,-6.9,15368.83
ZCJYUTQZBAIHBS-DEOSSOPVSA-N,-8.8,22306.56
BMIJYAZXNZEMLI-NSHDSACASA-N,-7.0,32339.61
OWWVHQUOYSPNNE-UHFFFAOYSA-N,-6.3,17650.35
COUYJEVMBVSIHV-SFHVURJKSA-N,-8.6,26847.38
DNTGGZPQPQTDQF-UHFFFAOYSA-N,-6.4,21053.61
UEMLYRZWLVXWRU-UHFFFAOYSA-N,-6.5,25620.47
KRNAOFGYEFKHPB-ANJVHQHFSA-N,-10.9,15399.11
OUJTZYPIHDYQMC-LJQANCHMSA-N,-7.4,25474.53
QTFKTBRIGWJQQL-KBPBESRZSA-N,-6.0,20131.74
OBATZBGFDSVCJD-LALPQLPRSA-N,-11.3,18124.42
IYEPZNKOJZOGJG-HNNXBMFYSA-N,-7.6,29354.07
KQPKPCNLIDLUMF-MRVPVSSYSA-N,-6.1,27237.31
OKACKALPXHBEMA-DKXJUACHSA-N,-6.1,19712.76
GJPICJJJRGTNOD-UHFFFAOYSA-N,-8.0,21409.37
HRRXCXABAPSOCP-AREMUKBSSA-N,-9.1,32862.35
CHOBRHHOYQKCOU-UHFFFAOYSA-N,-6.9,12657.04
JRTIDHTUMYMPRU-UHFFFAOYSA-N,-7.3,17356.31
VWEMSUCCUQSLME-NRFANRHFSA-N,-8.0,29132.99
PIDSZXPFGCURGN-VIFPVBQESA-N,-7.2,19592.59
TYMRLRRVMHJFTF-UHFFFAOYSA-N,-6.3,16199.39
ZOZKYEHVNDEUCO-DKXJUACHSA-N,-7.0,16394.81
SIBQAECNSSQUOD-UHFFFAOYSA-N,-8.2,24640.32
BFYRHDVAEJIBON-UHFFFAOYSA-N,-8.7,22011.21
OZWKMVRBQXNZKK-NSHDSACASA-N,-8.0,17804.25
RHAXSHUQNIEUEY-UHFFFAOYSA-N,-7.1,20460.08
KYBOHGVERHWSSV-VNIVIJDLSA-N,-7.2,19158.5
KHOITXIGCFIULA-UHFFFAOYSA-N,-8.7,16391.96
XMFCOYRWYYXZMY-HXUWFJFHSA-N,-8.1,21032.67
CZTQZXZIADLWOZ-CRAIPNDOSA-N,-8.4,13799.22
ZZVUWRFHKOJYTH-UHFFFAOYSA-N,-6.7,15660.71
RRHJHSBDJDZUGL-UHFFFAOYSA-N,-6.9,24666.88
WCJFBSYALHQBSK-UHFFFAOYSA-N,-6.6,28603.77
UPCBSVILVWKHIG-UHFFFAOYSA-N,-9.2,18527.91
WYWHKKSPHMUBEB-UHFFFAOYSA-N,-5.7,32496.02
FSKFPVLPFLJRQB-AWEZNQCLSA-N,-8.2,14599.42
VHVPQPYKVGDNFY-DKYCYSLVSA-N,-10.7,20891.81
HNJJXZKZRAWDPF-UHFFFAOYSA-N,-6.2,29307.16
MKXKFYHWDHIYRV-UHFFFAOYSA-N,-7.5,18264.63
BBRBUTFBTUFFBU-LHACABTQSA-N,-7.1,18854.95
XAUDJQYHKZQPEU-KVQBGUIXSA-N,-6.7,19784.84
DASYMCLQENWCJG-XUKDPADISA-N,-8.2,11551.34
RYYVLZVUVIJVGH-UHFFFAOYSA-N,-6.1,28482.7
WKEDVNSFRWHDNR-UHFFFAOYSA-N,-7.6,25303.78
TXHUMRBWIWWBGW-GVGNIZHQSA-N,-8.8,11824.06
