ligand,energy,binding score
UEMLYRZWLVXWRU-UHFFFAOYSA-N,-6.5,22123.61
ZCJYUTQZBAIHBS-DEOSSOPVSA-N,-8.5,23786.36
OWWVHQUOYSPNNE-UHFFFAOYSA-N,-6.2,11933.92
NZASCBIBXNPDMH-UHFFFAOYSA-N,-5.4,23066.34
IKOCLISPVJZJEA-YUMQZZPRSA-N,-5.6,13976.6
UCJGJABZCDBEDK-UHFFFAOYSA-N,-10.3,15693.81
COUYJEVMBVSIHV-SFHVURJKSA-N,-8.7,20800.37
GPTXWRGISTZRIO-UHFFFAOYSA-N,-6.9,10114.13
BMIJYAZXNZEMLI-NSHDSACASA-N,-7.0,21782.25
RZTAMFZIAATZDJ-HNNXBMFYSA-N,-7.2,10094.96
WCDSHELZWCOTMI-UHFFFAOYSA-N,-7.4,17931.07
ZSDBFLMJVAGKOU-UHFFFAOYSA-N,-8.1,20064.56
VXJABHHJLXLNMP-UHFFFAOYSA-N,-6.9,21541.8
RLLPVAHGXHCWKJ-IEBWSBKVSA-N,-8.6,12973.55
VAOCPAMSLUNLGC-UHFFFAOYSA-N,-5.5,18805.52
BBDAGFIXKZCXAH-SNKVODELSA-N,-6.8,19772.85
OSVMTWJCGUFAOD-KZQROQTASA-N,-9.4,16515.76
ALARQZQTBTVLJV-CYBMUJFWSA-N,-7.4,19906.29
ZKUDBRCEOBOWLF-UHFFFAOYSA-N,-9.3,11618.35
JOATXPAWOHTVSZ-INIZCTEOSA-N,-7.3,12891.92
NZXKDOXHBHYTKP-IINYFYTJSA-N,-6.7,23151.27
NCUCGYYHUFIYNU-QGZVFWFLSA-N,-6.9,15945.23
XFDJYSQDBULQSI-QFIPXVFZSA-N,-7.4,13222.09
UNFWWIHTNXNPBV-WXKVUWSESA-N,-7.1,14930.49
DNTGGZPQPQTDQF-UHFFFAOYSA-N,-6.4,18759.43
KYBOHGVERHWSSV-VNIVIJDLSA-N,-7.2,18380.83
HRRXCXABAPSOCP-AREMUKBSSA-N,-8.9,23000.17
PIDSZXPFGCURGN-VIFPVBQESA-N,-7.1,11952.73
OKACKALPXHBEMA-DKXJUACHSA-N,-6.0,14650.1
OBATZBGFDSVCJD-LALPQLPRSA-N,-11.1,13712.48
GJPICJJJRGTNOD-UHFFFAOYSA-N,-8.6,17621.18
OUJTZYPIHDYQMC-LJQANCHMSA-N,-7.4,18085.54
CHOBRHHOYQKCOU-UHFFFAOYSA-N,-7.0,10010.63
BFYRHDVAEJIBON-UHFFFAOYSA-N,-8.4,22722.24
ZZVUWRFHKOJYTH-UHFFFAOYSA-N,-6.6,10658.66
OZWKMVRBQXNZKK-NSHDSACASA-N,-8.0,10690.8
SIBQAECNSSQUOD-UHFFFAOYSA-N,-8.2,17707.31
CZTQZXZIADLWOZ-CRAIPNDOSA-N,-8.4,11830.96
IYEPZNKOJZOGJG-HNNXBMFYSA-N,-7.8,22624.67
KHOITXIGCFIULA-UHFFFAOYSA-N,-8.6,11619.57
TYMRLRRVMHJFTF-UHFFFAOYSA-N,-6.3,16062.59
RHAXSHUQNIEUEY-UHFFFAOYSA-N,-7.1,13910.09
KQPKPCNLIDLUMF-MRVPVSSYSA-N,-6.1,23550.47
