ligand,energy,binding score
ZSDBFLMJVAGKOU-UHFFFAOYSA-N,-7.9,29625.74
BBDAGFIXKZCXAH-SNKVODELSA-N,-6.8,21254.34
ZKUDBRCEOBOWLF-UHFFFAOYSA-N,-9.0,12865.63
UCJGJABZCDBEDK-UHFFFAOYSA-N,-10.3,17394.98
RLLPVAHGXHCWKJ-IEBWSBKVSA-N,-8.7,14164.36
ZCJYUTQZBAIHBS-DEOSSOPVSA-N,-8.5,27947.11
COUYJEVMBVSIHV-SFHVURJKSA-N,-8.7,25830.36
RZTAMFZIAATZDJ-HNNXBMFYSA-N,-7.2,10793.52
XFDJYSQDBULQSI-QFIPXVFZSA-N,-7.6,15037.73
ALARQZQTBTVLJV-CYBMUJFWSA-N,-7.4,21797.08
DNTGGZPQPQTDQF-UHFFFAOYSA-N,-6.4,21313.12
NZASCBIBXNPDMH-UHFFFAOYSA-N,-5.4,26509.86
VAOCPAMSLUNLGC-UHFFFAOYSA-N,-5.5,21081.59
OWWVHQUOYSPNNE-UHFFFAOYSA-N,-6.3,13649.4
BMIJYAZXNZEMLI-NSHDSACASA-N,-7.0,33084.14
WCDSHELZWCOTMI-UHFFFAOYSA-N,-7.7,20337.46
UEMLYRZWLVXWRU-UHFFFAOYSA-N,-6.6,27208.49
GPTXWRGISTZRIO-UHFFFAOYSA-N,-6.9,10407.46
OSVMTWJCGUFAOD-KZQROQTASA-N,-9.4,18703.69
IKOCLISPVJZJEA-YUMQZZPRSA-N,-5.9,15750.61
JOATXPAWOHTVSZ-INIZCTEOSA-N,-7.3,14632.02
VXJABHHJLXLNMP-UHFFFAOYSA-N,-6.5,27999.69
UNFWWIHTNXNPBV-WXKVUWSESA-N,-7.1,15195.12
NCUCGYYHUFIYNU-QGZVFWFLSA-N,-6.7,16543.68
NZXKDOXHBHYTKP-IINYFYTJSA-N,-6.7,28743.42
KRNAOFGYEFKHPB-ANJVHQHFSA-N,-10.7,9118.23
IYEPZNKOJZOGJG-HNNXBMFYSA-N,-7.6,29751.09
PIDSZXPFGCURGN-VIFPVBQESA-N,-7.1,12153.91
RRHJHSBDJDZUGL-UHFFFAOYSA-N,-6.9,19652.76
XMFCOYRWYYXZMY-HXUWFJFHSA-N,-8.1,27195.3
ZOZKYEHVNDEUCO-DKXJUACHSA-N,-7.0,14365.04
OZWKMVRBQXNZKK-NSHDSACASA-N,-8.0,11411.4
KHOITXIGCFIULA-UHFFFAOYSA-N,-8.6,12827.8
