ligand,energy,binding score
COUYJEVMBVSIHV-SFHVURJKSA-N,-8.7,26092.94
BBDAGFIXKZCXAH-SNKVODELSA-N,-6.8,23663.11
JOATXPAWOHTVSZ-INIZCTEOSA-N,-7.3,15760.49
UEMLYRZWLVXWRU-UHFFFAOYSA-N,-6.5,28197.48
DNTGGZPQPQTDQF-UHFFFAOYSA-N,-6.4,21432.42
UCJGJABZCDBEDK-UHFFFAOYSA-N,-10.3,18397.11
IKOCLISPVJZJEA-YUMQZZPRSA-N,-5.6,28045.32
GPTXWRGISTZRIO-UHFFFAOYSA-N,-6.9,14400.36
NCUCGYYHUFIYNU-QGZVFWFLSA-N,-6.7,23156.83
VXJABHHJLXLNMP-UHFFFAOYSA-N,-6.9,30705.61
VAOCPAMSLUNLGC-UHFFFAOYSA-N,-5.4,22592.87
ALARQZQTBTVLJV-CYBMUJFWSA-N,-7.4,30425.79
RZTAMFZIAATZDJ-HNNXBMFYSA-N,-7.2,14232.33
BMIJYAZXNZEMLI-NSHDSACASA-N,-7.1,33067.93
OWWVHQUOYSPNNE-UHFFFAOYSA-N,-6.3,24061.66
NZXKDOXHBHYTKP-IINYFYTJSA-N,-6.7,32597.86
WCDSHELZWCOTMI-UHFFFAOYSA-N,-7.3,23140.01
ZCJYUTQZBAIHBS-DEOSSOPVSA-N,-8.8,20747.02
UNFWWIHTNXNPBV-WXKVUWSESA-N,-7.1,21275.79
ZSDBFLMJVAGKOU-UHFFFAOYSA-N,-7.6,29393.37
RLLPVAHGXHCWKJ-IEBWSBKVSA-N,-8.8,13189.15
OSVMTWJCGUFAOD-KZQROQTASA-N,-9.4,19471.01
NZASCBIBXNPDMH-UHFFFAOYSA-N,-5.4,33601.43
ZKUDBRCEOBOWLF-UHFFFAOYSA-N,-9.3,14731.88
XFDJYSQDBULQSI-QFIPXVFZSA-N,-7.2,22071.67
GJPICJJJRGTNOD-UHFFFAOYSA-N,-8.7,20280.16
VWEMSUCCUQSLME-NRFANRHFSA-N,-8.4,34805.26
BFYRHDVAEJIBON-UHFFFAOYSA-N,-8.6,21325.05
ZZVUWRFHKOJYTH-UHFFFAOYSA-N,-6.6,19055.74
CZTQZXZIADLWOZ-CRAIPNDOSA-N,-8.3,13383.8
XMFCOYRWYYXZMY-HXUWFJFHSA-N,-8.1,19760.53
IYEPZNKOJZOGJG-HNNXBMFYSA-N,-7.7,29264.21
KYBOHGVERHWSSV-VNIVIJDLSA-N,-7.3,20647.56
RHAXSHUQNIEUEY-UHFFFAOYSA-N,-7.1,18628.11
KQPKPCNLIDLUMF-MRVPVSSYSA-N,-6.1,25853.39
OBATZBGFDSVCJD-LALPQLPRSA-N,-11.5,17756.79
RRHJHSBDJDZUGL-UHFFFAOYSA-N,-6.9,23927.41
OUJTZYPIHDYQMC-LJQANCHMSA-N,-7.3,25987.75
HRRXCXABAPSOCP-AREMUKBSSA-N,-8.9,32840.11
KHOITXIGCFIULA-UHFFFAOYSA-N,-8.4,15472.79
OZWKMVRBQXNZKK-NSHDSACASA-N,-8.0,27251.3
KRNAOFGYEFKHPB-ANJVHQHFSA-N,-10.3,14194.07
TYMRLRRVMHJFTF-UHFFFAOYSA-N,-6.3,16670.39
PIDSZXPFGCURGN-VIFPVBQESA-N,-7.1,25268.38
QTFKTBRIGWJQQL-KBPBESRZSA-N,-6.1,19904.57
JRTIDHTUMYMPRU-UHFFFAOYSA-N,-7.3,17791.87
SIBQAECNSSQUOD-UHFFFAOYSA-N,-8.2,26331.32
