ligand,energy,binding score
ZKUDBRCEOBOWLF-UHFFFAOYSA-N,-9.1,12865.63
NZXKDOXHBHYTKP-IINYFYTJSA-N,-6.7,28743.42
ALARQZQTBTVLJV-CYBMUJFWSA-N,-7.4,21797.08
NZASCBIBXNPDMH-UHFFFAOYSA-N,-5.4,26509.86
IKOCLISPVJZJEA-YUMQZZPRSA-N,-5.7,15750.61
UNFWWIHTNXNPBV-WXKVUWSESA-N,-7.1,15195.12
GPTXWRGISTZRIO-UHFFFAOYSA-N,-6.9,10407.46
OSVMTWJCGUFAOD-KZQROQTASA-N,-9.4,18703.69
BMIJYAZXNZEMLI-NSHDSACASA-N,-6.9,33084.14
UCJGJABZCDBEDK-UHFFFAOYSA-N,-10.2,17394.98
OWWVHQUOYSPNNE-UHFFFAOYSA-N,-6.3,13649.4
ZCJYUTQZBAIHBS-DEOSSOPVSA-N,-8.7,27947.11
COUYJEVMBVSIHV-SFHVURJKSA-N,-8.7,25830.36
BBDAGFIXKZCXAH-SNKVODELSA-N,-6.8,21254.34
JOATXPAWOHTVSZ-INIZCTEOSA-N,-7.2,14632.02
WCDSHELZWCOTMI-UHFFFAOYSA-N,-7.3,20337.46
VAOCPAMSLUNLGC-UHFFFAOYSA-N,-5.4,21081.59
NCUCGYYHUFIYNU-QGZVFWFLSA-N,-6.8,16543.68
XFDJYSQDBULQSI-QFIPXVFZSA-N,-7.2,15037.73
VXJABHHJLXLNMP-UHFFFAOYSA-N,-6.9,27999.69
ZSDBFLMJVAGKOU-UHFFFAOYSA-N,-7.9,29625.74
UEMLYRZWLVXWRU-UHFFFAOYSA-N,-6.6,27208.49
DNTGGZPQPQTDQF-UHFFFAOYSA-N,-6.4,21313.12
RLLPVAHGXHCWKJ-IEBWSBKVSA-N,-8.6,14164.36
RZTAMFZIAATZDJ-HNNXBMFYSA-N,-7.2,10793.52
RRHJHSBDJDZUGL-UHFFFAOYSA-N,-6.9,19652.76
QTFKTBRIGWJQQL-KBPBESRZSA-N,-6.1,17772.75
JRTIDHTUMYMPRU-UHFFFAOYSA-N,-7.4,15358.31
BFYRHDVAEJIBON-UHFFFAOYSA-N,-8.2,26424.44
KRNAOFGYEFKHPB-ANJVHQHFSA-N,-10.7,9118.23
OUJTZYPIHDYQMC-LJQANCHMSA-N,-7.3,20958.44
OZWKMVRBQXNZKK-NSHDSACASA-N,-8.0,11411.4
TYMRLRRVMHJFTF-UHFFFAOYSA-N,-6.3,17185.99
RHAXSHUQNIEUEY-UHFFFAOYSA-N,-7.1,15194.75
PIDSZXPFGCURGN-VIFPVBQESA-N,-7.2,12153.91
HRRXCXABAPSOCP-AREMUKBSSA-N,-8.8,32004.84
CZTQZXZIADLWOZ-CRAIPNDOSA-N,-8.4,12415.02
XMFCOYRWYYXZMY-HXUWFJFHSA-N,-8.1,27195.3
OBATZBGFDSVCJD-LALPQLPRSA-N,-11.4,14263.98
IYEPZNKOJZOGJG-HNNXBMFYSA-N,-7.7,29751.09
GJPICJJJRGTNOD-UHFFFAOYSA-N,-7.9,19361.43
ZOZKYEHVNDEUCO-DKXJUACHSA-N,-7.0,14365.04
KQPKPCNLIDLUMF-MRVPVSSYSA-N,-6.1,27475.66
KYBOHGVERHWSSV-VNIVIJDLSA-N,-7.7,19711.83
VWEMSUCCUQSLME-NRFANRHFSA-N,-8.1,25877.2
CHOBRHHOYQKCOU-UHFFFAOYSA-N,-6.9,10473.23
ZZVUWRFHKOJYTH-UHFFFAOYSA-N,-6.6,11452.1
SIBQAECNSSQUOD-UHFFFAOYSA-N,-8.2,20513.67
