ligand,energy,binding score
PYAOPMWCFSVFOT-UHFFFAOYSA-N,-5.1,66337.76
XVQUOJBERHHONY-SECBINFHSA-N,-5.0,123695.48
FFKUDWZICMJVPA-UHFFFAOYSA-N,-5.7,113345.76
YWXYYJSYQOXTPL-SLPGGIOYSA-N,-5.0,90736.15
KZTZJUQNSSLNAG-UHFFFAOYSA-N,-3.5,165080.07
GLVAUDGFNGKCSF-UHFFFAOYSA-N,-4.9,109566.75
OCAXFDULERPAJM-BQJUDKOJSA-N,-7.0,112605.43
ORTQZVOHEJQUHG-UHFFFAOYSA-L,-2.2,76185.65
KYAKGJDISSNVPZ-UHFFFAOYSA-N,-7.2,253160.28
OUYCCCASQSFEME-QMMMGPOBSA-N,-5.8,143696.24
FKDHHVKWGRFRTG-VOTSOKGWSA-N,-5.0,135644.44
PTKSEFOSCHHMPD-SNVBAGLBSA-N,-6.1,107651.79
WVDDGKGOMKODPV-UHFFFAOYSA-N,-4.9,86144.77
PMRYVIKBURPHAH-UHFFFAOYSA-N,-3.6,117570.75
XRVCFZPJAHWYTB-UHFFFAOYSA-N,-4.1,146130.46
IKYIXZSIKOYSLD-NSHDSACASA-N,-6.7,86861.77
IBAQFPQHRJAVAV-ULAWRXDQSA-N,-5.1,59297.34
AYFVYJQAPQTCCC-GBXIJSLDSA-N,-4.1,110346.84
PEDCQBHIVMGVHV-UHFFFAOYSA-N,-3.6,98256.49
NMCUIPGRVMDVDB-UHFFFAOYSA-L,-2.2,120826.49
GIJXKZJWITVLHI-PMOLBWCYSA-N,-6.7,95243.6
LKACJLUUJRMGFK-UHFFFAOYSA-N,-5.1,81245.03
BDJRBEYXGGNYIS-UHFFFAOYSA-N,-5.4,76864.83
BZQFBWGGLXLEPQ-REOHCLBHSA-N,-4.8,145146.77
XSQUKJJJFZCRTK-OUBTZVSYSA-N,-3.0,71174.63
XULACPAEUUWKFX-UHFFFAOYSA-N,-7.5,77729.82
ARHWPKZXBHOEEE-UHFFFAOYSA-N,-6.0,103802.15
CKLJMWTZIZZHCS-REOHCLBHSA-N,-4.4,102361.95
SPAGIJMPHSUYSE-UHFFFAOYSA-N,-2.3,125674.89
MTTYXGPMZKRTCI-VIFPVBQESA-N,-6.2,162282.12
SSLKKMZJCJBOML-UHFFFAOYSA-N,-5.0,88828.74
ZQPPMHVWECSIRJ-KTKRTIGZSA-N,-5.2,171380.91
FDMBBCOBEAVDAO-AWEZNQCLSA-N,-5.4,126868.49
KSUUMAWCGDNLFK-SSDOTTSWSA-N,-5.3,64123.8
KDXKERNSBIXSRK-YFKPBYRVSA-N,-4.4,82962.96
DIDCGVRALANKIU-OTEFFYEFSA-N,-0.6,127928.6
ZKLPARSLTMPFCP-NRFANRHFSA-N,-7.3,105450.8
BDERNNFJNOPAEC-UHFFFAOYSA-N,-2.8,138438.27
NZLVRVYNQYGMAB-UHFFFAOYSA-N,-7.0,247806.04
NWVVVBRKAWDGAB-UHFFFAOYSA-N,-5.0,123773.35
MVQVNTPHUGQQHK-UHFFFAOYSA-N,-4.4,112259.81
PBAPPPCECJKMCM-IBGZPJMESA-N,-7.5,272892.97
YDDUMTOHNYZQPO-RVXRWRFUSA-N,-8.2,122926.43
CYTYCFOTNPOANT-UHFFFAOYSA-N,-3.3,121612.23
NWGGKKGAFZIVBJ-UHFFFAOYSA-N,-8.7,231341.48
VUFOCTSXHUWGPW-QHCPKHFHSA-N,-7.1,101855.76
UKMSUNONTOPOIO-UHFFFAOYSA-N,-4.6,85094.13
FZERHIULMFGESH-UHFFFAOYSA-N,-5.3,103696.26
UCTRAOBQFUDCSR-SECBINFHSA-N,-6.2,144737.41
UOMKBIIXHQIERR-UHFFFAOYSA-N,-6.7,123652.71
YTGJWQPHMWSCST-GSVOUGTGSA-N,-4.7,79076.4
QTBSBXVTEAMEQO-UHFFFAOYSA-N,-3.0,80299.23
YNUMZJCKFQVSRH-HWKANZROSA-N,-6.6,93868.42
QSRHLIUOSXVKTG-YADHBBJMSA-N,-6.5,99680.31
UGOFYAXVVVXMQT-UHFFFAOYSA-N,-7.3,114836.33
DNIAPMSPPWPWGF-GSVOUGTGSA-N,-3.3,102479.58
NLORYLAYLIXTID-ISLYRVAYSA-N,-7.4,81141.92
HPNSFSBZBAHARI-RUDMXATFSA-N,-6.7,117561.74
CZMRCDWAGMRECN-UGDNZRGBSA-N,-6.1,236489.81
PZMVOUYYNKPMSI-UHFFFAOYSA-N,-5.9,156959.34
WTDRDQBEARUVNC-LURJTMIESA-N,-5.8,115400.2
KZSNJWFQEVHDMF-BYPYZUCNSA-N,-4.1,96574.73
XKFIQZCHJUUSBA-HNNXBMFYSA-N,-6.8,92627.19
OPTBBAGXQYOFTL-UHFFFAOYSA-N,-5.3,113888.16
XLFWDASMENKTKL-UHFFFAOYSA-N,-5.8,101566.39
GBBJCSTXCAQSSJ-XQXXSGGOSA-N,-6.8,77033.94
WRWRKDRWMURIBI-UHFFFAOYSA-M,-2.6,89022.08
LLEMOWNGBBNAJR-UHFFFAOYSA-N,-6.4,157709.26
ODQWQRRAPPTVAG-UHFFFAOYSA-N,-7.0,63661.0
YMTINGFKWWXKFG-UHFFFAOYSA-N,-7.2,83702.11
AHHFEZNOXOZZQA-ZEBDFXRSSA-N,-5.6,161331.96
QNAYBMKLOCPYGJ-REOHCLBHSA-N,-3.5,126894.74
JPBBNLWRCVBGJS-KCAUTNRHSA-N,-6.5,170291.89
XBJWOGLKABXFJE-YFKPBYRVSA-N,-4.9,160246.42
ZQDWXGKKHFNSQK-OAQYLSRUSA-N,-6.3,97917.12
QLGIFPJNYPWBMQ-UHFFFAOYSA-N,-6.8,100208.79
BJRNKVDFDLYUGJ-RMPHRYRLSA-N,-6.4,111592.47
BYFMCKSPFYVMOU-UHFFFAOYSA-N,-7.1,96425.37
IPEHBUMCGVEMRF-UHFFFAOYSA-N,-4.4,121315.73
CVSVTCORWBXHQV-UHFFFAOYSA-N,-4.7,88162.51
KWIUHFFTVRNATP-UHFFFAOYSA-N,-3.4,70061.25
FBPFZTCFMRRESA-KVTDHHQDSA-N,-4.6,152307.43
XSQUKJJJFZCRTK-NJFSPNSNSA-N,-3.0,93808.25
KCXVZYZYPLLWCC-UHFFFAOYSA-N,-5.0,85067.43
RTRQQBHATOEIAF-UUOKFMHZSA-N,-6.2,117772.49
XEFQLINVKFYRCS-UHFFFAOYSA-N,-6.4,97856.16
