ligand,energy,binding score
WVDDGKGOMKODPV-UHFFFAOYSA-N,-5.1,107520.31
IBAQFPQHRJAVAV-ULAWRXDQSA-N,-6.7,71268.03
PMRYVIKBURPHAH-UHFFFAOYSA-N,-4.1,145330.88
YWXYYJSYQOXTPL-SLPGGIOYSA-N,-6.8,82939.63
GIJXKZJWITVLHI-PMOLBWCYSA-N,-7.7,88234.08
GLVAUDGFNGKCSF-UHFFFAOYSA-N,-6.1,152323.34
FFKUDWZICMJVPA-UHFFFAOYSA-N,-7.4,110710.75
KYAKGJDISSNVPZ-UHFFFAOYSA-N,-9.4,231922.29
IKYIXZSIKOYSLD-NSHDSACASA-N,-7.3,77347.99
AYFVYJQAPQTCCC-GBXIJSLDSA-N,-4.9,135600.44
BDJRBEYXGGNYIS-UHFFFAOYSA-N,-5.7,76733.61
XVQUOJBERHHONY-SECBINFHSA-N,-4.9,91446.54
PTKSEFOSCHHMPD-SNVBAGLBSA-N,-7.0,79186.99
XRVCFZPJAHWYTB-UHFFFAOYSA-N,-4.4,197959.83
KZTZJUQNSSLNAG-UHFFFAOYSA-N,-4.6,230098.51
ORTQZVOHEJQUHG-UHFFFAOYSA-L,-2.4,88915.91
LKACJLUUJRMGFK-UHFFFAOYSA-N,-4.9,123925.01
PEDCQBHIVMGVHV-UHFFFAOYSA-N,-4.0,113166.46
FKDHHVKWGRFRTG-VOTSOKGWSA-N,-6.9,118763.35
BZQFBWGGLXLEPQ-REOHCLBHSA-N,-6.0,129829.97
PYAOPMWCFSVFOT-UHFFFAOYSA-N,-6.2,45467.48
OUYCCCASQSFEME-QMMMGPOBSA-N,-6.6,101831.39
OCAXFDULERPAJM-BQJUDKOJSA-N,-7.0,96511.71
NMCUIPGRVMDVDB-UHFFFAOYSA-L,-2.5,121795.51
DIDCGVRALANKIU-OTEFFYEFSA-N,-0.7,97632.59
SPAGIJMPHSUYSE-UHFFFAOYSA-N,-3.1,130247.22
KDXKERNSBIXSRK-YFKPBYRVSA-N,-5.2,114931.91
CKLJMWTZIZZHCS-REOHCLBHSA-N,-5.1,115460.21
MTTYXGPMZKRTCI-VIFPVBQESA-N,-6.9,187740.63
ZKLPARSLTMPFCP-NRFANRHFSA-N,-7.0,92593.24
CYTYCFOTNPOANT-UHFFFAOYSA-N,-3.7,112060.26
NWVVVBRKAWDGAB-UHFFFAOYSA-N,-5.4,124350.65
SSLKKMZJCJBOML-UHFFFAOYSA-N,-6.9,79784.77
ZQPPMHVWECSIRJ-KTKRTIGZSA-N,-6.7,198125.42
NWGGKKGAFZIVBJ-UHFFFAOYSA-N,-11.8,214059.76
BDERNNFJNOPAEC-UHFFFAOYSA-N,-2.9,159241.54
ARHWPKZXBHOEEE-UHFFFAOYSA-N,-6.6,92651.31
FDMBBCOBEAVDAO-AWEZNQCLSA-N,-6.3,89931.2
YDDUMTOHNYZQPO-RVXRWRFUSA-N,-8.9,113898.92
XULACPAEUUWKFX-UHFFFAOYSA-N,-6.9,77588.44
FZERHIULMFGESH-UHFFFAOYSA-N,-5.7,104217.47
VUFOCTSXHUWGPW-QHCPKHFHSA-N,-7.6,92523.29
XSQUKJJJFZCRTK-OUBTZVSYSA-N,-3.3,95584.39
KSUUMAWCGDNLFK-SSDOTTSWSA-N,-6.4,89720.2
UKMSUNONTOPOIO-UHFFFAOYSA-N,-5.5,86084.71
PBAPPPCECJKMCM-IBGZPJMESA-N,-8.9,253775.42
MVQVNTPHUGQQHK-UHFFFAOYSA-N,-4.8,141195.13
NZLVRVYNQYGMAB-UHFFFAOYSA-N,-7.1,231318.8
WTDRDQBEARUVNC-LURJTMIESA-N,-6.9,74531.09
GBBJCSTXCAQSSJ-XQXXSGGOSA-N,-7.6,79423.52
KZSNJWFQEVHDMF-BYPYZUCNSA-N,-4.7,163003.16
JPBBNLWRCVBGJS-KCAUTNRHSA-N,-8.5,157408.87
AHHFEZNOXOZZQA-ZEBDFXRSSA-N,-7.9,150310.14
UGOFYAXVVVXMQT-UHFFFAOYSA-N,-8.4,110382.61
XLFWDASMENKTKL-UHFFFAOYSA-N,-8.0,98358.87
ODQWQRRAPPTVAG-UHFFFAOYSA-N,-7.3,83427.3
YMTINGFKWWXKFG-UHFFFAOYSA-N,-9.0,69392.16
NLORYLAYLIXTID-ISLYRVAYSA-N,-7.7,80279.03
HPNSFSBZBAHARI-RUDMXATFSA-N,-7.5,100947.43
UOMKBIIXHQIERR-UHFFFAOYSA-N,-7.7,111788.88
OPTBBAGXQYOFTL-UHFFFAOYSA-N,-5.5,117439.25
CZMRCDWAGMRECN-UGDNZRGBSA-N,-7.5,221154.81
PZMVOUYYNKPMSI-UHFFFAOYSA-N,-6.3,135253.33
QTBSBXVTEAMEQO-UHFFFAOYSA-N,-3.3,100352.92
QNAYBMKLOCPYGJ-REOHCLBHSA-N,-4.0,141953.57
UCTRAOBQFUDCSR-SECBINFHSA-N,-6.9,98494.48
WRWRKDRWMURIBI-UHFFFAOYSA-M,-3.4,108732.54
XKFIQZCHJUUSBA-HNNXBMFYSA-N,-8.6,58777.2
YTGJWQPHMWSCST-GSVOUGTGSA-N,-5.3,140160.89
QSRHLIUOSXVKTG-YADHBBJMSA-N,-9.0,82732.24
DNIAPMSPPWPWGF-GSVOUGTGSA-N,-3.8,113899.33
YNUMZJCKFQVSRH-HWKANZROSA-N,-7.3,73601.56
LLEMOWNGBBNAJR-UHFFFAOYSA-N,-6.6,129640.96
POJWUDADGALRAB-SFOWXEAESA-N,-7.1,119166.04
FBPFZTCFMRRESA-KVTDHHQDSA-N,-6.5,172549.52
XSQUKJJJFZCRTK-NJFSPNSNSA-N,-3.4,132293.67
NFACJZMKEDPNKN-GSVOUGTGSA-N,-5.2,114743.25
XEFQLINVKFYRCS-UHFFFAOYSA-N,-7.1,98377.63
ZJAOAACCNHFJAH-UHFFFAOYSA-N,-4.9,146420.57
IPEHBUMCGVEMRF-UHFFFAOYSA-N,-5.9,144371.59
