ligand,energy,binding score
FKDHHVKWGRFRTG-VOTSOKGWSA-N,-5.6,144249.93
FFKUDWZICMJVPA-UHFFFAOYSA-N,-6.8,120324.36
XRVCFZPJAHWYTB-UHFFFAOYSA-N,-4.7,197939.92
IBAQFPQHRJAVAV-ULAWRXDQSA-N,-5.8,126241.64
XVQUOJBERHHONY-SECBINFHSA-N,-5.1,165005.76
AYFVYJQAPQTCCC-GBXIJSLDSA-N,-4.6,200621.89
PEDCQBHIVMGVHV-UHFFFAOYSA-N,-3.9,119396.51
LKACJLUUJRMGFK-UHFFFAOYSA-N,-5.5,181065.35
WVDDGKGOMKODPV-UHFFFAOYSA-N,-5.0,100799.39
KZTZJUQNSSLNAG-UHFFFAOYSA-N,-3.9,216945.5
IKYIXZSIKOYSLD-NSHDSACASA-N,-7.4,94714.62
ORTQZVOHEJQUHG-UHFFFAOYSA-L,-2.4,103177.82
BDJRBEYXGGNYIS-UHFFFAOYSA-N,-5.5,72255.73
NMCUIPGRVMDVDB-UHFFFAOYSA-L,-2.4,150971.28
PMRYVIKBURPHAH-UHFFFAOYSA-N,-4.0,162712.0
PYAOPMWCFSVFOT-UHFFFAOYSA-N,-5.3,123371.89
OUYCCCASQSFEME-QMMMGPOBSA-N,-6.5,190865.65
OCAXFDULERPAJM-BQJUDKOJSA-N,-7.5,125314.03
YWXYYJSYQOXTPL-SLPGGIOYSA-N,-5.7,85793.15
GLVAUDGFNGKCSF-UHFFFAOYSA-N,-5.2,189789.65
KYAKGJDISSNVPZ-UHFFFAOYSA-N,-8.7,287685.2
BZQFBWGGLXLEPQ-REOHCLBHSA-N,-5.1,143440.28
PTKSEFOSCHHMPD-SNVBAGLBSA-N,-6.3,140563.31
GIJXKZJWITVLHI-PMOLBWCYSA-N,-7.5,101018.32
ZQPPMHVWECSIRJ-KTKRTIGZSA-N,-6.1,196840.73
KDXKERNSBIXSRK-YFKPBYRVSA-N,-4.8,148949.73
NZLVRVYNQYGMAB-UHFFFAOYSA-N,-8.2,273308.51
CYTYCFOTNPOANT-UHFFFAOYSA-N,-3.7,169845.2
DIDCGVRALANKIU-OTEFFYEFSA-N,-0.7,134419.28
YDDUMTOHNYZQPO-RVXRWRFUSA-N,-9.2,120672.04
UKMSUNONTOPOIO-UHFFFAOYSA-N,-5.4,88838.57
KSUUMAWCGDNLFK-SSDOTTSWSA-N,-5.9,93328.37
XSQUKJJJFZCRTK-OUBTZVSYSA-N,-3.0,102112.22
CKLJMWTZIZZHCS-REOHCLBHSA-N,-4.8,151342.82
FZERHIULMFGESH-UHFFFAOYSA-N,-5.7,123940.97
NWVVVBRKAWDGAB-UHFFFAOYSA-N,-5.1,140002.75
VUFOCTSXHUWGPW-QHCPKHFHSA-N,-7.0,101716.78
