ligand,energy,binding score
YWXYYJSYQOXTPL-SLPGGIOYSA-N,-7.2,68937.45
KZTZJUQNSSLNAG-UHFFFAOYSA-N,-4.5,174284.76
XVQUOJBERHHONY-SECBINFHSA-N,-4.9,105037.03
KYAKGJDISSNVPZ-UHFFFAOYSA-N,-8.9,260915.04
PMRYVIKBURPHAH-UHFFFAOYSA-N,-4.3,129801.38
GIJXKZJWITVLHI-PMOLBWCYSA-N,-8.5,91918.85
OUYCCCASQSFEME-QMMMGPOBSA-N,-6.5,120938.47
FFKUDWZICMJVPA-UHFFFAOYSA-N,-7.1,90172.32
ORTQZVOHEJQUHG-UHFFFAOYSA-L,-2.4,82397.44
GLVAUDGFNGKCSF-UHFFFAOYSA-N,-5.8,136090.91
WVDDGKGOMKODPV-UHFFFAOYSA-N,-5.2,85173.51
XRVCFZPJAHWYTB-UHFFFAOYSA-N,-5.1,171945.0
LKACJLUUJRMGFK-UHFFFAOYSA-N,-6.2,122249.32
PTKSEFOSCHHMPD-SNVBAGLBSA-N,-6.9,89710.75
BZQFBWGGLXLEPQ-REOHCLBHSA-N,-6.0,111931.45
IKYIXZSIKOYSLD-NSHDSACASA-N,-7.8,86589.55
NMCUIPGRVMDVDB-UHFFFAOYSA-L,-2.5,124807.96
FKDHHVKWGRFRTG-VOTSOKGWSA-N,-6.8,123151.81
AYFVYJQAPQTCCC-GBXIJSLDSA-N,-5.7,139112.77
BDJRBEYXGGNYIS-UHFFFAOYSA-N,-5.9,46020.44
OCAXFDULERPAJM-BQJUDKOJSA-N,-8.8,121646.74
IBAQFPQHRJAVAV-ULAWRXDQSA-N,-6.6,97955.29
PEDCQBHIVMGVHV-UHFFFAOYSA-N,-4.8,96571.28
PYAOPMWCFSVFOT-UHFFFAOYSA-N,-6.3,55119.64
ARHWPKZXBHOEEE-UHFFFAOYSA-N,-6.4,108064.56
KDXKERNSBIXSRK-YFKPBYRVSA-N,-5.2,110514.93
XULACPAEUUWKFX-UHFFFAOYSA-N,-8.9,48398.5
ZQPPMHVWECSIRJ-KTKRTIGZSA-N,-6.3,131639.03
UKMSUNONTOPOIO-UHFFFAOYSA-N,-6.4,69033.88
MVQVNTPHUGQQHK-UHFFFAOYSA-N,-5.1,114790.36
BDERNNFJNOPAEC-UHFFFAOYSA-N,-3.4,110476.19
CYTYCFOTNPOANT-UHFFFAOYSA-N,-3.6,127908.34
VUFOCTSXHUWGPW-QHCPKHFHSA-N,-7.8,80536.2
YDDUMTOHNYZQPO-RVXRWRFUSA-N,-10.8,80911.12
ZKLPARSLTMPFCP-NRFANRHFSA-N,-8.7,90702.79
NWVVVBRKAWDGAB-UHFFFAOYSA-N,-5.5,95253.37
MTTYXGPMZKRTCI-VIFPVBQESA-N,-7.0,174169.03
FZERHIULMFGESH-UHFFFAOYSA-N,-6.0,102586.38
SPAGIJMPHSUYSE-UHFFFAOYSA-N,-3.5,136667.68
XSQUKJJJFZCRTK-OUBTZVSYSA-N,-3.8,82153.71
PBAPPPCECJKMCM-IBGZPJMESA-N,-9.1,282059.43
KSUUMAWCGDNLFK-SSDOTTSWSA-N,-6.9,87773.02
NWGGKKGAFZIVBJ-UHFFFAOYSA-N,-11.7,237555.49
SSLKKMZJCJBOML-UHFFFAOYSA-N,-6.9,94819.74
CKLJMWTZIZZHCS-REOHCLBHSA-N,-5.8,102705.74
DIDCGVRALANKIU-OTEFFYEFSA-N,-0.8,133436.67
NZLVRVYNQYGMAB-UHFFFAOYSA-N,-9.0,255753.16
FDMBBCOBEAVDAO-AWEZNQCLSA-N,-5.8,105523.88
JPBBNLWRCVBGJS-KCAUTNRHSA-N,-8.6,173172.3
LLEMOWNGBBNAJR-UHFFFAOYSA-N,-7.0,133636.57
ODQWQRRAPPTVAG-UHFFFAOYSA-N,-8.0,120273.85
XKFIQZCHJUUSBA-HNNXBMFYSA-N,-8.5,72812.86
QTBSBXVTEAMEQO-UHFFFAOYSA-N,-3.7,89939.18
DNIAPMSPPWPWGF-GSVOUGTGSA-N,-4.1,115782.8
PZMVOUYYNKPMSI-UHFFFAOYSA-N,-6.9,96393.51
AHHFEZNOXOZZQA-ZEBDFXRSSA-N,-7.5,134320.79
XLFWDASMENKTKL-UHFFFAOYSA-N,-7.7,79588.26
GBBJCSTXCAQSSJ-XQXXSGGOSA-N,-8.4,110857.39
QSRHLIUOSXVKTG-YADHBBJMSA-N,-8.8,97354.52
UOMKBIIXHQIERR-UHFFFAOYSA-N,-8.0,106172.78
UCTRAOBQFUDCSR-SECBINFHSA-N,-6.6,108064.05
QNAYBMKLOCPYGJ-REOHCLBHSA-N,-4.5,119874.82
WRWRKDRWMURIBI-UHFFFAOYSA-M,-3.1,81067.08
UGOFYAXVVVXMQT-UHFFFAOYSA-N,-8.8,64563.51
WTDRDQBEARUVNC-LURJTMIESA-N,-7.0,81764.95
OPTBBAGXQYOFTL-UHFFFAOYSA-N,-6.5,48206.07
CZMRCDWAGMRECN-UGDNZRGBSA-N,-7.8,165327.58
YTGJWQPHMWSCST-GSVOUGTGSA-N,-5.4,124526.48
KZSNJWFQEVHDMF-BYPYZUCNSA-N,-5.2,186516.69
YNUMZJCKFQVSRH-HWKANZROSA-N,-6.9,98052.41
NLORYLAYLIXTID-ISLYRVAYSA-N,-8.2,50705.46
HPNSFSBZBAHARI-RUDMXATFSA-N,-8.0,78088.27
YMTINGFKWWXKFG-UHFFFAOYSA-N,-8.3,86366.09
CVSVTCORWBXHQV-UHFFFAOYSA-N,-5.9,100133.59
NFACJZMKEDPNKN-GSVOUGTGSA-N,-5.5,116029.69
IPEHBUMCGVEMRF-UHFFFAOYSA-N,-6.0,127381.73
XXEPPPIWZFICOJ-NSHDSACASA-N,-6.3,79876.68
NUKYPUAOHBNCPY-UHFFFAOYSA-N,-4.7,84439.92
XEFQLINVKFYRCS-UHFFFAOYSA-N,-8.0,66197.43
DHMQDGOQFOQNFH-UHFFFAOYSA-N,-4.1,119050.34
KHAUBYTYGDOYRU-IRXASZMISA-N,-7.7,99724.86
FBPFZTCFMRRESA-KVTDHHQDSA-N,-6.4,208170.32
YFESJHPTNWYOCO-UHFFFAOYSA-N,-5.0,213321.4
SEEPANYCNGTZFQ-UHFFFAOYSA-N,-7.2,40550.96
QLGIFPJNYPWBMQ-UHFFFAOYSA-N,-7.4,89117.19
RTRQQBHATOEIAF-UUOKFMHZSA-N,-8.0,136044.23
BJRNKVDFDLYUGJ-RMPHRYRLSA-N,-8.8,100337.26
BYFMCKSPFYVMOU-UHFFFAOYSA-N,-8.3,86009.12
KWIUHFFTVRNATP-UHFFFAOYSA-N,-4.4,116095.79
