ligand,energy,binding score
PEDCQBHIVMGVHV-UHFFFAOYSA-N,-3.6,96088.95
BDJRBEYXGGNYIS-UHFFFAOYSA-N,-5.6,68537.9
WVDDGKGOMKODPV-UHFFFAOYSA-N,-5.0,64228.52
NMCUIPGRVMDVDB-UHFFFAOYSA-L,-2.4,127987.89
KYAKGJDISSNVPZ-UHFFFAOYSA-N,-8.4,279897.93
KZTZJUQNSSLNAG-UHFFFAOYSA-N,-4.0,131810.75
IKYIXZSIKOYSLD-NSHDSACASA-N,-7.4,95785.41
XRVCFZPJAHWYTB-UHFFFAOYSA-N,-4.7,133298.53
OUYCCCASQSFEME-QMMMGPOBSA-N,-6.5,143547.53
ORTQZVOHEJQUHG-UHFFFAOYSA-L,-2.4,78610.84
IBAQFPQHRJAVAV-ULAWRXDQSA-N,-5.8,77757.17
PYAOPMWCFSVFOT-UHFFFAOYSA-N,-5.3,106354.59
LKACJLUUJRMGFK-UHFFFAOYSA-N,-5.4,99868.79
XVQUOJBERHHONY-SECBINFHSA-N,-5.0,127736.61
AYFVYJQAPQTCCC-GBXIJSLDSA-N,-4.6,133265.02
PMRYVIKBURPHAH-UHFFFAOYSA-N,-4.0,112674.3
OCAXFDULERPAJM-BQJUDKOJSA-N,-7.5,128737.13
BZQFBWGGLXLEPQ-REOHCLBHSA-N,-5.1,146667.92
YWXYYJSYQOXTPL-SLPGGIOYSA-N,-5.7,89660.31
GIJXKZJWITVLHI-PMOLBWCYSA-N,-7.9,101632.74
PTKSEFOSCHHMPD-SNVBAGLBSA-N,-6.2,107915.76
GLVAUDGFNGKCSF-UHFFFAOYSA-N,-5.2,95624.84
FFKUDWZICMJVPA-UHFFFAOYSA-N,-6.6,116215.99
FKDHHVKWGRFRTG-VOTSOKGWSA-N,-5.6,147388.98
NZLVRVYNQYGMAB-UHFFFAOYSA-N,-8.2,265254.62
CYTYCFOTNPOANT-UHFFFAOYSA-N,-3.7,146590.96
KSUUMAWCGDNLFK-SSDOTTSWSA-N,-5.9,58595.16
BDERNNFJNOPAEC-UHFFFAOYSA-N,-3.1,122280.22
MVQVNTPHUGQQHK-UHFFFAOYSA-N,-4.7,96776.65
PBAPPPCECJKMCM-IBGZPJMESA-N,-8.3,293899.98
SSLKKMZJCJBOML-UHFFFAOYSA-N,-6.3,102755.61
NWGGKKGAFZIVBJ-UHFFFAOYSA-N,-10.3,249910.44
XSQUKJJJFZCRTK-OUBTZVSYSA-N,-3.0,68103.62
FZERHIULMFGESH-UHFFFAOYSA-N,-5.7,95434.02
UKMSUNONTOPOIO-UHFFFAOYSA-N,-5.9,86312.9
VUFOCTSXHUWGPW-QHCPKHFHSA-N,-6.9,105777.34
XULACPAEUUWKFX-UHFFFAOYSA-N,-7.5,67822.6
ZKLPARSLTMPFCP-NRFANRHFSA-N,-7.6,113458.96
ZQPPMHVWECSIRJ-KTKRTIGZSA-N,-6.0,172017.47
DIDCGVRALANKIU-OTEFFYEFSA-N,-0.7,147674.71
FDMBBCOBEAVDAO-AWEZNQCLSA-N,-6.4,150730.11
ARHWPKZXBHOEEE-UHFFFAOYSA-N,-6.4,128449.68
KDXKERNSBIXSRK-YFKPBYRVSA-N,-4.8,101360.74
SPAGIJMPHSUYSE-UHFFFAOYSA-N,-2.6,135152.77
MTTYXGPMZKRTCI-VIFPVBQESA-N,-6.6,156331.98
NWVVVBRKAWDGAB-UHFFFAOYSA-N,-5.1,102949.61
YDDUMTOHNYZQPO-RVXRWRFUSA-N,-9.2,120136.27
CKLJMWTZIZZHCS-REOHCLBHSA-N,-4.8,121343.88
YNUMZJCKFQVSRH-HWKANZROSA-N,-6.4,118858.34
LLEMOWNGBBNAJR-UHFFFAOYSA-N,-7.1,188782.48
UCTRAOBQFUDCSR-SECBINFHSA-N,-6.6,122363.92
AHHFEZNOXOZZQA-ZEBDFXRSSA-N,-7.2,171423.33
GBBJCSTXCAQSSJ-XQXXSGGOSA-N,-7.2,92291.33
ODQWQRRAPPTVAG-UHFFFAOYSA-N,-7.9,80431.03
XLFWDASMENKTKL-UHFFFAOYSA-N,-6.7,100153.83
WTDRDQBEARUVNC-LURJTMIESA-N,-6.6,99112.36
UOMKBIIXHQIERR-UHFFFAOYSA-N,-8.2,169224.93
OPTBBAGXQYOFTL-UHFFFAOYSA-N,-5.8,83169.38
UGOFYAXVVVXMQT-UHFFFAOYSA-N,-8.2,106633.54
CZMRCDWAGMRECN-UGDNZRGBSA-N,-6.8,224574.54
KZSNJWFQEVHDMF-BYPYZUCNSA-N,-4.6,119735.42
DNIAPMSPPWPWGF-GSVOUGTGSA-N,-3.5,109046.49
WRWRKDRWMURIBI-UHFFFAOYSA-M,-2.9,86275.08
XKFIQZCHJUUSBA-HNNXBMFYSA-N,-8.8,90898.12
PZMVOUYYNKPMSI-UHFFFAOYSA-N,-6.1,130863.59
YTGJWQPHMWSCST-GSVOUGTGSA-N,-4.8,76571.78
JPBBNLWRCVBGJS-KCAUTNRHSA-N,-7.9,181268.99
QNAYBMKLOCPYGJ-REOHCLBHSA-N,-3.8,120275.73
HPNSFSBZBAHARI-RUDMXATFSA-N,-7.2,121268.01
QTBSBXVTEAMEQO-UHFFFAOYSA-N,-3.1,72955.48
QSRHLIUOSXVKTG-YADHBBJMSA-N,-8.1,113710.98
YMTINGFKWWXKFG-UHFFFAOYSA-N,-8.6,100086.06
NLORYLAYLIXTID-ISLYRVAYSA-N,-7.1,83282.9
ZJAOAACCNHFJAH-UHFFFAOYSA-N,-4.2,168903.16
IPEHBUMCGVEMRF-UHFFFAOYSA-N,-4.7,119548.13
NFACJZMKEDPNKN-GSVOUGTGSA-N,-4.7,135855.38
FBPFZTCFMRRESA-KVTDHHQDSA-N,-5.3,166479.09
XXEPPPIWZFICOJ-NSHDSACASA-N,-6.2,95993.76
POJWUDADGALRAB-SFOWXEAESA-N,-5.8,128556.63
QLGIFPJNYPWBMQ-UHFFFAOYSA-N,-7.9,131963.94
WSPOMRSOLSGNFJ-AUWJEWJLSA-N,-7.8,138956.97
SEEPANYCNGTZFQ-UHFFFAOYSA-N,-7.4,64268.7
XSQUKJJJFZCRTK-NJFSPNSNSA-N,-3.0,79455.23
RTRQQBHATOEIAF-UUOKFMHZSA-N,-7.0,145260.39
JMOVFFLYGIQXMM-UHFFFAOYSA-N,-6.7,76635.18
XOAAWQZATWQOTB-UHFFFAOYSA-N,-4.1,104347.74
XBJWOGLKABXFJE-YFKPBYRVSA-N,-5.4,144673.47
KHAUBYTYGDOYRU-IRXASZMISA-N,-7.3,101669.71
YFESJHPTNWYOCO-UHFFFAOYSA-N,-4.5,224082.12
BJRNKVDFDLYUGJ-RMPHRYRLSA-N,-7.8,113748.79
NUKYPUAOHBNCPY-UHFFFAOYSA-N,-4.3,86089.78
KCXVZYZYPLLWCC-UHFFFAOYSA-N,-5.8,110721.06
XEFQLINVKFYRCS-UHFFFAOYSA-N,-7.0,95232.42
KWIUHFFTVRNATP-UHFFFAOYSA-N,-3.9,96853.91
DHMQDGOQFOQNFH-UHFFFAOYSA-N,-3.4,88137.9
BYFMCKSPFYVMOU-UHFFFAOYSA-N,-8.4,102703.07
CVSVTCORWBXHQV-UHFFFAOYSA-N,-5.1,120581.64
ZQDWXGKKHFNSQK-OAQYLSRUSA-N,-7.2,99306.54
AHLPHDHHMVZTML-BYPYZUCNSA-N,-4.7,98287.57
KMSKQZKKOZQFFG-YXRRJAAWSA-N,-9.5,192651.5
PHTUQLWOUWZIMZ-GZTJUZNOSA-N,-7.6,125109.96
RVMGXWBCQGAWBR-UHFFFAOYSA-N,-7.3,131404.36
UAUHEPXILIZYCU-ALHOSYKFSA-N,-7.3,161672.98
XRECTZIEBJDKEO-UHFFFAOYSA-N,-5.1,114544.08
OYTKINVCDFNREN-UHFFFAOYSA-N,-5.0,87566.23
RFKMCNOHBTXSMU-UHFFFAOYSA-N,-4.4,87183.93
RQNADZJRELIICT-UHFFFAOYSA-N,-7.8,216648.55
DLNKOYKMWOXYQA-IONNQARKSA-N,-5.9,111838.38
FRPZMMHWLSIFAZ-UHFFFAOYSA-N,-5.2,141464.46
UVKZSORBKUEBAZ-UHFFFAOYSA-N,-7.1,212637.27
QKDRXGFQVGOQKS-CRSSMBPESA-N,-8.2,93748.99
QBSGXIBYUQJHMJ-UHFFFAOYSA-N,-8.1,89497.81
VVDLFTOOMLZFRO-UHFFFAOYSA-N,-7.8,108112.95
MYBLAOJMRYYKMS-PVFLNQBWSA-N,-7.6,98621.97
WLJVXDMOQOGPHL-UHFFFAOYSA-N,-5.9,109860.18
VOIFKEWOFUNPBN-QIUUJYRFSA-N,-6.2,138977.98
RNFNDJAIBTYOQL-UHFFFAOYSA-N,-4.3,164148.59
COLNVLDHVKWLRT-QMMMGPOBSA-N,-6.1,190259.3
VDANGULDQQJODZ-UHFFFAOYSA-N,-6.2,105422.14
LAHDERDHXJFFJU-ZWNKPRIXSA-N,-7.9,217076.52
YYQRGCZGSFRBAM-UHFFFAOYSA-N,-4.8,125619.58
PVNIIMVLHYAWGP-UHFFFAOYSA-N,-5.3,162061.83
WFNAKBGANONZEQ-GOSISDBHSA-N,-7.1,179544.98
CURLTUGMZLYLDI-UHFFFAOYSA-N,-2.4,132065.44
WBHHMMIMDMUBKC-QJWNTBNXSA-N,-6.0,119412.35
WGNUNYPERJMVRM-UHFFFAOYSA-N,-5.4,146789.48
HRYZWHHZPQKTII-UHFFFAOYSA-N,-2.3,90225.07
CVKNDPRBJVBDSS-CQSZACIVSA-N,-7.9,76134.94
WPYMKLBDIGXBTP-UHFFFAOYSA-N,-5.5,111406.78
SRBFZHDQGSBBOR-LECHCGJUSA-N,-5.6,117175.79
LENZDBCJOHFCAS-UHFFFAOYSA-N,-4.4,156134.52
JEIPFZHSYJVQDO-UHFFFAOYSA-N,-3.5,187680.59
NMUSYJAQQFHJEW-KVTDHHQDSA-N,-6.7,91471.47
ZYVXHFWBYUDDBM-UHFFFAOYSA-N,-5.3,138985.5
GEGSSUSEWOHAFE-UHFFFAOYSA-N,-5.5,96797.8
OEYIOHPDSNJKLS-UHFFFAOYSA-N,-3.8,79286.74
IDCHQQSVJAAUQQ-UHFFFAOYSA-N,-7.3,120931.64
PHVGLTMQBUFIQQ-UHFFFAOYSA-N,-8.3,127181.54
WIIZWVCIJKGZOK-RKDXNWHRSA-N,-7.0,103678.6
UUQMNUMQCIQDMZ-UHFFFAOYSA-N,-5.1,70477.39
JURKNVYFZMSNLP-UHFFFAOYSA-N,-8.1,102362.41
XNEFYCZVKIDDMS-UHFFFAOYSA-N,-8.4,133160.15
AJPLPOWGYORUIF-UHFFFAOYSA-N,-7.6,98444.3
UCCJWNPWWPJKGL-DEOSSOPVSA-N,-9.1,86476.75
