ligand,energy,binding score
XRVCFZPJAHWYTB-UHFFFAOYSA-N,-4.7,252670.59
PTKSEFOSCHHMPD-SNVBAGLBSA-N,-6.4,148577.89
OCAXFDULERPAJM-BQJUDKOJSA-N,-7.5,128595.95
GIJXKZJWITVLHI-PMOLBWCYSA-N,-7.5,108804.06
YWXYYJSYQOXTPL-SLPGGIOYSA-N,-5.7,101874.31
BDJRBEYXGGNYIS-UHFFFAOYSA-N,-5.2,91120.66
LKACJLUUJRMGFK-UHFFFAOYSA-N,-5.4,226351.89
KYAKGJDISSNVPZ-UHFFFAOYSA-N,-8.7,288402.19
AYFVYJQAPQTCCC-GBXIJSLDSA-N,-4.6,248585.15
KZTZJUQNSSLNAG-UHFFFAOYSA-N,-4.0,276702.12
PYAOPMWCFSVFOT-UHFFFAOYSA-N,-5.3,131387.43
IKYIXZSIKOYSLD-NSHDSACASA-N,-7.4,108420.37
BZQFBWGGLXLEPQ-REOHCLBHSA-N,-5.1,169622.58
WVDDGKGOMKODPV-UHFFFAOYSA-N,-5.0,125625.65
GLVAUDGFNGKCSF-UHFFFAOYSA-N,-5.2,240545.45
FFKUDWZICMJVPA-UHFFFAOYSA-N,-6.8,144617.72
IBAQFPQHRJAVAV-ULAWRXDQSA-N,-5.6,166786.72
NMCUIPGRVMDVDB-UHFFFAOYSA-L,-2.4,176561.56
PMRYVIKBURPHAH-UHFFFAOYSA-N,-4.0,199072.19
PEDCQBHIVMGVHV-UHFFFAOYSA-N,-3.7,146950.17
ORTQZVOHEJQUHG-UHFFFAOYSA-L,-2.4,131328.33
FKDHHVKWGRFRTG-VOTSOKGWSA-N,-5.6,166344.92
OUYCCCASQSFEME-QMMMGPOBSA-N,-6.6,207224.76
XVQUOJBERHHONY-SECBINFHSA-N,-5.1,174867.57
VUFOCTSXHUWGPW-QHCPKHFHSA-N,-7.2,115856.64
ARHWPKZXBHOEEE-UHFFFAOYSA-N,-6.2,152348.33
CKLJMWTZIZZHCS-REOHCLBHSA-N,-4.8,183240.37
SSLKKMZJCJBOML-UHFFFAOYSA-N,-6.4,117892.83
UKMSUNONTOPOIO-UHFFFAOYSA-N,-5.9,101328.9
MTTYXGPMZKRTCI-VIFPVBQESA-N,-6.7,280227.06
XSQUKJJJFZCRTK-OUBTZVSYSA-N,-3.0,130550.97
FZERHIULMFGESH-UHFFFAOYSA-N,-5.7,152751.21
KDXKERNSBIXSRK-YFKPBYRVSA-N,-4.7,184958.36
ZQPPMHVWECSIRJ-KTKRTIGZSA-N,-6.0,227636.58
CYTYCFOTNPOANT-UHFFFAOYSA-N,-3.7,195965.43
SPAGIJMPHSUYSE-UHFFFAOYSA-N,-2.6,185369.07
DIDCGVRALANKIU-OTEFFYEFSA-N,-0.7,138151.07
FDMBBCOBEAVDAO-AWEZNQCLSA-N,-6.5,193186.09
NZLVRVYNQYGMAB-UHFFFAOYSA-N,-8.2,267047.68
BDERNNFJNOPAEC-UHFFFAOYSA-N,-3.1,192378.61
PBAPPPCECJKMCM-IBGZPJMESA-N,-8.6,296880.17
YDDUMTOHNYZQPO-RVXRWRFUSA-N,-9.3,147867.2
NWGGKKGAFZIVBJ-UHFFFAOYSA-N,-10.1,250736.06
KSUUMAWCGDNLFK-SSDOTTSWSA-N,-5.9,117196.94
NWVVVBRKAWDGAB-UHFFFAOYSA-N,-5.1,179842.94
ZKLPARSLTMPFCP-NRFANRHFSA-N,-7.7,122461.17
MVQVNTPHUGQQHK-UHFFFAOYSA-N,-4.7,165067.89
XULACPAEUUWKFX-UHFFFAOYSA-N,-7.4,83581.14
YTGJWQPHMWSCST-GSVOUGTGSA-N,-4.9,191455.46
QSRHLIUOSXVKTG-YADHBBJMSA-N,-8.2,113936.47
HPNSFSBZBAHARI-RUDMXATFSA-N,-7.3,166072.13
QTBSBXVTEAMEQO-UHFFFAOYSA-N,-3.1,136331.3
LLEMOWNGBBNAJR-UHFFFAOYSA-N,-7.1,222528.73
ODQWQRRAPPTVAG-UHFFFAOYSA-N,-7.9,164610.67
WTDRDQBEARUVNC-LURJTMIESA-N,-6.6,140295.71
KZSNJWFQEVHDMF-BYPYZUCNSA-N,-4.6,318545.71
YMTINGFKWWXKFG-UHFFFAOYSA-N,-8.5,119547.5
XKFIQZCHJUUSBA-HNNXBMFYSA-N,-8.8,116990.31
WRWRKDRWMURIBI-UHFFFAOYSA-M,-2.9,152223.64
CZMRCDWAGMRECN-UGDNZRGBSA-N,-7.0,277193.56
GBBJCSTXCAQSSJ-XQXXSGGOSA-N,-7.2,180660.15
YNUMZJCKFQVSRH-HWKANZROSA-N,-6.2,130372.23
AHHFEZNOXOZZQA-ZEBDFXRSSA-N,-7.2,211085.37
OPTBBAGXQYOFTL-UHFFFAOYSA-N,-5.7,124662.55
JPBBNLWRCVBGJS-KCAUTNRHSA-N,-7.7,189725.88
XLFWDASMENKTKL-UHFFFAOYSA-N,-6.7,116966.71
UCTRAOBQFUDCSR-SECBINFHSA-N,-6.6,182219.29
DNIAPMSPPWPWGF-GSVOUGTGSA-N,-3.5,152968.7
UGOFYAXVVVXMQT-UHFFFAOYSA-N,-8.3,150830.66
PZMVOUYYNKPMSI-UHFFFAOYSA-N,-6.1,199709.72
UOMKBIIXHQIERR-UHFFFAOYSA-N,-8.2,237716.73
NLORYLAYLIXTID-ISLYRVAYSA-N,-7.6,110834.51
QNAYBMKLOCPYGJ-REOHCLBHSA-N,-3.8,186939.36
ZQDWXGKKHFNSQK-OAQYLSRUSA-N,-7.5,111320.25
XSQUKJJJFZCRTK-NJFSPNSNSA-N,-3.0,163561.79
KCXVZYZYPLLWCC-UHFFFAOYSA-N,-6.3,258167.0
YFESJHPTNWYOCO-UHFFFAOYSA-N,-4.5,338927.95
NFACJZMKEDPNKN-GSVOUGTGSA-N,-4.7,156002.6
