ligand,energy,binding score
KZTZJUQNSSLNAG-UHFFFAOYSA-N,-4.2,62960.15
GIJXKZJWITVLHI-PMOLBWCYSA-N,-7.3,86369.47
LKACJLUUJRMGFK-UHFFFAOYSA-N,-5.5,40678.5
OUYCCCASQSFEME-QMMMGPOBSA-N,-5.7,116198.96
KYAKGJDISSNVPZ-UHFFFAOYSA-N,-7.7,274655.36
IBAQFPQHRJAVAV-ULAWRXDQSA-N,-5.6,37470.2
FFKUDWZICMJVPA-UHFFFAOYSA-N,-6.5,76717.67
PEDCQBHIVMGVHV-UHFFFAOYSA-N,-4.4,64033.08
PTKSEFOSCHHMPD-SNVBAGLBSA-N,-5.8,94540.4
BZQFBWGGLXLEPQ-REOHCLBHSA-N,-5.3,96545.17
NMCUIPGRVMDVDB-UHFFFAOYSA-L,-2.3,81583.14
XVQUOJBERHHONY-SECBINFHSA-N,-4.6,106676.53
BDJRBEYXGGNYIS-UHFFFAOYSA-N,-4.8,47788.99
WVDDGKGOMKODPV-UHFFFAOYSA-N,-4.8,46890.69
ORTQZVOHEJQUHG-UHFFFAOYSA-L,-2.3,33527.23
XRVCFZPJAHWYTB-UHFFFAOYSA-N,-4.7,69649.86
PMRYVIKBURPHAH-UHFFFAOYSA-N,-3.6,65895.62
GLVAUDGFNGKCSF-UHFFFAOYSA-N,-4.9,36174.79
AYFVYJQAPQTCCC-GBXIJSLDSA-N,-5.2,62029.01
PYAOPMWCFSVFOT-UHFFFAOYSA-N,-5.4,53550.92
FKDHHVKWGRFRTG-VOTSOKGWSA-N,-5.3,110774.44
OCAXFDULERPAJM-BQJUDKOJSA-N,-7.4,109286.23
IKYIXZSIKOYSLD-NSHDSACASA-N,-6.5,71162.64
YWXYYJSYQOXTPL-SLPGGIOYSA-N,-5.7,65277.23
MVQVNTPHUGQQHK-UHFFFAOYSA-N,-4.7,53735.78
VUFOCTSXHUWGPW-QHCPKHFHSA-N,-6.4,76271.36
XULACPAEUUWKFX-UHFFFAOYSA-N,-7.2,50321.14
ZQPPMHVWECSIRJ-KTKRTIGZSA-N,-4.8,129811.22
SPAGIJMPHSUYSE-UHFFFAOYSA-N,-2.6,92035.15
BDERNNFJNOPAEC-UHFFFAOYSA-N,-3.2,75166.84
SSLKKMZJCJBOML-UHFFFAOYSA-N,-5.4,86393.62
FDMBBCOBEAVDAO-AWEZNQCLSA-N,-5.7,111229.93
CYTYCFOTNPOANT-UHFFFAOYSA-N,-3.5,104469.33
PBAPPPCECJKMCM-IBGZPJMESA-N,-6.6,295617.66
KSUUMAWCGDNLFK-SSDOTTSWSA-N,-5.6,28042.07
CKLJMWTZIZZHCS-REOHCLBHSA-N,-5.5,72825.68
UKMSUNONTOPOIO-UHFFFAOYSA-N,-4.5,64679.33
NWVVVBRKAWDGAB-UHFFFAOYSA-N,-4.9,77331.75
NWGGKKGAFZIVBJ-UHFFFAOYSA-N,-8.0,248325.03
KDXKERNSBIXSRK-YFKPBYRVSA-N,-4.6,51578.8
ZKLPARSLTMPFCP-NRFANRHFSA-N,-7.4,82708.49
MTTYXGPMZKRTCI-VIFPVBQESA-N,-6.2,68683.95
FZERHIULMFGESH-UHFFFAOYSA-N,-5.4,58950.75
XSQUKJJJFZCRTK-OUBTZVSYSA-N,-3.3,31567.24
DIDCGVRALANKIU-OTEFFYEFSA-N,-0.7,118849.34
NZLVRVYNQYGMAB-UHFFFAOYSA-N,-7.3,271342.3
YDDUMTOHNYZQPO-RVXRWRFUSA-N,-6.9,88633.02
ARHWPKZXBHOEEE-UHFFFAOYSA-N,-5.5,82814.68
LLEMOWNGBBNAJR-UHFFFAOYSA-N,-6.4,129958.48
AHHFEZNOXOZZQA-ZEBDFXRSSA-N,-6.2,139775.21
QNAYBMKLOCPYGJ-REOHCLBHSA-N,-4.5,76968.38
UOMKBIIXHQIERR-UHFFFAOYSA-N,-7.2,88564.3
JPBBNLWRCVBGJS-KCAUTNRHSA-N,-6.1,180761.45
KZSNJWFQEVHDMF-BYPYZUCNSA-N,-4.7,28843.76
HPNSFSBZBAHARI-RUDMXATFSA-N,-6.4,88084.31
NLORYLAYLIXTID-ISLYRVAYSA-N,-5.9,44420.91
PZMVOUYYNKPMSI-UHFFFAOYSA-N,-5.9,109553.65
WTDRDQBEARUVNC-LURJTMIESA-N,-5.9,97132.54
OPTBBAGXQYOFTL-UHFFFAOYSA-N,-6.2,63378.32
YMTINGFKWWXKFG-UHFFFAOYSA-N,-6.8,74863.69
WRWRKDRWMURIBI-UHFFFAOYSA-M,-3.1,45720.92
ODQWQRRAPPTVAG-UHFFFAOYSA-N,-7.2,35097.95
UGOFYAXVVVXMQT-UHFFFAOYSA-N,-6.6,66197.14
QTBSBXVTEAMEQO-UHFFFAOYSA-N,-3.2,40268.64
XKFIQZCHJUUSBA-HNNXBMFYSA-N,-7.2,81132.02
YTGJWQPHMWSCST-GSVOUGTGSA-N,-4.4,21268.04
