ligand,energy,binding score
XVQUOJBERHHONY-SECBINFHSA-N,-5.0,49485.22
NMCUIPGRVMDVDB-UHFFFAOYSA-L,-2.6,88401.94
PTKSEFOSCHHMPD-SNVBAGLBSA-N,-5.6,37664.87
BDJRBEYXGGNYIS-UHFFFAOYSA-N,-5.6,34296.11
AYFVYJQAPQTCCC-GBXIJSLDSA-N,-4.6,100325.97
GLVAUDGFNGKCSF-UHFFFAOYSA-N,-4.6,100726.69
GIJXKZJWITVLHI-PMOLBWCYSA-N,-8.1,68300.3
IKYIXZSIKOYSLD-NSHDSACASA-N,-7.5,62803.22
PEDCQBHIVMGVHV-UHFFFAOYSA-N,-3.6,68111.26
LKACJLUUJRMGFK-UHFFFAOYSA-N,-4.6,97310.69
BZQFBWGGLXLEPQ-REOHCLBHSA-N,-5.0,76398.46
OCAXFDULERPAJM-BQJUDKOJSA-N,-8.1,92764.86
YWXYYJSYQOXTPL-SLPGGIOYSA-N,-5.5,50394.75
FKDHHVKWGRFRTG-VOTSOKGWSA-N,-5.4,91205.4
OUYCCCASQSFEME-QMMMGPOBSA-N,-6.0,57919.55
WVDDGKGOMKODPV-UHFFFAOYSA-N,-5.2,65606.46
FFKUDWZICMJVPA-UHFFFAOYSA-N,-6.1,61728.98
XRVCFZPJAHWYTB-UHFFFAOYSA-N,-4.8,112649.83
PMRYVIKBURPHAH-UHFFFAOYSA-N,-3.6,89117.72
IBAQFPQHRJAVAV-ULAWRXDQSA-N,-4.8,50982.54
KZTZJUQNSSLNAG-UHFFFAOYSA-N,-4.0,123116.28
KYAKGJDISSNVPZ-UHFFFAOYSA-N,-8.2,235635.33
ORTQZVOHEJQUHG-UHFFFAOYSA-L,-2.4,51536.54
PYAOPMWCFSVFOT-UHFFFAOYSA-N,-4.8,32536.94
FDMBBCOBEAVDAO-AWEZNQCLSA-N,-6.3,50690.78
NZLVRVYNQYGMAB-UHFFFAOYSA-N,-7.5,237766.93
MTTYXGPMZKRTCI-VIFPVBQESA-N,-6.2,125337.41
BDERNNFJNOPAEC-UHFFFAOYSA-N,-3.1,74230.61
DIDCGVRALANKIU-OTEFFYEFSA-N,-0.8,103823.14
KSUUMAWCGDNLFK-SSDOTTSWSA-N,-5.8,44385.01
ZKLPARSLTMPFCP-NRFANRHFSA-N,-7.4,64812.99
CYTYCFOTNPOANT-UHFFFAOYSA-N,-3.9,94270.08
XSQUKJJJFZCRTK-OUBTZVSYSA-N,-3.3,48516.58
UKMSUNONTOPOIO-UHFFFAOYSA-N,-6.3,45061.14
NWGGKKGAFZIVBJ-UHFFFAOYSA-N,-10.4,218248.32
FZERHIULMFGESH-UHFFFAOYSA-N,-5.8,70922.08
CKLJMWTZIZZHCS-REOHCLBHSA-N,-4.7,73601.95
KDXKERNSBIXSRK-YFKPBYRVSA-N,-4.4,86783.43
SSLKKMZJCJBOML-UHFFFAOYSA-N,-5.7,75520.56
YDDUMTOHNYZQPO-RVXRWRFUSA-N,-8.5,52108.05
NWVVVBRKAWDGAB-UHFFFAOYSA-N,-4.9,55669.32
XULACPAEUUWKFX-UHFFFAOYSA-N,-7.4,35283.68
MVQVNTPHUGQQHK-UHFFFAOYSA-N,-4.8,77913.97
ARHWPKZXBHOEEE-UHFFFAOYSA-N,-6.1,69049.01
SPAGIJMPHSUYSE-UHFFFAOYSA-N,-3.0,93267.7
PBAPPPCECJKMCM-IBGZPJMESA-N,-8.7,260409.67
VUFOCTSXHUWGPW-QHCPKHFHSA-N,-6.9,57475.3
ZQPPMHVWECSIRJ-KTKRTIGZSA-N,-6.4,87724.03
PZMVOUYYNKPMSI-UHFFFAOYSA-N,-5.7,48800.68
CZMRCDWAGMRECN-UGDNZRGBSA-N,-6.0,126082.26
ODQWQRRAPPTVAG-UHFFFAOYSA-N,-7.4,56231.64
AHHFEZNOXOZZQA-ZEBDFXRSSA-N,-6.0,96686.51
GBBJCSTXCAQSSJ-XQXXSGGOSA-N,-6.5,64508.04
XLFWDASMENKTKL-UHFFFAOYSA-N,-6.3,57913.46
DNIAPMSPPWPWGF-GSVOUGTGSA-N,-3.4,84405.64
QTBSBXVTEAMEQO-UHFFFAOYSA-N,-3.1,59356.65
HPNSFSBZBAHARI-RUDMXATFSA-N,-7.0,50722.61
QSRHLIUOSXVKTG-YADHBBJMSA-N,-8.6,73273.37
YNUMZJCKFQVSRH-HWKANZROSA-N,-6.1,71147.31
WTDRDQBEARUVNC-LURJTMIESA-N,-6.2,36872.58
UOMKBIIXHQIERR-UHFFFAOYSA-N,-7.6,65289.26
OPTBBAGXQYOFTL-UHFFFAOYSA-N,-5.4,33198.87
UGOFYAXVVVXMQT-UHFFFAOYSA-N,-7.5,41594.45
XKFIQZCHJUUSBA-HNNXBMFYSA-N,-8.1,37144.49
LLEMOWNGBBNAJR-UHFFFAOYSA-N,-7.2,90088.45
KZSNJWFQEVHDMF-BYPYZUCNSA-N,-4.5,105092.51
YTGJWQPHMWSCST-GSVOUGTGSA-N,-4.5,101414.0
YMTINGFKWWXKFG-UHFFFAOYSA-N,-8.1,63790.05
WRWRKDRWMURIBI-UHFFFAOYSA-M,-2.7,53294.07
JPBBNLWRCVBGJS-KCAUTNRHSA-N,-6.6,156514.93
UCTRAOBQFUDCSR-SECBINFHSA-N,-6.0,59008.09
QNAYBMKLOCPYGJ-REOHCLBHSA-N,-3.8,79058.16
NLORYLAYLIXTID-ISLYRVAYSA-N,-7.4,26443.89
XEFQLINVKFYRCS-UHFFFAOYSA-N,-7.0,39179.28
KWIUHFFTVRNATP-UHFFFAOYSA-N,-3.8,68101.34
BJRNKVDFDLYUGJ-RMPHRYRLSA-N,-6.9,58047.96
JMOVFFLYGIQXMM-UHFFFAOYSA-N,-5.7,69778.55
ZQDWXGKKHFNSQK-OAQYLSRUSA-N,-7.1,53180.18
