ligand,energy,binding score
GIJXKZJWITVLHI-PMOLBWCYSA-N,-6.5,120007.19
ORTQZVOHEJQUHG-UHFFFAOYSA-L,-2.2,119742.48
YWXYYJSYQOXTPL-SLPGGIOYSA-N,-5.1,113254.93
PTKSEFOSCHHMPD-SNVBAGLBSA-N,-5.3,153535.97
FFKUDWZICMJVPA-UHFFFAOYSA-N,-5.3,154608.72
PYAOPMWCFSVFOT-UHFFFAOYSA-N,-4.4,139322.59
BDJRBEYXGGNYIS-UHFFFAOYSA-N,-4.6,103557.46
FKDHHVKWGRFRTG-VOTSOKGWSA-N,-5.1,171483.26
IKYIXZSIKOYSLD-NSHDSACASA-N,-6.0,112600.47
OUYCCCASQSFEME-QMMMGPOBSA-N,-5.5,200721.68
OCAXFDULERPAJM-BQJUDKOJSA-N,-6.4,137503.16
LKACJLUUJRMGFK-UHFFFAOYSA-N,-3.7,184545.83
BZQFBWGGLXLEPQ-REOHCLBHSA-N,-4.3,184368.27
PMRYVIKBURPHAH-UHFFFAOYSA-N,-3.2,182071.56
IBAQFPQHRJAVAV-ULAWRXDQSA-N,-4.7,136798.29
WVDDGKGOMKODPV-UHFFFAOYSA-N,-4.4,110911.17
AYFVYJQAPQTCCC-GBXIJSLDSA-N,-3.7,219401.58
PEDCQBHIVMGVHV-UHFFFAOYSA-N,-3.0,141071.31
KZTZJUQNSSLNAG-UHFFFAOYSA-N,-3.5,247813.55
GLVAUDGFNGKCSF-UHFFFAOYSA-N,-4.1,195405.56
KYAKGJDISSNVPZ-UHFFFAOYSA-N,-7.3,296733.4
XVQUOJBERHHONY-SECBINFHSA-N,-4.8,180750.15
NMCUIPGRVMDVDB-UHFFFAOYSA-L,-2.2,164231.31
XRVCFZPJAHWYTB-UHFFFAOYSA-N,-3.6,226605.89
VUFOCTSXHUWGPW-QHCPKHFHSA-N,-5.3,128636.24
SSLKKMZJCJBOML-UHFFFAOYSA-N,-5.2,118512.57
DIDCGVRALANKIU-OTEFFYEFSA-N,-0.6,139452.71
UKMSUNONTOPOIO-UHFFFAOYSA-N,-4.9,114083.93
SPAGIJMPHSUYSE-UHFFFAOYSA-N,-3.1,174397.04
PBAPPPCECJKMCM-IBGZPJMESA-N,-7.5,301529.43
CYTYCFOTNPOANT-UHFFFAOYSA-N,-3.0,213283.88
BDERNNFJNOPAEC-UHFFFAOYSA-N,-2.5,194490.75
NWGGKKGAFZIVBJ-UHFFFAOYSA-N,-8.6,255837.41
CKLJMWTZIZZHCS-REOHCLBHSA-N,-3.6,174722.88
ZQPPMHVWECSIRJ-KTKRTIGZSA-N,-5.3,249584.11
KDXKERNSBIXSRK-YFKPBYRVSA-N,-4.1,163964.61
KSUUMAWCGDNLFK-SSDOTTSWSA-N,-5.1,113312.65
MVQVNTPHUGQQHK-UHFFFAOYSA-N,-3.9,147111.86
FZERHIULMFGESH-UHFFFAOYSA-N,-4.9,149020.07
ZKLPARSLTMPFCP-NRFANRHFSA-N,-6.5,129522.37
XSQUKJJJFZCRTK-OUBTZVSYSA-N,-2.5,118411.26
NWVVVBRKAWDGAB-UHFFFAOYSA-N,-4.3,181054.55
MTTYXGPMZKRTCI-VIFPVBQESA-N,-5.7,253773.83
FDMBBCOBEAVDAO-AWEZNQCLSA-N,-5.8,205397.26
YDDUMTOHNYZQPO-RVXRWRFUSA-N,-7.9,165233.12
ARHWPKZXBHOEEE-UHFFFAOYSA-N,-5.5,149892.06
NZLVRVYNQYGMAB-UHFFFAOYSA-N,-7.4,272592.29
XULACPAEUUWKFX-UHFFFAOYSA-N,-6.7,97023.27
QSRHLIUOSXVKTG-YADHBBJMSA-N,-7.2,113561.92
QTBSBXVTEAMEQO-UHFFFAOYSA-N,-2.6,123349.36
HPNSFSBZBAHARI-RUDMXATFSA-N,-7.3,182999.03
JPBBNLWRCVBGJS-KCAUTNRHSA-N,-6.1,191855.82
PZMVOUYYNKPMSI-UHFFFAOYSA-N,-5.2,212350.13
CZMRCDWAGMRECN-UGDNZRGBSA-N,-5.7,308397.68
UGOFYAXVVVXMQT-UHFFFAOYSA-N,-7.5,169765.57
XLFWDASMENKTKL-UHFFFAOYSA-N,-6.1,133395.53
GBBJCSTXCAQSSJ-XQXXSGGOSA-N,-5.7,137545.69
LLEMOWNGBBNAJR-UHFFFAOYSA-N,-6.4,234860.55
KZSNJWFQEVHDMF-BYPYZUCNSA-N,-3.7,264656.09
YMTINGFKWWXKFG-UHFFFAOYSA-N,-7.1,117580.66
OPTBBAGXQYOFTL-UHFFFAOYSA-N,-5.3,151086.1
WRWRKDRWMURIBI-UHFFFAOYSA-M,-2.5,147884.97
WTDRDQBEARUVNC-LURJTMIESA-N,-5.4,140407.19
ODQWQRRAPPTVAG-UHFFFAOYSA-N,-6.6,146417.4
