ligand,energy,binding score
AYFVYJQAPQTCCC-GBXIJSLDSA-N,-4.2,218860.07
PYAOPMWCFSVFOT-UHFFFAOYSA-N,-5.0,61080.85
NMCUIPGRVMDVDB-UHFFFAOYSA-L,-2.1,146039.25
PMRYVIKBURPHAH-UHFFFAOYSA-N,-3.4,163620.01
LKACJLUUJRMGFK-UHFFFAOYSA-N,-5.1,206141.15
KZTZJUQNSSLNAG-UHFFFAOYSA-N,-3.7,243301.65
WVDDGKGOMKODPV-UHFFFAOYSA-N,-4.2,112150.95
GLVAUDGFNGKCSF-UHFFFAOYSA-N,-4.7,213931.9
BDJRBEYXGGNYIS-UHFFFAOYSA-N,-4.9,86958.75
PEDCQBHIVMGVHV-UHFFFAOYSA-N,-3.5,126305.91
PTKSEFOSCHHMPD-SNVBAGLBSA-N,-5.7,97588.06
IKYIXZSIKOYSLD-NSHDSACASA-N,-6.6,93117.97
OUYCCCASQSFEME-QMMMGPOBSA-N,-5.7,149394.54
ORTQZVOHEJQUHG-UHFFFAOYSA-L,-2.1,109481.96
IBAQFPQHRJAVAV-ULAWRXDQSA-N,-6.0,144621.88
OCAXFDULERPAJM-BQJUDKOJSA-N,-6.7,116735.5
XRVCFZPJAHWYTB-UHFFFAOYSA-N,-4.0,232104.16
XVQUOJBERHHONY-SECBINFHSA-N,-4.5,118274.54
FKDHHVKWGRFRTG-VOTSOKGWSA-N,-5.3,149137.6
KYAKGJDISSNVPZ-UHFFFAOYSA-N,-7.5,278268.2
BZQFBWGGLXLEPQ-REOHCLBHSA-N,-4.9,156661.86
YWXYYJSYQOXTPL-SLPGGIOYSA-N,-5.9,94553.79
FFKUDWZICMJVPA-UHFFFAOYSA-N,-5.9,127703.59
GIJXKZJWITVLHI-PMOLBWCYSA-N,-5.9,99896.36
MVQVNTPHUGQQHK-UHFFFAOYSA-N,-4.1,146684.91
KDXKERNSBIXSRK-YFKPBYRVSA-N,-4.6,160064.9
BDERNNFJNOPAEC-UHFFFAOYSA-N,-2.7,171461.83
FZERHIULMFGESH-UHFFFAOYSA-N,-4.9,135012.95
DIDCGVRALANKIU-OTEFFYEFSA-N,-0.5,127468.09
YDDUMTOHNYZQPO-RVXRWRFUSA-N,-8.9,123018.53
PBAPPPCECJKMCM-IBGZPJMESA-N,-7.3,295164.38
SPAGIJMPHSUYSE-UHFFFAOYSA-N,-2.6,158982.47
ZKLPARSLTMPFCP-NRFANRHFSA-N,-6.4,107642.57
UKMSUNONTOPOIO-UHFFFAOYSA-N,-5.3,88023.51
NWVVVBRKAWDGAB-UHFFFAOYSA-N,-4.8,131010.78
CYTYCFOTNPOANT-UHFFFAOYSA-N,-3.0,148727.48
ZQPPMHVWECSIRJ-KTKRTIGZSA-N,-4.8,177642.75
SSLKKMZJCJBOML-UHFFFAOYSA-N,-5.6,104230.25
KSUUMAWCGDNLFK-SSDOTTSWSA-N,-5.5,105310.21
NWGGKKGAFZIVBJ-UHFFFAOYSA-N,-9.9,249363.63
FDMBBCOBEAVDAO-AWEZNQCLSA-N,-5.5,115913.11
MTTYXGPMZKRTCI-VIFPVBQESA-N,-5.7,229585.1
ARHWPKZXBHOEEE-UHFFFAOYSA-N,-5.9,120600.84
XSQUKJJJFZCRTK-OUBTZVSYSA-N,-2.9,114227.53
XULACPAEUUWKFX-UHFFFAOYSA-N,-7.0,79172.2
VUFOCTSXHUWGPW-QHCPKHFHSA-N,-6.4,104628.22
CKLJMWTZIZZHCS-REOHCLBHSA-N,-4.5,155344.79
NZLVRVYNQYGMAB-UHFFFAOYSA-N,-7.2,267920.03
WRWRKDRWMURIBI-UHFFFAOYSA-M,-2.5,119996.77
DNIAPMSPPWPWGF-GSVOUGTGSA-N,-3.2,133840.18
LLEMOWNGBBNAJR-UHFFFAOYSA-N,-6.1,156376.8
PZMVOUYYNKPMSI-UHFFFAOYSA-N,-5.8,153862.36
HPNSFSBZBAHARI-RUDMXATFSA-N,-6.6,112074.3
JPBBNLWRCVBGJS-KCAUTNRHSA-N,-7.1,182295.59
UGOFYAXVVVXMQT-UHFFFAOYSA-N,-6.4,117594.41
UOMKBIIXHQIERR-UHFFFAOYSA-N,-6.8,157235.69
QSRHLIUOSXVKTG-YADHBBJMSA-N,-7.0,104255.08
YNUMZJCKFQVSRH-HWKANZROSA-N,-5.8,99948.75
AHHFEZNOXOZZQA-ZEBDFXRSSA-N,-6.5,157106.65
CZMRCDWAGMRECN-UGDNZRGBSA-N,-6.6,246533.1
