ligand,E1,E2,E3
YYQRGCZGSFRBAM-UHFFFAOYSA-N,-5.5,-4.3,-3.9
UUQMNUMQCIQDMZ-UHFFFAOYSA-N,-5.1,-4.7,-4.1
IDCHQQSVJAAUQQ-UHFFFAOYSA-N,-7.2,-5.7,-5.3
AJPLPOWGYORUIF-UHFFFAOYSA-N,-8.5,-6.8,-5.7
GEGSSUSEWOHAFE-UHFFFAOYSA-N,-5.7,-4.9,-4.3
WIIZWVCIJKGZOK-RKDXNWHRSA-N,-7.5,-6.2,-5.5
WGNUNYPERJMVRM-UHFFFAOYSA-N,-5.7,-5.0,-4.1
WFNAKBGANONZEQ-GOSISDBHSA-N,-7.0,-6.9,-5.3
UCCJWNPWWPJKGL-DEOSSOPVSA-N,-7.3,-7.9,-5.5
JEIPFZHSYJVQDO-UHFFFAOYSA-N,-4.0,-3.0,-3.3
CURLTUGMZLYLDI-UHFFFAOYSA-N,-2.4,-1.9,-2.0
NMUSYJAQQFHJEW-KVTDHHQDSA-N,-7.7,-5.8,-5.1
SRBFZHDQGSBBOR-LECHCGJUSA-N,-6.1,-4.6,-4.0
LENZDBCJOHFCAS-UHFFFAOYSA-N,-4.5,-2.8,-3.6
WBHHMMIMDMUBKC-QJWNTBNXSA-N,-6.7,-5.9,-4.4
WPYMKLBDIGXBTP-UHFFFAOYSA-N,-5.7,-5.1,-4.3
PHVGLTMQBUFIQQ-UHFFFAOYSA-N,-6.9,-7.2,-5.9
PVNIIMVLHYAWGP-UHFFFAOYSA-N,-5.5,-4.7,-4.3
CVKNDPRBJVBDSS-CQSZACIVSA-N,-7.3,-6.9,-5.2
JURKNVYFZMSNLP-UHFFFAOYSA-N,-7.2,-7.7,-5.6
OEYIOHPDSNJKLS-UHFFFAOYSA-N,-4.0,-3.2,-2.9
HRYZWHHZPQKTII-UHFFFAOYSA-N,-2.3,-2.1,-2.2
ZYVXHFWBYUDDBM-UHFFFAOYSA-N,-5.9,-4.8,-4.4
XNEFYCZVKIDDMS-UHFFFAOYSA-N,-8.9,-6.9,-6.3
