ligand,E1,E2,E3
WFNAKBGANONZEQ-GOSISDBHSA-N,-5.5,-5.9,-4.9
CVKNDPRBJVBDSS-CQSZACIVSA-N,-6.3,-6.9,-5.4
CURLTUGMZLYLDI-UHFFFAOYSA-N,-2.1,-1.7,-1.7
SRBFZHDQGSBBOR-LECHCGJUSA-N,-4.6,-4.3,-4.0
PVNIIMVLHYAWGP-UHFFFAOYSA-N,-4.3,-4.8,-4.1
LENZDBCJOHFCAS-UHFFFAOYSA-N,-3.8,-3.3,-3.9
WIIZWVCIJKGZOK-RKDXNWHRSA-N,-5.8,-6.2,-5.6
NMUSYJAQQFHJEW-KVTDHHQDSA-N,-6.0,-6.2,-4.9
OEYIOHPDSNJKLS-UHFFFAOYSA-N,-3.1,-2.9,-3.1
HRYZWHHZPQKTII-UHFFFAOYSA-N,-1.6,-2.1,-1.7
WPYMKLBDIGXBTP-UHFFFAOYSA-N,-4.2,-5.1,-4.1
PHVGLTMQBUFIQQ-UHFFFAOYSA-N,-5.9,-6.9,-5.6
AJPLPOWGYORUIF-UHFFFAOYSA-N,-6.4,-6.3,-5.7
XNEFYCZVKIDDMS-UHFFFAOYSA-N,-6.3,-7.2,-6.2
WGNUNYPERJMVRM-UHFFFAOYSA-N,-4.4,-5.2,-4.2
UUQMNUMQCIQDMZ-UHFFFAOYSA-N,-3.8,-4.3,-3.6
GEGSSUSEWOHAFE-UHFFFAOYSA-N,-4.3,-4.8,-4.0
YYQRGCZGSFRBAM-UHFFFAOYSA-N,-4.1,-4.0,-3.9
ZYVXHFWBYUDDBM-UHFFFAOYSA-N,-4.3,-4.8,-4.1
WBHHMMIMDMUBKC-QJWNTBNXSA-N,-4.4,-5.1,-4.4
JURKNVYFZMSNLP-UHFFFAOYSA-N,-5.9,-6.9,-5.7
JEIPFZHSYJVQDO-UHFFFAOYSA-N,-3.9,-2.8,-3.0
IDCHQQSVJAAUQQ-UHFFFAOYSA-N,-5.2,-5.6,-5.0
UCCJWNPWWPJKGL-DEOSSOPVSA-N,-7.4,-7.0,-6.1
